Orthogroup	Syat	Syam
OG0000198	Syat.g_02865	Syam.g_02210
OG0000199	Syat.g_02857	Syam.g_02218
OG0000200	Syat.g_02840	Syam.g_02234
OG0000201	Syat.g_02821	Syam.g_02248
OG0000202	Syat.g_02820	Syam.g_02249
OG0000203	Syat.g_02819	Syam.g_02250
OG0000204	Syat.g_02818	Syam.g_02251
OG0000205	Syat.g_02809	Syam.g_02258
OG0000206	Syat.g_02785	Syam.g_02264
OG0000207	Syat.g_02778	Syam.g_02266
OG0000208	Syat.g_02777	Syam.g_02267
OG0000209	Syat.g_02735	Syam.g_02278
OG0000210	Syat.g_02734	Syam.g_02279
OG0000211	Syat.g_01452	Syam.g_00504
OG0000212	Syat.g_01442	Syam.g_00515
OG0000213	Syat.g_01889	Syam.g_00263
OG0000214	Syat.g_02042	Syam.g_00247
OG0000215	Syat.g_02075	Syam.g_00216
OG0000216	Syat.g_02079	Syam.g_00212
OG0000217	Syat.g_02085	Syam.g_00208
OG0000218	Syat.g_02087	Syam.g_00206
OG0000219	Syat.g_02088	Syam.g_00205
OG0000220	Syat.g_02089	Syam.g_00204
OG0000221	Syat.g_02095	Syam.g_00198
OG0000222	Syat.g_02109	Syam.g_00186
OG0000223	Syat.g_02570	Syam.g_00168
OG0000224	Syat.g_02139	Syam.g_00164
OG0000225	Syat.g_01595	Syam.g_00473
OG0000226	Syat.g_01588	Syam.g_00477
OG0000228	Syat.g_02952	Syam.g_00488
OG0000229	Syat.g_02970	Syam.g_01867
OG0000230	Syat.g_02972	Syam.g_01865
OG0000231	Syat.g_01283	Syam.g_01848
OG0000232	Syat.g_01313	Syam.g_01692
OG0000233	Syat.g_01407	Syam.g_01678
OG0000234	Syat.g_01369	Syam.g_01667
OG0000235	Syat.g_03169	Syam.g_00582
OG0000236	Syat.g_03186	Syam.g_00597
OG0000237	Syat.g_03214	Syam.g_00614
OG0000238	Syat.g_03219	Syam.g_00619
OG0000239	Syat.g_01105	Syam.g_00637
OG0000240	Syat.g_01104	Syam.g_00638
OG0000241	Syat.g_00111	Syam.g_01477
OG0000242	Syat.g_01077	Syam.g_00649
OG0000243	Syat.g_00092	Syam.g_00668
OG0000244	Syat.g_00082	Syam.g_00674
OG0000245	Syat.g_00080	Syam.g_00676
OG0000246	Syat.g_00076	Syam.g_00680
OG0000247	Syat.g_00065	Syam.g_00692
OG0000249	Syat.g_00060	Syam.g_00697
OG0000250	Syat.g_00053	Syam.g_01747
OG0000251	Syat.g_00027	Syam.g_01722
OG0000252	Syat.g_00022	Syam.g_01719
OG0000253	Syat.g_00021	Syam.g_01718
OG0000254	Syat.g_03407	Syam.g_01510
OG0000255	Syat.g_02405	Syam.g_01500
OG0000256	Syat.g_03306	Syam.g_01484
OG0000257	Syat.g_00109	Syam.g_01478
OG0000258	Syat.g_00382	Syam.g_01459
OG0000259	Syat.g_00342	Syam.g_01378
OG0000260	Syat.g_00392	Syam.g_01375
OG0000261	Syat.g_00400	Syam.g_01372
OG0000262	Syat.g_00407	Syam.g_01367
OG0000263	Syat.g_00200	Syam.g_00885
OG0000266	Syat.g_00671	Syam.g_01234
OG0000267	Syat.g_00636	Syam.g_01071
OG0000268	Syat.g_00634	Syam.g_01072
OG0000269	Syat.g_00474, Syat.g_00126	Syam.g_01295
OG0000270	Syat.g_00477	Syam.g_01292
OG0000271	Syat.g_00485	Syam.g_01284
OG0000272	Syat.g_00486	Syam.g_01283
OG0000273	Syat.g_00520	Syam.g_00745
OG0000274	Syat.g_00521	Syam.g_00744
OG0000275	Syat.g_00718	Syam.g_00741
OG0000276	Syat.g_00725	Syam.g_00733
OG0000278	Syat.g_00741	Syam.g_00729
OG0000279	Syat.g_00755	Syam.g_00721
OG0000280	Syat.g_01669	Syam.g_00701
OG0000281	Syat.g_00960	Syam.g_00943
OG0000282	Syat.g_00431	Syam.g_01347
OG0000283	Syat.g_00620	Syam.g_01087
OG0000284	Syat.g_00614	Syam.g_01093
OG0000285	Syat.g_00607	Syam.g_01105
OG0000286	Syat.g_00579	Syam.g_01123
OG0000287	Syat.g_00550	Syam.g_01153
OG0000288	Syat.g_00709	Syam.g_01186
OG0000289	Syat.g_00695	Syam.g_01201
OG0000290	Syat.g_00805	Syam.g_00771
OG0000292	Syat.g_02388	Syam.g_02439
OG0000293	Syat.g_03241	Syam.g_01806
OG0000295	Syat.g_00297	Syam.g_01771
OG0000296	Syat.g_00295	Syam.g_01769
OG0000299	Syat.g_00910	Syam.g_00878
OG0000300	Syat.g_00904	Syam.g_00871
OG0000301	Syat.g_00903	Syam.g_00870
OG0000302	Syat.g_00901	Syam.g_00868
OG0000303	Syat.g_00892	Syam.g_00859
OG0000304	Syat.g_00885	Syam.g_00853
OG0000305	Syat.g_00809	Syam.g_00776
OG0000306	Syat.g_01704	Syam.g_01757
OG0000307	Syat.g_01304	Syam.g_00566
OG0000308	Syat.g_01306	Syam.g_00564
OG0000309	Syat.g_01417	Syam.g_00559
OG0000310	Syat.g_01246	Syam.g_01591
OG0000311	Syat.g_01242	Syam.g_01595
OG0000312	Syat.g_01237	Syam.g_01601
OG0000313	Syat.g_01183	Syam.g_01617
OG0000314	Syat.g_01341	Syam.g_01647
OG0000315	Syat.g_01351	Syam.g_01658
OG0000316	Syat.g_03082	Syam.g_01945
OG0000317	Syat.g_03120	Syam.g_01987
OG0000318	Syat.g_03125	Syam.g_01991
OG0000319	Syat.g_03055	Syam.g_02006
OG0000320	Syat.g_03053	Syam.g_02008
OG0000321	Syat.g_03052	Syam.g_02009
OG0000322	Syat.g_03051	Syam.g_02010
OG0000323	Syat.g_03038	Syam.g_02025
OG0000324	Syat.g_02998	Syam.g_01906
OG0000325	Syat.g_01861	Syam.g_00289
OG0000327	Syat.g_01827	Syam.g_00325
OG0000328	Syat.g_01826	Syam.g_00326
OG0000329	Syat.g_01808	Syam.g_00344
OG0000330	Syat.g_01807	Syam.g_00345
OG0000331	Syat.g_01806	Syam.g_00346
OG0000333	Syat.g_01787	Syam.g_00364
OG0000334	Syat.g_01657	Syam.g_00375
OG0000335	Syat.g_01652	Syam.g_00380
OG0000336	Syat.g_01648	Syam.g_00384
OG0000337	Syat.g_02144	Syam.g_00155
OG0000338	Syat.g_02146	Syam.g_00153
OG0000339	Syat.g_02155, Syat.g_01055	Syam.g_00147
OG0000340	Syat.g_02165	Syam.g_00137
OG0000341	Syat.g_02167	Syam.g_00135
OG0000342	Syat.g_02168	Syam.g_00134
OG0000343	Syat.g_02185	Syam.g_00133
OG0000344	Syat.g_02189	Syam.g_00129
OG0000345	Syat.g_02202	Syam.g_00119
OG0000346	Syat.g_02207	Syam.g_00114
OG0000347	Syat.g_02234	Syam.g_00083
OG0000348	Syat.g_02264	Syam.g_00068
OG0000349	Syat.g_02291	Syam.g_00050
OG0000350	Syat.g_01847	Syam.g_00303
OG0000351	Syat.g_02411	Syam.g_02420
OG0000352	Syat.g_02410	Syam.g_02421
OG0000353	Syat.g_00955, Syat.g_02377	Syam.g_02445
OG0000354	Syat.g_03225	Syam.g_00626, Syam.g_00625
OG0000355	Syat.g_02375	Syam.g_00001
OG0000356	Syat.g_02374	Syam.g_00002
OG0000357	Syat.g_02373	Syam.g_00003
OG0000358	Syat.g_02336	Syam.g_00007
OG0000359	Syat.g_02334	Syam.g_00009
OG0000360	Syat.g_02333	Syam.g_00010
OG0000361	Syat.g_02332	Syam.g_00011
OG0000362	Syat.g_02330	Syam.g_00013
OG0000363	Syat.g_02328	Syam.g_00015
OG0000364	Syat.g_03122	Syam.g_00016
OG0000365	Syat.g_02318	Syam.g_00025
OG0000366	Syat.g_02317	Syam.g_00026
OG0000367	Syat.g_02316	Syam.g_00027
OG0000368	Syat.g_02314	Syam.g_00029
OG0000369	Syat.g_02313	Syam.g_00030
OG0000370	Syat.g_02312	Syam.g_00031
OG0000371	Syat.g_02304	Syam.g_00038
OG0000372	Syat.g_02298	Syam.g_00043
OG0000373	Syat.g_02297	Syam.g_00044
