Orthogroup	Prai	Prab
OG0000558	Prai.g_00636	Prab.g_00612
OG0000559	Prai.g_00637	Prab.g_00613
OG0000560	Prai.g_00638	Prab.g_00614
OG0000561	Prai.g_00639	Prab.g_00615
OG0000562	Prai.g_00640	Prab.g_00616
OG0000563	Prai.g_00641	Prab.g_00617
OG0000564	Prai.g_00642	Prab.g_00618
OG0000565	Prai.g_00643	Prab.g_00619
OG0000566	Prai.g_00644	Prab.g_00620
OG0000567	Prai.g_00645	Prab.g_00621
OG0000568	Prai.g_00646	Prab.g_00622
OG0000569	Prai.g_00650	Prab.g_00625
OG0000570	Prai.g_00651	Prab.g_00626
OG0000571	Prai.g_00653	Prab.g_00629
OG0000572	Prai.g_00654	Prab.g_00630
