Orthogroup	Syac	Prai
OG0000243	Syac.g_01821	Prai.g_00571
OG0000244	Syac.g_01814	Prai.g_00574
OG0000245	Syac.g_01811	Prai.g_00576
OG0000246	Syac.g_01807	Prai.g_00580
OG0000247	Syac.g_01795	Prai.g_00590
OG0000248	Syac.g_01792	Prai.g_00593
OG0000249	Syac.g_01790	Prai.g_00595
OG0000250	Syac.g_01782	Prai.g_00600
OG0000251	Syac.g_01757	Prai.g_00619
OG0000252	Syac.g_01753	Prai.g_00622
OG0000253	Syac.g_01752	Prai.g_00623
OG0000254	Syac.g_00939	Prai.g_00639
OG0000255	Syac.g_00947	Prai.g_00645
OG0000256	Syac.g_00963	Prai.g_00656
OG0000257	Syac.g_00969	Prai.g_00659
OG0000258	Syac.g_00988	Prai.g_00672
OG0000259	Syac.g_01425	Prai.g_00689
OG0000260	Syac.g_01422	Prai.g_00692
OG0000261	Syac.g_01418	Prai.g_00694
OG0000262	Syac.g_01413	Prai.g_00698
OG0000263	Syac.g_01497	Prai.g_00710
OG0000264	Syac.g_00915	Prai.g_00720
OG0000265	Syac.g_00673	Prai.g_00748
OG0000266	Syac.g_01271	Prai.g_00758
OG0000267	Syac.g_01131	Prai.g_00769
OG0000268	Syac.g_01132	Prai.g_00770
OG0000269	Syac.g_01346	Prai.g_00853
OG0000270	Syac.g_01343	Prai.g_00850
OG0000271	Syac.g_01335	Prai.g_00842
OG0000272	Syac.g_01334	Prai.g_00840, Prai.g_00841
OG0000273	Syac.g_00854	Prai.g_00817
OG0000274	Syac.g_00853	Prai.g_00816
OG0000275	Syac.g_00848	Prai.g_00741, Prai.g_00813
OG0000276	Syac.g_00840	Prai.g_00808
OG0000277	Syac.g_00839	Prai.g_00807
OG0000278	Syac.g_00836	Prai.g_00804
OG0000279	Syac.g_00828	Prai.g_00797
OG0000280	Syac.g_00814	Prai.g_00796
OG0000281	Syac.g_02158	Prai.g_00791
OG0000282	Syac.g_01392	Prai.g_01044
OG0000283	Syac.g_01142	Prai.g_01012
OG0000284	Syac.g_01148	Prai.g_01007
OG0000285	Syac.g_01160	Prai.g_01002
OG0000286	Syac.g_01181	Prai.g_00990
OG0000287	Syac.g_01692	Prai.g_00973
OG0000288	Syac.g_01240	Prai.g_00944
OG0000289	Syac.g_01254	Prai.g_00934
OG0000290	Syac.g_00881	Prai.g_00921
OG0000291	Syac.g_00883	Prai.g_00919
OG0000292	Syac.g_02487	Prai.g_01107
OG0000293	Syac.g_00754	Prai.g_01163
OG0000294	Syac.g_00755	Prai.g_01164
OG0000295	Syac.g_00796	Prai.g_01183
OG0000296	Syac.g_00798	Prai.g_01185
OG0000297	Syac.g_01475	Prai.g_01193
OG0000298	Syac.g_01476	Prai.g_01194
OG0000299	Syac.g_01503	Prai.g_01213
OG0000300	Syac.g_01510	Prai.g_01216
OG0000301	Syac.g_01511	Prai.g_01217
OG0000302	Syac.g_01512	Prai.g_01219
OG0000303	Syac.g_01520	Prai.g_01226
OG0000304	Syac.g_01526	Prai.g_01230
OG0000305	Syac.g_00886	Prai.g_01362
OG0000306	Syac.g_00810	Prai.g_01365
OG0000307	Syac.g_01924	Prai.g_01379
OG0000308	Syac.g_01926	Prai.g_01380
OG0000309	Syac.g_01931	Prai.g_01384
OG0000310	Syac.g_01607	Prai.g_01448
OG0000311	Syac.g_01611	Prai.g_01450
OG0000312	Syac.g_01619	Prai.g_01453
OG0000313	Syac.g_01638	Prai.g_01467
OG0000314	Syac.g_01665	Prai.g_01489
OG0000315	Syac.g_01675	Prai.g_01499
OG0000316	Syac.g_00601	Prai.g_01519
OG0000317	Syac.g_00552	Prai.g_01636
OG0000318	Syac.g_00543	Prai.g_01639
OG0000319	Syac.g_00525	Prai.g_01652
OG0000320	Syac.g_00523	Prai.g_01654
OG0000321	Syac.g_00522	Prai.g_01655
OG0000322	Syac.g_00521	Prai.g_01656
OG0000323	Syac.g_00506	Prai.g_01665
OG0000324	Syac.g_00648	Prai.g_01691
OG0000325	Syac.g_02190	Prai.g_01702
OG0000326	Syac.g_02183	Prai.g_01708
OG0000327	Syac.g_02137	Prai.g_01735
OG0000328	Syac.g_02136	Prai.g_01736
OG0000329	Syac.g_02119	Prai.g_01754
OG0000330	Syac.g_02118	Prai.g_01755
OG0000331	Syac.g_02117	Prai.g_01756
OG0000332	Syac.g_02103	Prai.g_01770
OG0000333	Syac.g_02100	Prai.g_01777
OG0000334	Syac.g_02090	Prai.g_01785
OG0000335	Syac.g_02085	Prai.g_01790
OG0000336	Syac.g_02081	Prai.g_01794
OG0000337	Syac.g_00199	Prai.g_01810
OG0000338	Syac.g_00196	Prai.g_01811
OG0000339	Syac.g_00190	Prai.g_01815
OG0000340	Syac.g_00178	Prai.g_01823
OG0000341	Syac.g_00176	Prai.g_01825
OG0000342	Syac.g_00175	Prai.g_01826
OG0000343	Syac.g_00174	Prai.g_01827
OG0000344	Syac.g_00170	Prai.g_01830
OG0000345	Syac.g_00160	Prai.g_01835
OG0000346	Syac.g_00155	Prai.g_01839
OG0000347	Syac.g_00129	Prai.g_01855
OG0000348	Syac.g_00070, Syac.g_00074	Prai.g_01866
OG0000349	Syac.g_00050	Prai.g_01883
OG0000350	Syac.g_02176	Prai.g_01901
OG0000351	Syac.g_02468	Prai.g_01918
OG0000352	Syac.g_02469	Prai.g_01919
OG0000353	Syac.g_02493	Prai.g_01935
OG0000355	Syac.g_00001	Prai.g_00001
OG0000356	Syac.g_00002	Prai.g_00002
OG0000357	Syac.g_00003	Prai.g_00003
OG0000358	Syac.g_00007	Prai.g_00007
OG0000359	Syac.g_00009	Prai.g_00008
OG0000360	Syac.g_00010	Prai.g_00009
OG0000361	Syac.g_00011	Prai.g_00010
OG0000362	Syac.g_00013	Prai.g_00012
OG0000363	Syac.g_00015	Prai.g_00014
OG0000364	Syac.g_00016	Prai.g_00015
OG0000365	Syac.g_00023	Prai.g_00020
OG0000366	Syac.g_00024	Prai.g_00021
OG0000367	Syac.g_00025	Prai.g_00022
OG0000368	Syac.g_00027	Prai.g_00024
OG0000369	Syac.g_00028	Prai.g_00025
OG0000370	Syac.g_00029	Prai.g_00026
OG0000371	Syac.g_00036	Prai.g_00032
OG0000372	Syac.g_00041	Prai.g_00035
OG0000373	Syac.g_00042	Prai.g_00036
OG0000374	Syac.g_00043	Prai.g_00037
OG0000375	Syac.g_00046	Prai.g_00047
OG0000376	Syac.g_00048	Prai.g_00049
OG0000377	Syac.g_02346	Prai.g_00052
OG0000378	Syac.g_02338	Prai.g_00054
OG0000379	Syac.g_02335	Prai.g_00057
OG0000380	Syac.g_00452	Prai.g_00066
OG0000381	Syac.g_00449	Prai.g_00070
OG0000382	Syac.g_00434	Prai.g_00081
OG0000383	Syac.g_00432	Prai.g_00083
OG0000384	Syac.g_00431	Prai.g_00084
OG0000385	Syac.g_00430	Prai.g_00085
OG0000386	Syac.g_00429	Prai.g_00086
OG0000387	Syac.g_00404	Prai.g_00099
OG0000388	Syac.g_00401	Prai.g_00102
OG0000389	Syac.g_00397	Prai.g_00106
OG0000390	Syac.g_00379	Prai.g_00113
OG0000391	Syac.g_00374	Prai.g_00116
