Orthogroup	Prbc	Praj
OG0000177	Prbc.g_01091	Praj.g_00021
OG0000178	Prbc.g_01092	Praj.g_00022
OG0000179	Prbc.g_01094	Praj.g_00024
OG0000180	Prbc.g_01095	Praj.g_00025
OG0000181	Prbc.g_01096	Praj.g_00026
OG0000182	Prbc.g_01097	Praj.g_00027
OG0000183	Prbc.g_01098	Praj.g_00028
OG0000184	Prbc.g_01099	Praj.g_00029
OG0000185	Prbc.g_01102	Praj.g_00032
OG0000186	Prbc.g_01104	Praj.g_00034
OG0000187	Prbc.g_01105	Praj.g_00035
OG0000188	Prbc.g_01106	Praj.g_00036
OG0000189	Prbc.g_01118	Praj.g_00044
OG0000190	Prbc.g_01120	Praj.g_00046
OG0000191	Prbc.g_01121	Praj.g_00047
OG0000192	Prbc.g_01122	Praj.g_00048
OG0000193	Prbc.g_01123	Praj.g_00049
OG0000194	Prbc.g_01124	Praj.g_00050
OG0000195	Prbc.g_01125	Praj.g_00051
OG0000196	Prbc.g_01126	Praj.g_00052
OG0000197	Prbc.g_01128	Praj.g_00054
OG0000198	Prbc.g_01129	Praj.g_00055
OG0000199	Prbc.g_01130	Praj.g_00056
OG0000200	Prbc.g_00509	Praj.g_00102
OG0000201	Prbc.g_00508	Praj.g_00103
OG0000202	Prbc.g_00507	Praj.g_00104
OG0000203	Prbc.g_00504	Praj.g_00107
OG0000204	Prbc.g_00503	Praj.g_00108
OG0000205	Prbc.g_00500	Praj.g_00111
OG0000206	Prbc.g_00498	Praj.g_00113
OG0000207	Prbc.g_00496	Praj.g_00115
OG0000208	Prbc.g_00495	Praj.g_00116
OG0000209	Prbc.g_00494	Praj.g_00117
OG0000210	Prbc.g_00493	Praj.g_00118
OG0000211	Prbc.g_00492	Praj.g_00119
OG0000212	Prbc.g_00491	Praj.g_00120
OG0000213	Prbc.g_00490	Praj.g_00121
OG0000214	Prbc.g_00489	Praj.g_00122
OG0000215	Prbc.g_00488	Praj.g_00123
OG0000216	Prbc.g_00487	Praj.g_00124
OG0000217	Prbc.g_00485	Praj.g_00126
OG0000218	Prbc.g_00484	Praj.g_00127
OG0000219	Prbc.g_00483	Praj.g_00128
OG0000220	Prbc.g_00482	Praj.g_00129
OG0000221	Prbc.g_00479	Praj.g_00132
OG0000222	Prbc.g_00478	Praj.g_00133
OG0000223	Prbc.g_00477	Praj.g_00134
OG0000224	Prbc.g_00476	Praj.g_00135
OG0000225	Prbc.g_00475	Praj.g_00136
OG0000226	Prbc.g_00474	Praj.g_00137
OG0000227	Prbc.g_00472	Praj.g_00139
OG0000228	Prbc.g_00471	Praj.g_00140
OG0000229	Prbc.g_00470	Praj.g_00141
OG0000230	Prbc.g_00469	Praj.g_00142
OG0000231	Prbc.g_00468	Praj.g_00143
OG0000232	Prbc.g_00467	Praj.g_00144
OG0000233	Prbc.g_00466	Praj.g_00145
OG0000234	Prbc.g_00465	Praj.g_00146
OG0000235	Prbc.g_00464	Praj.g_00147
OG0000236	Prbc.g_00461	Praj.g_00150
OG0000237	Prbc.g_00460	Praj.g_00151
OG0000238	Prbc.g_00459	Praj.g_00152
OG0000239	Prbc.g_00457	Praj.g_00154
OG0000240	Prbc.g_00455	Praj.g_00156
OG0000241	Prbc.g_00454	Praj.g_00157
OG0000242	Prbc.g_00453	Praj.g_00158
OG0000243	Prbc.g_00451	Praj.g_00160
OG0000244	Prbc.g_00448	Praj.g_00163
OG0000245	Prbc.g_00447	Praj.g_00164
OG0000246	Prbc.g_00446	Praj.g_00165
OG0000247	Prbc.g_00443	Praj.g_00168
OG0000248	Prbc.g_00441	Praj.g_00170
OG0000249	Prbc.g_00439	Praj.g_00172
OG0000250	Prbc.g_00438	Praj.g_00173
OG0000251	Prbc.g_00437	Praj.g_00174
OG0000252	Prbc.g_00436	Praj.g_00175
OG0000253	Prbc.g_00435	Praj.g_00176
OG0000254	Prbc.g_02145	Praj.g_01057
OG0000255	Prbc.g_00434	Praj.g_00177
OG0000256	Prbc.g_00431	Praj.g_00180
OG0000257	Prbc.g_00428	Praj.g_00183
OG0000258	Prbc.g_00426	Praj.g_00185
OG0000259	Prbc.g_00425	Praj.g_00186
OG0000260	Prbc.g_00424	Praj.g_00187
OG0000261	Prbc.g_00423	Praj.g_00188
OG0000262	Prbc.g_00422	Praj.g_00189
OG0000263	Prbc.g_00420	Praj.g_00191
OG0000264	Prbc.g_00419	Praj.g_00192
OG0000265	Prbc.g_00418	Praj.g_00193
OG0000266	Prbc.g_00417	Praj.g_00194
OG0000267	Prbc.g_00416	Praj.g_00195
OG0000268	Prbc.g_00415	Praj.g_00196
OG0000269	Prbc.g_00413	Praj.g_00198
OG0000270	Prbc.g_00412	Praj.g_00199
OG0000271	Prbc.g_00411	Praj.g_00200
OG0000272	Prbc.g_00410	Praj.g_00201
OG0000273	Prbc.g_00409	Praj.g_00202
OG0000274	Prbc.g_00408	Praj.g_00203
OG0000275	Prbc.g_00407	Praj.g_00204
OG0000276	Prbc.g_00406	Praj.g_00205
OG0000277	Prbc.g_00404	Praj.g_00207
OG0000278	Prbc.g_00403	Praj.g_00208
OG0000279	Prbc.g_00402	Praj.g_00209
OG0000280	Prbc.g_00400	Praj.g_00211
OG0000281	Prbc.g_00399	Praj.g_00212
OG0000282	Prbc.g_00398	Praj.g_00213
OG0000283	Prbc.g_00397	Praj.g_00214
OG0000284	Prbc.g_00396	Praj.g_00215
OG0000285	Prbc.g_00395	Praj.g_00216
OG0000286	Prbc.g_00394	Praj.g_00217
OG0000287	Prbc.g_00393	Praj.g_00218
OG0000288	Prbc.g_00391	Praj.g_00220
OG0000289	Prbc.g_00390	Praj.g_00221
OG0000290	Prbc.g_00389	Praj.g_00222
OG0000291	Prbc.g_00387	Praj.g_00224
OG0000292	Prbc.g_00385	Praj.g_00226
OG0000293	Prbc.g_00384	Praj.g_00227
OG0000294	Prbc.g_00383	Praj.g_00228
OG0000295	Prbc.g_00382	Praj.g_00229
OG0000296	Prbc.g_00381	Praj.g_00230
OG0000297	Prbc.g_00380	Praj.g_00231
OG0000298	Prbc.g_00378	Praj.g_00233
OG0000299	Prbc.g_00377	Praj.g_00234
OG0000300	Prbc.g_00376	Praj.g_00235
OG0000301	Prbc.g_00375	Praj.g_00236
OG0000302	Prbc.g_00374	Praj.g_00237
OG0000303	Prbc.g_00373	Praj.g_00238
OG0000304	Prbc.g_00371	Praj.g_00240
OG0000305	Prbc.g_00370	Praj.g_00241
OG0000306	Prbc.g_00368	Praj.g_00243
OG0000307	Prbc.g_00367	Praj.g_00244
OG0000308	Prbc.g_00366	Praj.g_00245
OG0000309	Prbc.g_00365	Praj.g_00246
OG0000310	Prbc.g_00364	Praj.g_00247
OG0000311	Prbc.g_00363	Praj.g_00248
OG0000312	Prbc.g_00362	Praj.g_00249
OG0000313	Prbc.g_00361	Praj.g_00250
OG0000314	Prbc.g_00360	Praj.g_00251
OG0000315	Prbc.g_00358	Praj.g_00252
OG0000316	Prbc.g_00357	Praj.g_00253
OG0000317	Prbc.g_00356	Praj.g_00254
OG0000318	Prbc.g_00355	Praj.g_00255
OG0000319	Prbc.g_00354	Praj.g_00256
OG0000320	Prbc.g_00353	Praj.g_00257
OG0000321	Prbc.g_00352	Praj.g_00258
OG0000322	Prbc.g_00351	Praj.g_00259
OG0000323	Prbc.g_00350	Praj.g_00260
