Orthogroup	Prbi	Prak
OG0000300	Prbi.g_01250	Prak.g_01124
OG0000301	Prbi.g_01251	Prak.g_01123
OG0000302	Prbi.g_01253	Prak.g_01121
OG0000303	Prbi.g_01260	Prak.g_01115
OG0000304	Prbi.g_01264	Prak.g_00594
OG0000305	Prbi.g_01431	Prak.g_01215
OG0000306	Prbi.g_01434	Prak.g_00909
OG0000307	Prbi.g_01448	Prak.g_01338
OG0000308	Prbi.g_01449	Prak.g_01339
OG0000309	Prbi.g_01453	Prak.g_01343
OG0000310	Prbi.g_01574	Prak.g_01377
OG0000311	Prbi.g_01576	Prak.g_01379
OG0000312	Prbi.g_01579	Prak.g_01382
OG0000313	Prbi.g_01595	Prak.g_01395
OG0000314	Prbi.g_01617	Prak.g_01418
OG0000315	Prbi.g_01627	Prak.g_01428
OG0000316	Prbi.g_01647	Prak.g_01453
OG0000317	Prbi.g_01785	Prak.g_01642
OG0000318	Prbi.g_01788	Prak.g_01646
OG0000319	Prbi.g_01801	Prak.g_01659
OG0000320	Prbi.g_01803	Prak.g_01661
OG0000321	Prbi.g_01804	Prak.g_01662
OG0000322	Prbi.g_01805	Prak.g_01663
OG0000323	Prbi.g_01814	Prak.g_01672
OG0000324	Prbi.g_01840	Prak.g_01699
OG0000325	Prbi.g_01849	Prak.g_01710
OG0000326	Prbi.g_01855	Prak.g_01717
OG0000327	Prbi.g_01897	Prak.g_01738
OG0000328	Prbi.g_01898	Prak.g_01739
OG0000329	Prbi.g_01915	Prak.g_01756
OG0000330	Prbi.g_01916	Prak.g_01757
OG0000331	Prbi.g_01917	Prak.g_01758
OG0000332	Prbi.g_01931	Prak.g_01772
OG0000333	Prbi.g_01933	Prak.g_01774
OG0000334	Prbi.g_01941	Prak.g_01783
OG0000335	Prbi.g_01946	Prak.g_01788
OG0000336	Prbi.g_01950	Prak.g_01792
OG0000337	Prbi.g_01966	Prak.g_01810
OG0000338	Prbi.g_01967	Prak.g_01811
OG0000339	Prbi.g_01971	Prak.g_01817
OG0000340	Prbi.g_01979	Prak.g_01826
OG0000341	Prbi.g_01981	Prak.g_01828
OG0000342	Prbi.g_01982	Prak.g_01829
OG0000343	Prbi.g_01983	Prak.g_01830
OG0000344	Prbi.g_01986	Prak.g_01833
OG0000345	Prbi.g_01991	Prak.g_01839
OG0000346	Prbi.g_01995	Prak.g_01843
OG0000347	Prbi.g_02011	Prak.g_01860
OG0000348	Prbi.g_02033	Prak.g_01868
OG0000349	Prbi.g_02050	Prak.g_01886
OG0000350	Prbi.g_02069	Prak.g_00656
OG0000351	Prbi.g_02086	Prak.g_01926
OG0000352	Prbi.g_02087	Prak.g_01927
OG0000353	Prbi.g_02102	Prak.g_01944
OG0000355	Prbi.g_00001	Prak.g_00001
OG0000356	Prbi.g_00002	Prak.g_00002
OG0000357	Prbi.g_00003	Prak.g_00003
OG0000358	Prbi.g_00007	Prak.g_00007
OG0000359	Prbi.g_00008	Prak.g_00008
OG0000360	Prbi.g_00009	Prak.g_00009
OG0000361	Prbi.g_00010	Prak.g_00010
OG0000362	Prbi.g_00012	Prak.g_00012
OG0000363	Prbi.g_00014	Prak.g_00014
OG0000364	Prbi.g_00015	Prak.g_00015
OG0000365	Prbi.g_00020	Prak.g_00020
OG0000366	Prbi.g_00021	Prak.g_00021
OG0000367	Prbi.g_00022	Prak.g_00022
OG0000368	Prbi.g_00024	Prak.g_00024
OG0000369	Prbi.g_00025	Prak.g_00025
OG0000370	Prbi.g_00026	Prak.g_00026
OG0000371	Prbi.g_00032	Prak.g_00033
OG0000372	Prbi.g_00035	Prak.g_00036
OG0000373	Prbi.g_00036	Prak.g_00037
OG0000374	Prbi.g_00037	Prak.g_00038
OG0000375	Prbi.g_00049	Prak.g_00040
OG0000376	Prbi.g_00051	Prak.g_00042
OG0000377	Prbi.g_00056	Prak.g_00046
OG0000378	Prbi.g_00058	Prak.g_00050
OG0000379	Prbi.g_00061	Prak.g_00053
OG0000380	Prbi.g_00073	Prak.g_00070
OG0000381	Prbi.g_00077	Prak.g_00075
OG0000382	Prbi.g_00088	Prak.g_00085
OG0000383	Prbi.g_00090	Prak.g_00087
OG0000384	Prbi.g_00091	Prak.g_00088
OG0000385	Prbi.g_00092	Prak.g_00089
OG0000386	Prbi.g_00093	Prak.g_00090
OG0000387	Prbi.g_00106	Prak.g_00104
OG0000388	Prbi.g_00109	Prak.g_00108
OG0000389	Prbi.g_00113	Prak.g_00111
OG0000390	Prbi.g_00120	Prak.g_00121
OG0000391	Prbi.g_00124	Prak.g_00124
OG0000392	Prbi.g_00128	Prak.g_00128
OG0000393	Prbi.g_00130	Prak.g_00131
OG0000394	Prbi.g_00131	Prak.g_00132
OG0000395	Prbi.g_00132	Prak.g_00133
OG0000396	Prbi.g_00135	Prak.g_00135
OG0000397	Prbi.g_00137	Prak.g_00137
OG0000398	Prbi.g_00139	Prak.g_00140
OG0000399	Prbi.g_00140	Prak.g_00141
OG0000400	Prbi.g_00141	Prak.g_00142
OG0000401	Prbi.g_00142	Prak.g_00143
OG0000402	Prbi.g_00144	Prak.g_01035
OG0000403	Prbi.g_00145	Prak.g_00145
OG0000404	Prbi.g_00146	Prak.g_00146
OG0000405	Prbi.g_00150	Prak.g_00150
OG0000406	Prbi.g_00171	Prak.g_00158
OG0000407	Prbi.g_00172	Prak.g_00159
OG0000408	Prbi.g_00174	Prak.g_00161
OG0000409	Prbi.g_00176	Prak.g_00163
OG0000410	Prbi.g_00177	Prak.g_00164
OG0000411	Prbi.g_00178	Prak.g_00165
OG0000412	Prbi.g_00179	Prak.g_00166
OG0000413	Prbi.g_00180	Prak.g_00168
OG0000414	Prbi.g_00181	Prak.g_00169
OG0000415	Prbi.g_00182	Prak.g_00170
OG0000416	Prbi.g_00183	Prak.g_00171
OG0000417	Prbi.g_00184	Prak.g_00172
OG0000418	Prbi.g_00189	Prak.g_00177
OG0000419	Prbi.g_00191	Prak.g_00179
OG0000420	Prbi.g_00192	Prak.g_00180
OG0000421	Prbi.g_00197	Prak.g_00185
OG0000422	Prbi.g_00198	Prak.g_00186
OG0000423	Prbi.g_00199	Prak.g_00187
OG0000424	Prbi.g_00200	Prak.g_00188
OG0000425	Prbi.g_00201	Prak.g_00189
OG0000426	Prbi.g_00202	Prak.g_00190
OG0000427	Prbi.g_00203	Prak.g_00191
OG0000428	Prbi.g_00205	Prak.g_00193
OG0000429	Prbi.g_00206	Prak.g_00194
OG0000430	Prbi.g_00207	Prak.g_00195
OG0000431	Prbi.g_00209	Prak.g_00197
OG0000432	Prbi.g_00212	Prak.g_00201
OG0000433	Prbi.g_00213	Prak.g_00202
OG0000434	Prbi.g_00214	Prak.g_00203
OG0000435	Prbi.g_00215	Prak.g_00204
OG0000436	Prbi.g_00220	Prak.g_00209
OG0000437	Prbi.g_00221	Prak.g_00210
OG0000438	Prbi.g_00222	Prak.g_00211
OG0000439	Prbi.g_00224	Prak.g_00213
OG0000440	Prbi.g_00225	Prak.g_00214
OG0000441	Prbi.g_00228	Prak.g_00217
OG0000442	Prbi.g_00229	Prak.g_00218
OG0000443	Prbi.g_00230	Prak.g_00219
