Orthogroup	Prbg	Prbc
OG0000112	Prbg.g_01404	Prbc.g_01729
OG0000113	Prbg.g_01354	Prbc.g_01811
OG0000114	Prbg.g_01157	Prbc.g_01856
OG0000115	Prbg.g_01287	Prbc.g_02036
OG0000116	Prbg.g_01291	Prbc.g_02040
OG0000117	Prbg.g_01237	Prbc.g_02110
OG0000118	Prbg.g_01531	Prbc.g_00173
OG0000119	Prbg.g_00752	Prbc.g_00899
OG0000120	Prbg.g_01480	Prbc.g_01439
OG0000121	Prbg.g_01457	Prbc.g_01417
OG0000122	Prbg.g_01437	Prbc.g_01397
OG0000123	Prbg.g_00352	Prbc.g_01387
OG0000124	Prbg.g_00687	Prbc.g_02103
OG0000125	Prbg.g_00490	Prbc.g_00577
OG0000126	Prbg.g_00529	Prbc.g_00657
OG0000127	Prbg.g_00579	Prbc.g_00695
OG0000128	Prbg.g_00592	Prbc.g_00710
OG0000129	Prbg.g_00628	Prbc.g_00744
OG0000130	Prbg.g_01647	Prbc.g_00830
OG0000131	Prbg.g_01686	Prbc.g_00867
OG0000132	Prbg.g_01689	Prbc.g_00869
OG0000133	Prbg.g_01743	Prbc.g_00326
OG0000134	Prbg.g_01779	Prbc.g_00290
OG0000135	Prbg.g_01781	Prbc.g_01560, Prbc.g_00288
OG0000136	Prbg.g_01831	Prbc.g_00226
OG0000137	Prbg.g_01865	Prbc.g_00190
OG0000138	Prbg.g_01900	Prbc.g_00997
OG0000139	Prbg.g_01931	Prbc.g_01047
OG0000140	Prbg.g_00768	Prbc.g_01071
OG0000141	Prbg.g_00769	Prbc.g_01072
OG0000142	Prbg.g_00771	Prbc.g_01074
OG0000143	Prbg.g_00772	Prbc.g_01075
OG0000144	Prbg.g_00774	Prbc.g_01077
OG0000145	Prbg.g_00775	Prbc.g_01078
OG0000146	Prbg.g_00776	Prbc.g_01079
OG0000147	Prbg.g_00777	Prbc.g_01080
OG0000148	Prbg.g_00779	Prbc.g_01082
OG0000149	Prbg.g_00860	Prbc.g_01084
OG0000150	Prbg.g_00859	Prbc.g_01085
OG0000151	Prbg.g_00858	Prbc.g_01086
OG0000152	Prbg.g_00857	Prbc.g_01087
OG0000153	Prbg.g_00856	Prbc.g_01088
OG0000154	Prbg.g_00855	Prbc.g_01089
OG0000155	Prbg.g_00854	Prbc.g_01090
OG0000156	Prbg.g_00853	Prbc.g_01091
OG0000157	Prbg.g_00852	Prbc.g_01092
OG0000158	Prbg.g_00850	Prbc.g_01094
OG0000159	Prbg.g_00849	Prbc.g_01095
OG0000160	Prbg.g_00848	Prbc.g_01096
OG0000161	Prbg.g_00847	Prbc.g_01097
OG0000162	Prbg.g_00846	Prbc.g_01098
OG0000163	Prbg.g_00844	Prbc.g_01099
OG0000164	Prbg.g_00841	Prbc.g_01102
OG0000165	Prbg.g_00838	Prbc.g_01104
OG0000166	Prbg.g_00837	Prbc.g_01105
OG0000167	Prbg.g_00836	Prbc.g_01106
OG0000168	Prbg.g_00834	Prbc.g_01118
OG0000169	Prbg.g_00832	Prbc.g_01120
OG0000170	Prbg.g_00830	Prbc.g_01121
OG0000171	Prbg.g_00829	Prbc.g_01122
OG0000172	Prbg.g_00828	Prbc.g_01123
OG0000173	Prbg.g_00825	Prbc.g_01124
OG0000174	Prbg.g_00824	Prbc.g_01125
OG0000175	Prbg.g_00823	Prbc.g_01126
OG0000176	Prbg.g_00821	Prbc.g_01128
OG0000177	Prbg.g_00820	Prbc.g_01129
OG0000178	Prbg.g_00818	Prbc.g_01130
OG0000179	Prbg.g_00806	Prbc.g_00509
OG0000180	Prbg.g_00805	Prbc.g_00508
OG0000181	Prbg.g_00804	Prbc.g_00507
OG0000182	Prbg.g_00800	Prbc.g_00504
OG0000183	Prbg.g_00799	Prbc.g_00503
OG0000184	Prbg.g_00796	Prbc.g_00500
OG0000185	Prbg.g_00792	Prbc.g_00496
OG0000186	Prbg.g_00791	Prbc.g_00495
OG0000187	Prbg.g_00017	Prbc.g_00494
OG0000188	Prbg.g_00790	Prbc.g_00493
OG0000189	Prbg.g_00789	Prbc.g_00492
OG0000190	Prbg.g_00788	Prbc.g_00491
OG0000191	Prbg.g_00787	Prbc.g_00490
OG0000192	Prbg.g_00786	Prbc.g_00489
OG0000193	Prbg.g_00785	Prbc.g_00488
OG0000194	Prbg.g_00784	Prbc.g_00487
OG0000195	Prbg.g_00782	Prbc.g_00485
OG0000196	Prbg.g_00781	Prbc.g_00484
OG0000197	Prbg.g_00780	Prbc.g_00483
OG0000198	Prbg.g_00861	Prbc.g_00482
OG0000199	Prbg.g_00864	Prbc.g_00479
OG0000200	Prbg.g_00865	Prbc.g_00478
OG0000201	Prbg.g_00866	Prbc.g_00477
OG0000202	Prbg.g_00868	Prbc.g_00476
OG0000203	Prbg.g_00869	Prbc.g_00475
OG0000204	Prbg.g_00870	Prbc.g_00474
OG0000205	Prbg.g_00872	Prbc.g_00472
OG0000206	Prbg.g_00873	Prbc.g_00471
OG0000207	Prbg.g_00874	Prbc.g_00470
OG0000208	Prbg.g_00875	Prbc.g_00469
OG0000209	Prbg.g_00876	Prbc.g_00468
OG0000210	Prbg.g_00877	Prbc.g_00467
OG0000211	Prbg.g_00879	Prbc.g_00466
OG0000212	Prbg.g_00880	Prbc.g_00465
OG0000213	Prbg.g_00881	Prbc.g_00464
OG0000214	Prbg.g_00885	Prbc.g_00460
OG0000215	Prbg.g_00886	Prbc.g_00459
OG0000216	Prbg.g_00888	Prbc.g_00457
OG0000217	Prbg.g_00889	Prbc.g_00455
OG0000218	Prbg.g_00890	Prbc.g_00454
OG0000219	Prbg.g_00891	Prbc.g_00453
OG0000220	Prbg.g_00894	Prbc.g_00451
OG0000221	Prbg.g_00897	Prbc.g_00448
OG0000222	Prbg.g_00898	Prbc.g_00447
OG0000223	Prbg.g_00899	Prbc.g_00446
OG0000224	Prbg.g_00901	Prbc.g_00443
OG0000225	Prbg.g_00903	Prbc.g_00441
OG0000226	Prbg.g_00905	Prbc.g_00439
OG0000227	Prbg.g_00906	Prbc.g_00438
OG0000228	Prbg.g_00907	Prbc.g_00437
OG0000229	Prbg.g_00908	Prbc.g_00436
OG0000230	Prbg.g_00909	Prbc.g_00435
OG0000231	Prbg.g_01349	Prbc.g_02145
OG0000232	Prbg.g_00911	Prbc.g_00434
OG0000233	Prbg.g_00914	Prbc.g_00431
OG0000234	Prbg.g_00916	Prbc.g_00428
OG0000235	Prbg.g_00922	Prbc.g_00426
OG0000236	Prbg.g_00923	Prbc.g_00425
OG0000237	Prbg.g_00924	Prbc.g_00424
OG0000238	Prbg.g_00925	Prbc.g_00423
OG0000239	Prbg.g_00926	Prbc.g_00422
OG0000240	Prbg.g_00928	Prbc.g_00420
OG0000241	Prbg.g_00929	Prbc.g_00419
OG0000242	Prbg.g_00930	Prbc.g_00418
OG0000243	Prbg.g_00931	Prbc.g_00417
OG0000244	Prbg.g_00932	Prbc.g_00416
OG0000245	Prbg.g_00934	Prbc.g_00415
OG0000246	Prbg.g_00936	Prbc.g_00413
OG0000247	Prbg.g_00937	Prbc.g_00412
OG0000248	Prbg.g_00938	Prbc.g_00411
OG0000249	Prbg.g_00939	Prbc.g_00410
OG0000250	Prbg.g_00940	Prbc.g_00409
OG0000251	Prbg.g_00941	Prbc.g_00408
OG0000252	Prbg.g_00942	Prbc.g_00407
OG0000253	Prbg.g_00943	Prbc.g_00406
OG0000254	Prbg.g_00945	Prbc.g_00404
OG0000255	Prbg.g_00946	Prbc.g_00403
OG0000256	Prbg.g_00949	Prbc.g_00400
OG0000257	Prbg.g_00951	Prbc.g_00399
OG0000258	Prbg.g_00952	Prbc.g_00398
OG0000259	Prbg.g_00953	Prbc.g_00397
OG0000260	Prbg.g_00954	Prbc.g_00396
OG0000261	Prbg.g_00955	Prbc.g_00395
OG0000262	Prbg.g_00956	Prbc.g_00394
OG0000263	Prbg.g_00957	Prbc.g_00393
OG0000264	Prbg.g_00959	Prbc.g_00391
OG0000265	Prbg.g_00960	Prbc.g_00390
OG0000266	Prbg.g_00961	Prbc.g_00389
OG0000267	Prbg.g_00963	Prbc.g_00387
OG0000268	Prbg.g_00965	Prbc.g_00385
OG0000269	Prbg.g_00966	Prbc.g_00384
OG0000270	Prbg.g_00967	Prbc.g_00383
OG0000271	Prbg.g_00968	Prbc.g_00382
OG0000272	Prbg.g_00969	Prbc.g_00381
OG0000273	Prbg.g_00970	Prbc.g_00380
OG0000274	Prbg.g_00971	Prbc.g_00379
OG0000275	Prbg.g_00972	Prbc.g_00378
OG0000276	Prbg.g_00973	Prbc.g_00377
OG0000277	Prbg.g_00974	Prbc.g_00376
OG0000278	Prbg.g_00975	Prbc.g_00375
OG0000279	Prbg.g_00976	Prbc.g_00374
OG0000280	Prbg.g_00977	Prbc.g_00373
OG0000281	Prbg.g_00979	Prbc.g_00371
OG0000282	Prbg.g_00980	Prbc.g_00370
OG0000283	Prbg.g_00983	Prbc.g_00368
OG0000284	Prbg.g_00984	Prbc.g_00367
OG0000285	Prbg.g_00985	Prbc.g_00366
OG0000286	Prbg.g_00987	Prbc.g_00364
OG0000287	Prbg.g_00989	Prbc.g_00363
OG0000288	Prbg.g_00990	Prbc.g_00362
OG0000289	Prbg.g_00991	Prbc.g_00361
OG0000290	Prbg.g_00992	Prbc.g_00360
OG0000291	Prbg.g_00993	Prbc.g_00358
OG0000292	Prbg.g_00994	Prbc.g_00357
OG0000293	Prbg.g_00995	Prbc.g_00356
OG0000294	Prbg.g_00996	Prbc.g_00355
OG0000295	Prbg.g_00997	Prbc.g_00354
OG0000296	Prbg.g_00998	Prbc.g_00353
OG0000297	Prbg.g_00999	Prbc.g_00352
