Orthogroup	Prbc	Prav
OG0000298	Prbc.g_01420	Prav.g_01858
OG0000299	Prbc.g_01401	Prav.g_01841
OG0000300	Prbc.g_01398	Prav.g_01838
OG0000301	Prbc.g_01397	Prav.g_00955, Prav.g_01837
OG0000302	Prbc.g_01395	Prav.g_01835
OG0000303	Prbc.g_01390	Prav.g_01828
OG0000304	Prbc.g_01387	Prav.g_01824
OG0000305	Prbc.g_00810	Prav.g_01465
OG0000306	Prbc.g_01921	Prav.g_01468
OG0000307	Prbc.g_00666	Prav.g_01482
OG0000308	Prbc.g_00667	Prav.g_01483
OG0000309	Prbc.g_00671	Prav.g_01487
OG0000310	Prbc.g_00693	Prav.g_01563
OG0000311	Prbc.g_00695	Prav.g_01565
OG0000312	Prbc.g_00698	Prav.g_01568
OG0000313	Prbc.g_00713	Prav.g_01582
OG0000314	Prbc.g_00734	Prav.g_01605
OG0000315	Prbc.g_00744	Prav.g_01615
OG0000316	Prbc.g_00768	Prav.g_01635
OG0000317	Prbc.g_00830	Prav.g_01759
OG0000318	Prbc.g_00833	Prav.g_01762
OG0000319	Prbc.g_00844	Prav.g_01775
OG0000320	Prbc.g_00846	Prav.g_01777
OG0000321	Prbc.g_00847	Prav.g_01778
OG0000322	Prbc.g_00848	Prav.g_01779
OG0000323	Prbc.g_00857	Prav.g_01788
OG0000324	Prbc.g_00884	Prav.g_01815
OG0000325	Prbc.g_00935	Prav.g_00269
OG0000326	Prbc.g_00941	Prav.g_00275
OG0000327	Prbc.g_00326	Prav.g_00591
OG0000328	Prbc.g_00325	Prav.g_00592
OG0000329	Prbc.g_00308	Prav.g_00609
OG0000330	Prbc.g_00307	Prav.g_00610
OG0000331	Prbc.g_00306	Prav.g_00611
OG0000332	Prbc.g_00292	Prav.g_00625
OG0000333	Prbc.g_00290	Prav.g_00627
OG0000334	Prbc.g_00281	Prav.g_00635
OG0000335	Prbc.g_00276	Prav.g_00640
OG0000336	Prbc.g_00272	Prav.g_00644
OG0000337	Prbc.g_00241	Prav.g_00661
OG0000338	Prbc.g_00240	Prav.g_00662
OG0000339	Prbc.g_00235	Prav.g_00666
OG0000340	Prbc.g_00226	Prav.g_00674
OG0000341	Prbc.g_00224	Prav.g_00676
OG0000342	Prbc.g_00223	Prav.g_00677
OG0000343	Prbc.g_00222	Prav.g_00678
OG0000344	Prbc.g_00219	Prav.g_00681
OG0000345	Prbc.g_00214	Prav.g_00686
OG0000346	Prbc.g_00210	Prav.g_00690
OG0000347	Prbc.g_00190	Prav.g_00706
OG0000348	Prbc.g_00970	Prav.g_00715
OG0000349	Prbc.g_00988	Prav.g_00732
OG0000350	Prbc.g_01009	Prav.g_00751
OG0000351	Prbc.g_01047	Prav.g_00768
OG0000352	Prbc.g_01048	Prav.g_00769
OG0000353	Prbc.g_01068	Prav.g_00785
OG0000355	Prbc.g_01071	Prav.g_00787
OG0000356	Prbc.g_01072	Prav.g_00788
OG0000357	Prbc.g_01073	Prav.g_00789
OG0000358	Prbc.g_01077	Prav.g_00793
OG0000359	Prbc.g_01078	Prav.g_00794
OG0000360	Prbc.g_01079	Prav.g_00795
OG0000361	Prbc.g_01080	Prav.g_00078
OG0000362	Prbc.g_01082	Prav.g_00080
OG0000363	Prbc.g_01084	Prav.g_00082
OG0000364	Prbc.g_01085	Prav.g_00083
OG0000365	Prbc.g_01090	Prav.g_00088
OG0000366	Prbc.g_01091	Prav.g_00089
OG0000367	Prbc.g_01092	Prav.g_00090
OG0000368	Prbc.g_01094	Prav.g_00092
OG0000369	Prbc.g_01095	Prav.g_00093
OG0000370	Prbc.g_01096	Prav.g_00094
OG0000371	Prbc.g_01102	Prav.g_00100
OG0000372	Prbc.g_01104	Prav.g_00103
OG0000373	Prbc.g_01105	Prav.g_00104
OG0000374	Prbc.g_01106	Prav.g_00105
OG0000375	Prbc.g_01118	Prav.g_00111
OG0000376	Prbc.g_01120	Prav.g_00113
OG0000377	Prbc.g_01123	Prav.g_00116
OG0000378	Prbc.g_01125	Prav.g_00118
OG0000379	Prbc.g_01128	Prav.g_00121
OG0000380	Prbc.g_00507	Prav.g_00131
OG0000381	Prbc.g_00503	Prav.g_00135
OG0000382	Prbc.g_00492	Prav.g_00146
OG0000383	Prbc.g_00490	Prav.g_00148
OG0000384	Prbc.g_00489	Prav.g_00149
OG0000385	Prbc.g_00488	Prav.g_00150
OG0000386	Prbc.g_00487	Prav.g_00151
OG0000387	Prbc.g_00474	Prav.g_00164
OG0000388	Prbc.g_00470	Prav.g_00167
OG0000389	Prbc.g_00467	Prav.g_00171
OG0000390	Prbc.g_00458	Prav.g_00178
OG0000391	Prbc.g_00454	Prav.g_00181
OG0000392	Prbc.g_00451	Prav.g_00185
OG0000393	Prbc.g_00448	Prav.g_00187
OG0000394	Prbc.g_00447	Prav.g_00188
OG0000395	Prbc.g_00446	Prav.g_00189
OG0000396	Prbc.g_00443	Prav.g_00192
OG0000397	Prbc.g_00441	Prav.g_00194
OG0000398	Prbc.g_00438	Prav.g_00196
OG0000399	Prbc.g_00437	Prav.g_00197
OG0000400	Prbc.g_00436	Prav.g_00198
OG0000401	Prbc.g_00435	Prav.g_00199
OG0000402	Prbc.g_02145	Prav.g_00201
OG0000403	Prbc.g_00434	Prav.g_00202
OG0000404	Prbc.g_00433	Prav.g_00203
OG0000405	Prbc.g_00428	Prav.g_00207
OG0000406	Prbc.g_00424	Prav.g_00214
OG0000407	Prbc.g_00423	Prav.g_00215
OG0000409	Prbc.g_00419	Prav.g_00886
OG0000410	Prbc.g_00418	Prav.g_00885
OG0000411	Prbc.g_00417	Prav.g_00884
