Orthogroup	Prah	Pram
OG0000127	Prah.g_01758	Pram.g_00777
OG0000128	Prah.g_00885	Pram.g_00803
OG0000129	Prah.g_00752	Pram.g_01006
OG0000130	Prah.g_01231, Prah.g_01233	Pram.g_00905
OG0000131	Prah.g_01823, Prah.g_00669	Pram.g_00807
OG0000132	Prah.g_00605	Pram.g_00843
OG0000133	Prah.g_00699	Pram.g_00751
OG0000134	Prah.g_00692	Pram.g_01038
OG0000135	Prah.g_00805	Pram.g_00947
OG0000136	Prah.g_00912	Pram.g_00891
OG0000137	Prah.g_02526	Pram.g_01549
OG0000138	Prah.g_01328	Pram.g_01146
OG0000139	Prah.g_01315	Pram.g_01133
OG0000140	Prah.g_01237, Prah.g_01238	Pram.g_00571
OG0000141	Prah.g_00905	Pram.g_01254
OG0000142	Prah.g_01378	Pram.g_01242
OG0000143	Prah.g_01576	Pram.g_01468
OG0000144	Prah.g_00424	Pram.g_01393
OG0000145	Prah.g_00407	Pram.g_01377
OG0000146	Prah.g_00361	Pram.g_01341
OG0000147	Prah.g_01653	Pram.g_01294
OG0000148	Prah.g_01654	Pram.g_01293
OG0000149	Prah.g_01672	Pram.g_01629
OG0000150	Prah.g_01725	Pram.g_01669
OG0000151	Prah.g_01728	Pram.g_01672
OG0000152	Prah.g_01762	Pram.g_01691
OG0000153	Prah.g_02038	Pram.g_01728
OG0000154	Prah.g_02001	Pram.g_01764
OG0000155	Prah.g_01981	Pram.g_01783
OG0000156	Prah.g_02244	Pram.g_01817
OG0000157	Prah.g_00089	Pram.g_01851
OG0000158	Prah.g_02578	Pram.g_01917
OG0000160	Prah.g_00002	Pram.g_01939
OG0000161	Prah.g_00003	Pram.g_01940
OG0000162	Prah.g_00005	Pram.g_01942
OG0000163	Prah.g_00006	Pram.g_01943
OG0000164	Prah.g_00007	Pram.g_01944
OG0000165	Prah.g_00008	Pram.g_01945
OG0000166	Prah.g_00010	Pram.g_01946
OG0000167	Prah.g_00011	Pram.g_01947
OG0000168	Prah.g_00012	Pram.g_01948
OG0000169	Prah.g_00014	Pram.g_01950
OG0000170	Prah.g_00016	Pram.g_00001
OG0000171	Prah.g_00017	Pram.g_00002
OG0000172	Prah.g_00022	Pram.g_00003
OG0000173	Prah.g_00023	Pram.g_00004
OG0000174	Prah.g_00024	Pram.g_00005
OG0000175	Prah.g_00025	Pram.g_00006
OG0000176	Prah.g_00026	Pram.g_00007
OG0000177	Prah.g_00027	Pram.g_00008
OG0000178	Prah.g_00028	Pram.g_00009
OG0000179	Prah.g_00030	Pram.g_00011
OG0000180	Prah.g_00031	Pram.g_00012
OG0000181	Prah.g_00032	Pram.g_00013
OG0000182	Prah.g_00033	Pram.g_00014
OG0000183	Prah.g_00034	Pram.g_00015
OG0000184	Prah.g_00036	Pram.g_00016
OG0000185	Prah.g_00041	Pram.g_00019
OG0000186	Prah.g_00046	Pram.g_00021
OG0000187	Prah.g_00047	Pram.g_00022
OG0000188	Prah.g_00048	Pram.g_00023
OG0000189	Prah.g_00049	Pram.g_00024
OG0000190	Prah.g_00051	Pram.g_00026
OG0000191	Prah.g_02488	Pram.g_00028
OG0000192	Prah.g_02486	Pram.g_00029
OG0000193	Prah.g_02485	Pram.g_00030
OG0000194	Prah.g_02478	Pram.g_00033
OG0000195	Prah.g_02471	Pram.g_00034
OG0000196	Prah.g_02466	Pram.g_00035
OG0000197	Prah.g_02457	Pram.g_00037
OG0000198	Prah.g_02454	Pram.g_00038
OG0000199	Prah.g_02453	Pram.g_00039
OG0000200	Prah.g_01830	Pram.g_00048
OG0000201	Prah.g_01833	Pram.g_00049
OG0000202	Prah.g_01834	Pram.g_00050
OG0000203	Prah.g_01838	Pram.g_00054
OG0000204	Prah.g_01839	Pram.g_00055
OG0000205	Prah.g_01843	Pram.g_00058
OG0000206	Prah.g_01845	Pram.g_00060
OG0000207	Prah.g_01849	Pram.g_00062
OG0000208	Prah.g_01850	Pram.g_00063
OG0000209	Prah.g_01211	Pram.g_01536
OG0000210	Prah.g_01851	Pram.g_00064
OG0000211	Prah.g_01859	Pram.g_00065
OG0000212	Prah.g_01860	Pram.g_00066
OG0000213	Prah.g_01861	Pram.g_00067
OG0000214	Prah.g_01862	Pram.g_00068
OG0000215	Prah.g_01863	Pram.g_00069
OG0000216	Prah.g_01864	Pram.g_00070
OG0000217	Prah.g_01866	Pram.g_00072
OG0000218	Prah.g_01867	Pram.g_00073
OG0000219	Prah.g_01873	Pram.g_00074
OG0000220	Prah.g_01877	Pram.g_00075
OG0000221	Prah.g_01882	Pram.g_00078
OG0000222	Prah.g_01883	Pram.g_00079
OG0000223	Prah.g_01884	Pram.g_00080
OG0000224	Prah.g_01886	Pram.g_00081
OG0000225	Prah.g_01887	Pram.g_00082
OG0000226	Prah.g_01888	Pram.g_00083
OG0000227	Prah.g_01890	Pram.g_00085
OG0000228	Prah.g_01891	Pram.g_00086
OG0000229	Prah.g_01892	Pram.g_00087
OG0000230	Prah.g_01893	Pram.g_00088
OG0000231	Prah.g_01894	Pram.g_00089
OG0000232	Prah.g_01896	Pram.g_00090
OG0000233	Prah.g_01897	Pram.g_00091
OG0000234	Prah.g_01898	Pram.g_00092
OG0000235	Prah.g_01901	Pram.g_00093
OG0000236	Prah.g_01906	Pram.g_00096
OG0000237	Prah.g_01908	Pram.g_00097
OG0000238	Prah.g_00195	Pram.g_00098
OG0000239	Prah.g_00193	Pram.g_00100
OG0000240	Prah.g_00191	Pram.g_00101
OG0000241	Prah.g_00189	Pram.g_00102
OG0000242	Prah.g_00188	Pram.g_00103
OG0000243	Prah.g_00183	Pram.g_00106
OG0000244	Prah.g_00175	Pram.g_00109
OG0000245	Prah.g_00174	Pram.g_00110
OG0000246	Prah.g_00173	Pram.g_00111
OG0000247	Prah.g_02252	Pram.g_00113
OG0000248	Prah.g_02254	Pram.g_00115
OG0000249	Prah.g_02257	Pram.g_00117
OG0000250	Prah.g_02259	Pram.g_00118
OG0000251	Prah.g_02260	Pram.g_00119
OG0000252	Prah.g_02261	Pram.g_00120
OG0000253	Prah.g_02262	Pram.g_00121
OG0000254	Prah.g_02264	Pram.g_01001
OG0000255	Prah.g_02265	Pram.g_00123
OG0000256	Prah.g_02269	Pram.g_00126
OG0000257	Prah.g_02280	Pram.g_00128
OG0000258	Prah.g_02282	Pram.g_00130
OG0000259	Prah.g_02283	Pram.g_00131
OG0000260	Prah.g_02284	Pram.g_00132
OG0000261	Prah.g_02285	Pram.g_00133
OG0000262	Prah.g_02286	Pram.g_00134
OG0000263	Prah.g_02288	Pram.g_00136
OG0000264	Prah.g_02289	Pram.g_00137
OG0000265	Prah.g_02290	Pram.g_00138
OG0000266	Prah.g_02291	Pram.g_00139
OG0000267	Prah.g_02292	Pram.g_00140
OG0000268	Prah.g_02294	Pram.g_00141
OG0000269	Prah.g_02296	Pram.g_00143
OG0000270	Prah.g_02297	Pram.g_00144
OG0000271	Prah.g_02298	Pram.g_00145
OG0000272	Prah.g_02299	Pram.g_00146
OG0000273	Prah.g_02300	Pram.g_00147
OG0000274	Prah.g_02301	Pram.g_00148
OG0000275	Prah.g_02302	Pram.g_00149
OG0000276	Prah.g_02303	Pram.g_00150
OG0000277	Prah.g_02305	Pram.g_00152
OG0000278	Prah.g_02306	Pram.g_00153
OG0000279	Prah.g_02307	Pram.g_00154
OG0000280	Prah.g_02309	Pram.g_00156
OG0000281	Prah.g_02310	Pram.g_00157
OG0000282	Prah.g_02311	Pram.g_00158
OG0000283	Prah.g_02312	Pram.g_00159
OG0000284	Prah.g_02313	Pram.g_00160
OG0000285	Prah.g_02314	Pram.g_00161
OG0000286	Prah.g_02315	Pram.g_00162
OG0000287	Prah.g_02316	Pram.g_00163
OG0000288	Prah.g_00709	Pram.g_00165
OG0000289	Prah.g_02321	Pram.g_00166
OG0000290	Prah.g_02323	Pram.g_00167
OG0000291	Prah.g_02334	Pram.g_00169
OG0000292	Prah.g_02336	Pram.g_00171
OG0000293	Prah.g_02339	Pram.g_00172
OG0000294	Prah.g_02341	Pram.g_00173
OG0000295	Prah.g_02344	Pram.g_00174
OG0000296	Prah.g_02345	Pram.g_00175
OG0000297	Prah.g_02350	Pram.g_00176
OG0000298	Prah.g_02353	Pram.g_00178
OG0000299	Prah.g_02354	Pram.g_00179
OG0000300	Prah.g_02355	Pram.g_00180
OG0000301	Prah.g_02356	Pram.g_00181
OG0000302	Prah.g_02357	Pram.g_00182
OG0000303	Prah.g_02358	Pram.g_00183
OG0000304	Prah.g_02360	Pram.g_00185
OG0000305	Prah.g_02361	Pram.g_00186
OG0000306	Prah.g_02364	Pram.g_00189
OG0000307	Prah.g_02365	Pram.g_00190
OG0000308	Prah.g_02370	Pram.g_00191
OG0000309	Prah.g_02371	Pram.g_00192
OG0000310	Prah.g_02372	Pram.g_00193
OG0000311	Prah.g_02420	Pram.g_00194
OG0000312	Prah.g_02419	Pram.g_00195
OG0000313	Prah.g_02418	Pram.g_00196
OG0000314	Prah.g_02417	Pram.g_00197
OG0000315	Prah.g_02415	Pram.g_00198
OG0000316	Prah.g_02411	Pram.g_00199
OG0000317	Prah.g_02410	Pram.g_00200
OG0000318	Prah.g_02409	Pram.g_00201
OG0000319	Prah.g_02403	Pram.g_00202
OG0000320	Prah.g_02402	Pram.g_00203
OG0000321	Prah.g_02400	Pram.g_00204
OG0000322	Prah.g_02399	Pram.g_00205
OG0000323	Prah.g_02398	Pram.g_00206
OG0000324	Prah.g_02397	Pram.g_00207
OG0000325	Prah.g_02396	Pram.g_00208
OG0000326	Prah.g_02395	Pram.g_00209
OG0000327	Prah.g_02394	Pram.g_00210
OG0000328	Prah.g_02392	Pram.g_00212
OG0000329	Prah.g_02391	Pram.g_00213
OG0000330	Prah.g_02390	Pram.g_00214
OG0000331	Prah.g_01786	Pram.g_00216
OG0000332	Prah.g_01411	Pram.g_00217
OG0000333	Prah.g_01412	Pram.g_00218
OG0000334	Prah.g_01413	Pram.g_00219
OG0000335	Prah.g_01782	Pram.g_00220
OG0000336	Prah.g_01781	Pram.g_00222
OG0000337	Prah.g_01779	Pram.g_00223
OG0000338	Prah.g_01772	Pram.g_00228
OG0000339	Prah.g_02074	Pram.g_00230
OG0000340	Prah.g_02078	Pram.g_00232
OG0000341	Prah.g_02079	Pram.g_00233
OG0000342	Prah.g_02080	Pram.g_00234
OG0000343	Prah.g_02082	Pram.g_00235
OG0000344	Prah.g_02087	Pram.g_00238
OG0000345	Prah.g_02098	Pram.g_00242
OG0000346	Prah.g_02099	Pram.g_00243
OG0000347	Prah.g_02101	Pram.g_00246
OG0000348	Prah.g_02103	Pram.g_00247
OG0000349	Prah.g_02105	Pram.g_00248
OG0000350	Prah.g_02111	Pram.g_00250
OG0000351	Prah.g_01785	Pram.g_00251
OG0000352	Prah.g_02114	Pram.g_00252
OG0000353	Prah.g_02115	Pram.g_00253
OG0000354	Prah.g_02117	Pram.g_00254
OG0000355	Prah.g_02118	Pram.g_00255
OG0000356	Prah.g_02119	Pram.g_00256
OG0000357	Prah.g_02120	Pram.g_00257
OG0000358	Prah.g_02121	Pram.g_00258
OG0000359	Prah.g_02123	Pram.g_00260
OG0000360	Prah.g_02128	Pram.g_00263
OG0000361	Prah.g_02129	Pram.g_00264
OG0000362	Prah.g_02130	Pram.g_00265
OG0000363	Prah.g_02132	Pram.g_00266
OG0000364	Prah.g_02137	Pram.g_00270
OG0000365	Prah.g_02138	Pram.g_00271
OG0000366	Prah.g_02140	Pram.g_00274
OG0000367	Prah.g_02142	Pram.g_00275
OG0000368	Prah.g_02143	Pram.g_00276
OG0000369	Prah.g_02144	Pram.g_00277
OG0000370	Prah.g_02145	Pram.g_00278
OG0000371	Prah.g_02146	Pram.g_00280
OG0000372	Prah.g_02147	Pram.g_00281
OG0000373	Prah.g_02148	Pram.g_00282
OG0000374	Prah.g_02151	Pram.g_00283
OG0000375	Prah.g_02152	Pram.g_00284
OG0000376	Prah.g_02156	Pram.g_00287
OG0000377	Prah.g_02157	Pram.g_00288
OG0000378	Prah.g_02158	Pram.g_00289
OG0000379	Prah.g_02159	Pram.g_00290
OG0000380	Prah.g_02166	Pram.g_00291
OG0000381	Prah.g_02167	Pram.g_00292
OG0000382	Prah.g_02168	Pram.g_00293
OG0000383	Prah.g_02170	Pram.g_00294
OG0000384	Prah.g_02172	Pram.g_00296
OG0000385	Prah.g_02173	Pram.g_00297
OG0000386	Prah.g_02174	Pram.g_00298
OG0000387	Prah.g_02175	Pram.g_00299
OG0000388	Prah.g_02176	Pram.g_00300
OG0000389	Prah.g_02177	Pram.g_00301
OG0000390	Prah.g_02178	Pram.g_00302
OG0000391	Prah.g_02179	Pram.g_00303
OG0000392	Prah.g_02180	Pram.g_00304
OG0000393	Prah.g_02181	Pram.g_00305
OG0000394	Prah.g_02182	Pram.g_00306
OG0000395	Prah.g_02183	Pram.g_00307
OG0000396	Prah.g_02186	Pram.g_00309
OG0000397	Prah.g_02197	Pram.g_00311
OG0000398	Prah.g_02199	Pram.g_00312
OG0000399	Prah.g_01956	Pram.g_00315
OG0000400	Prah.g_01949	Pram.g_00321
OG0000401	Prah.g_01948	Pram.g_00322
OG0000402	Prah.g_01940	Pram.g_00328
OG0000403	Prah.g_01938	Pram.g_00330
OG0000404	Prah.g_01937	Pram.g_00331
OG0000405	Prah.g_01935	Pram.g_00332
OG0000406	Prah.g_01930	Pram.g_00336
OG0000407	Prah.g_01929	Pram.g_00337
OG0000408	Prah.g_01922	Pram.g_00340
OG0000409	Prah.g_01921	Pram.g_00341
OG0000410	Prah.g_01920	Pram.g_00342
OG0000411	Prah.g_01919	Pram.g_00343
OG0000412	Prah.g_01918	Pram.g_00344
OG0000413	Prah.g_01917	Pram.g_00345
OG0000414	Prah.g_01916	Pram.g_00346
OG0000415	Prah.g_01915	Pram.g_00347
OG0000416	Prah.g_00204	Pram.g_00351
OG0000417	Prah.g_00205	Pram.g_00352
OG0000418	Prah.g_00208	Pram.g_00354
OG0000419	Prah.g_00209	Pram.g_00355
OG0000420	Prah.g_00579	Pram.g_00864
OG0000421	Prah.g_01837	Pram.g_01184
OG0000422	Prah.g_01661	Pram.g_01537
OG0000423	Prah.g_01181	Pram.g_01177
OG0000424	Prah.g_02072	Pram.g_01696
OG0000425	Prah.g_00218	Pram.g_00366
OG0000426	Prah.g_00219	Pram.g_00367
OG0000427	Prah.g_00221	Pram.g_00368
OG0000428	Prah.g_00229	Pram.g_00370
OG0000429	Prah.g_00230	Pram.g_00371
OG0000430	Prah.g_00232	Pram.g_00373
OG0000431	Prah.g_00233	Pram.g_00374
OG0000432	Prah.g_00234	Pram.g_00375
OG0000433	Prah.g_00235	Pram.g_00376
OG0000434	Prah.g_00237	Pram.g_00377
OG0000435	Prah.g_00238	Pram.g_00378
OG0000436	Prah.g_00239	Pram.g_00379
OG0000437	Prah.g_00240	Pram.g_00380
OG0000438	Prah.g_00241	Pram.g_00381
OG0000439	Prah.g_00242	Pram.g_00382
OG0000440	Prah.g_00247	Pram.g_00383
OG0000441	Prah.g_00251	Pram.g_00384
OG0000442	Prah.g_00252	Pram.g_00385
OG0000443	Prah.g_00253	Pram.g_00386
OG0000444	Prah.g_00254	Pram.g_00387
OG0000445	Prah.g_00255	Pram.g_00393
OG0000446	Prah.g_00257	Pram.g_00395
OG0000447	Prah.g_00258	Pram.g_00396
OG0000448	Prah.g_00261	Pram.g_00397
OG0000449	Prah.g_00290	Pram.g_00400
OG0000450	Prah.g_00291	Pram.g_00401
OG0000451	Prah.g_00294	Pram.g_00402
OG0000452	Prah.g_00304	Pram.g_00404
OG0000453	Prah.g_00306	Pram.g_00406
OG0000454	Prah.g_00308	Pram.g_00407
OG0000455	Prah.g_00310	Pram.g_00409
OG0000456	Prah.g_01575	Pram.g_00413
OG0000457	Prah.g_01572	Pram.g_00414
OG0000458	Prah.g_01567	Pram.g_00415
OG0000459	Prah.g_01565	Pram.g_00417
OG0000460	Prah.g_01563	Pram.g_00419
OG0000461	Prah.g_01562	Pram.g_00420
OG0000462	Prah.g_01561	Pram.g_00421
OG0000463	Prah.g_01558	Pram.g_00423
OG0000464	Prah.g_01556	Pram.g_00424
OG0000465	Prah.g_01555	Pram.g_00425
OG0000466	Prah.g_01554	Pram.g_00426
OG0000467	Prah.g_01553	Pram.g_00427
OG0000468	Prah.g_01552	Pram.g_00428
OG0000469	Prah.g_01551	Pram.g_00429
OG0000470	Prah.g_01550	Pram.g_00430
OG0000471	Prah.g_01549	Pram.g_00431
OG0000472	Prah.g_01541	Pram.g_00438
OG0000473	Prah.g_01540	Pram.g_00439
OG0000474	Prah.g_01539	Pram.g_00440
OG0000475	Prah.g_01538	Pram.g_00441
OG0000476	Prah.g_01535	Pram.g_00442
OG0000477	Prah.g_01534	Pram.g_00443
OG0000478	Prah.g_01533	Pram.g_00444
OG0000479	Prah.g_01532	Pram.g_00445
OG0000480	Prah.g_01530	Pram.g_00447
OG0000481	Prah.g_01529	Pram.g_00449
OG0000482	Prah.g_01528	Pram.g_00450
OG0000483	Prah.g_01526	Pram.g_00452
OG0000484	Prah.g_01525	Pram.g_00453
OG0000485	Prah.g_01524	Pram.g_00454
OG0000486	Prah.g_01519	Pram.g_00456
OG0000487	Prah.g_01514	Pram.g_00461
OG0000488	Prah.g_01513	Pram.g_00462
OG0000489	Prah.g_01512	Pram.g_00463
OG0000490	Prah.g_01510	Pram.g_00464
OG0000491	Prah.g_01509	Pram.g_00465
OG0000492	Prah.g_01505	Pram.g_00466
OG0000493	Prah.g_01094	Pram.g_00468
OG0000494	Prah.g_01035	Pram.g_00469
OG0000495	Prah.g_01500	Pram.g_00472
OG0000496	Prah.g_01498	Pram.g_00473
OG0000497	Prah.g_01496	Pram.g_00474
OG0000498	Prah.g_01495	Pram.g_00475
OG0000499	Prah.g_01489	Pram.g_00476
OG0000500	Prah.g_01484	Pram.g_00477
OG0000501	Prah.g_01482	Pram.g_00478
OG0000502	Prah.g_01480	Pram.g_00479
OG0000503	Prah.g_01474	Pram.g_00481
OG0000504	Prah.g_01473	Pram.g_00482
OG0000505	Prah.g_01472	Pram.g_00483
OG0000506	Prah.g_01470	Pram.g_00484
OG0000507	Prah.g_01469	Pram.g_00485
OG0000508	Prah.g_01468	Pram.g_00486
OG0000509	Prah.g_01467	Pram.g_00487
OG0000510	Prah.g_01466	Pram.g_00488
OG0000511	Prah.g_01464	Pram.g_00490
OG0000512	Prah.g_01463	Pram.g_00491
OG0000513	Prah.g_01462	Pram.g_00492
OG0000514	Prah.g_01461	Pram.g_00493
OG0000515	Prah.g_01460	Pram.g_00494
OG0000516	Prah.g_01459	Pram.g_00495
OG0000517	Prah.g_01458	Pram.g_00497
OG0000518	Prah.g_01457	Pram.g_00498
OG0000519	Prah.g_01454	Pram.g_00500
OG0000520	Prah.g_01452	Pram.g_00502
OG0000521	Prah.g_01451	Pram.g_00503
OG0000522	Prah.g_01450	Pram.g_00504
OG0000523	Prah.g_01449	Pram.g_00505
OG0000524	Prah.g_01448	Pram.g_00506
OG0000525	Prah.g_01446	Pram.g_00507
OG0000526	Prah.g_01445	Pram.g_00508
OG0000527	Prah.g_01444	Pram.g_00509
OG0000528	Prah.g_01443	Pram.g_00510
OG0000529	Prah.g_01441	Pram.g_00511
OG0000530	Prah.g_01440	Pram.g_00512
OG0000531	Prah.g_01439	Pram.g_00513
OG0000532	Prah.g_01438	Pram.g_00514
OG0000533	Prah.g_01434	Pram.g_00516
OG0000534	Prah.g_01433	Pram.g_00517
OG0000535	Prah.g_01432	Pram.g_00518
OG0000536	Prah.g_01431	Pram.g_00519
OG0000537	Prah.g_01430	Pram.g_00520
OG0000538	Prah.g_01429	Pram.g_00521
OG0000539	Prah.g_01425	Pram.g_00523
OG0000540	Prah.g_01424	Pram.g_00524
OG0000541	Prah.g_01423	Pram.g_00525
OG0000542	Prah.g_01417	Pram.g_00528
OG0000543	Prah.g_01416	Pram.g_00529
OG0000544	Prah.g_01415	Pram.g_00530
OG0000545	Prah.g_01414	Pram.g_00531
OG0000546	Prah.g_01408	Pram.g_00532
OG0000547	Prah.g_01407	Pram.g_00533
OG0000548	Prah.g_01406	Pram.g_00534
OG0000549	Prah.g_01404	Pram.g_00536
OG0000550	Prah.g_01403	Pram.g_00537
OG0000551	Prah.g_01402	Pram.g_00538
OG0000552	Prah.g_01401	Pram.g_00539
OG0000553	Prah.g_01400	Pram.g_00540
OG0000554	Prah.g_01399	Pram.g_00541
OG0000555	Prah.g_01396	Pram.g_00543
OG0000556	Prah.g_01394	Pram.g_00544
OG0000557	Prah.g_01393	Pram.g_00545
OG0000558	Prah.g_01392	Pram.g_00546
OG0000559	Prah.g_01391	Pram.g_00547
OG0000560	Prah.g_01390	Pram.g_00548
OG0000561	Prah.g_01389	Pram.g_00549
OG0000562	Prah.g_01388	Pram.g_00550
OG0000563	Prah.g_01387	Pram.g_00551
OG0000564	Prah.g_01385	Pram.g_00552
OG0000565	Prah.g_00532	Pram.g_00553
OG0000566	Prah.g_00531	Pram.g_00554
OG0000567	Prah.g_00530	Pram.g_00555
OG0000568	Prah.g_00529	Pram.g_00556
OG0000569	Prah.g_00526	Pram.g_00559
OG0000570	Prah.g_00525	Pram.g_00560
OG0000571	Prah.g_00523	Pram.g_00562
OG0000572	Prah.g_00518	Pram.g_00564
OG0000573	Prah.g_00517	Pram.g_00565
OG0000574	Prah.g_00516	Pram.g_00566
OG0000575	Prah.g_00513	Pram.g_00568
OG0000576	Prah.g_00510	Pram.g_00569
OG0000577	Prah.g_00509	Pram.g_01080
OG0000578	Prah.g_00506	Pram.g_01079
OG0000579	Prah.g_00505	Pram.g_01078
OG0000580	Prah.g_00504	Pram.g_01077
OG0000581	Prah.g_00503	Pram.g_01076
OG0000582	Prah.g_00501	Pram.g_01075
OG0000583	Prah.g_00500	Pram.g_01074
OG0000584	Prah.g_00498	Pram.g_01073
OG0000585	Prah.g_00497	Pram.g_01072
OG0000586	Prah.g_00495	Pram.g_01070
OG0000587	Prah.g_00494	Pram.g_01069
