Orthogroup	Pras	Pray
OG0000170	Pras.g_00896	Pray.g_00240
OG0000171	Pras.g_00897	Pray.g_00239
OG0000172	Pras.g_00898	Pray.g_00238
OG0000173	Pras.g_00899	Pray.g_00237
OG0000174	Pras.g_00900	Pray.g_00236
OG0000175	Pras.g_00901	Pray.g_00235
OG0000176	Pras.g_00903	Pray.g_00233
OG0000177	Pras.g_00904	Pray.g_00232
OG0000178	Pras.g_00905	Pray.g_00231
OG0000179	Pras.g_00916	Pray.g_00225
OG0000180	Pras.g_00917	Pray.g_00224
OG0000181	Pras.g_00918	Pray.g_00223
OG0000182	Pras.g_00921	Pray.g_00220
OG0000183	Pras.g_00922	Pray.g_00219
OG0000184	Pras.g_00924	Pray.g_00216
OG0000185	Pras.g_00928	Pray.g_00212
OG0000186	Pras.g_00929	Pray.g_00211
OG0000187	Pras.g_00930	Pray.g_00210
OG0000188	Pras.g_00931	Pray.g_00209
OG0000189	Pras.g_00932	Pray.g_00208
OG0000190	Pras.g_00933	Pray.g_00207
OG0000191	Pras.g_00934	Pray.g_00206
OG0000192	Pras.g_00935	Pray.g_00205
OG0000193	Pras.g_00936	Pray.g_00204
OG0000194	Pras.g_00937	Pray.g_00203
OG0000195	Pras.g_00939	Pray.g_00201
OG0000196	Pras.g_00940	Pray.g_00200
OG0000197	Pras.g_00941	Pray.g_00199
OG0000198	Pras.g_00942	Pray.g_00198
OG0000199	Pras.g_00945	Pray.g_00195
OG0000200	Pras.g_00946	Pray.g_00194
OG0000201	Pras.g_00947	Pray.g_00193
OG0000202	Pras.g_00948	Pray.g_00192
OG0000203	Pras.g_00949	Pray.g_00191
OG0000204	Pras.g_00950	Pray.g_00190
OG0000205	Pras.g_00951	Pray.g_00189
OG0000206	Pras.g_00952	Pray.g_00188
OG0000207	Pras.g_00953	Pray.g_00187
OG0000208	Pras.g_00954	Pray.g_00186
OG0000209	Pras.g_00955	Pray.g_00185
OG0000210	Pras.g_00957	Pray.g_00183
OG0000211	Pras.g_00958	Pray.g_00182
OG0000212	Pras.g_00959	Pray.g_00181
OG0000213	Pras.g_00960	Pray.g_00180
OG0000214	Pras.g_00962	Pray.g_00178
OG0000215	Pras.g_00963	Pray.g_00177
OG0000216	Pras.g_00965	Pray.g_00175
OG0000217	Pras.g_00966	Pray.g_00174
OG0000218	Pras.g_00967	Pray.g_00173
OG0000219	Pras.g_00968	Pray.g_00172
OG0000220	Pras.g_00971	Pray.g_00169
OG0000221	Pras.g_00973	Pray.g_00167
OG0000222	Pras.g_00974	Pray.g_00166
OG0000223	Pras.g_00975	Pray.g_00165
OG0000224	Pras.g_00978	Pray.g_00162
OG0000225	Pras.g_00980	Pray.g_00160
OG0000226	Pras.g_00981	Pray.g_00159
OG0000227	Pras.g_00982	Pray.g_00158
OG0000228	Pras.g_00983	Pray.g_00157
OG0000229	Pras.g_00984	Pray.g_00156
OG0000230	Pras.g_00985	Pray.g_00155
OG0000231	Pras.g_00987	Pray.g_00153
OG0000232	Pras.g_00988	Pray.g_00152
OG0000233	Pras.g_00991	Pray.g_00149
OG0000234	Pras.g_00993	Pray.g_00147
OG0000235	Pras.g_00996	Pray.g_00144
OG0000236	Pras.g_00997	Pray.g_00143
OG0000237	Pras.g_00998	Pray.g_00142
