Orthogroup	Syat	Syak
OG0000216	Syat.g_02079	Syak.g_01478
OG0000217	Syat.g_02085	Syak.g_01482
OG0000218	Syat.g_02087	Syak.g_01484
OG0000219	Syat.g_02088	Syak.g_01485
OG0000220	Syat.g_02089	Syak.g_01486
OG0000221	Syat.g_02095	Syak.g_01498
OG0000222	Syat.g_02109	Syak.g_01512
OG0000223	Syat.g_02570	Syak.g_01531
OG0000224	Syat.g_02139	Syak.g_01532
OG0000225	Syat.g_01595	Syak.g_01230
OG0000226	Syat.g_01588	Syak.g_01226
OG0000228	Syat.g_02952	Syak.g_01216
OG0000229	Syat.g_02970	Syak.g_01191
OG0000230	Syat.g_02972	Syak.g_01189
OG0000231	Syat.g_01283	Syak.g_01176
OG0000232	Syat.g_01313	Syak.g_01156
OG0000233	Syat.g_01407	Syak.g_01145
OG0000234	Syat.g_01369	Syak.g_01116
OG0000235	Syat.g_03169	Syak.g_02573
OG0000236	Syat.g_03186	Syak.g_02589
OG0000237	Syat.g_03214	Syak.g_02607
OG0000238	Syat.g_03219	Syak.g_02612
OG0000239	Syat.g_01105	Syak.g_02628
OG0000240	Syat.g_01104	Syak.g_02629
OG0000241	Syat.g_00111	Syak.g_00027
OG0000242	Syat.g_01077	Syak.g_02638
OG0000243	Syat.g_00092	Syak.g_02658
OG0000244	Syat.g_00082	Syak.g_02665
OG0000245	Syat.g_00080	Syak.g_02667
OG0000246	Syat.g_00076	Syak.g_02671
OG0000247	Syat.g_00065	Syak.g_02681
OG0000248	Syat.g_00062	Syak.g_02684
OG0000249	Syat.g_00060	Syak.g_02686
OG0000250	Syat.g_00053	Syak.g_02694
OG0000251	Syat.g_00027	Syak.g_02722
OG0000252	Syat.g_00022	Syak.g_02725
OG0000253	Syat.g_00021	Syak.g_02727
OG0000254	Syat.g_03407	Syak.g_02752
OG0000255	Syat.g_02405	Syak.g_02772
OG0000256	Syat.g_03306	Syak.g_00020
OG0000257	Syat.g_00109	Syak.g_00026
OG0000258	Syat.g_00382	Syak.g_00044
OG0000259	Syat.g_00342	Syak.g_00334
OG0000260	Syat.g_00392	Syak.g_00338
OG0000261	Syat.g_00400	Syak.g_00348
OG0000262	Syat.g_00407	Syak.g_00353
OG0000263	Syat.g_00200	Syak.g_00828
OG0000266	Syat.g_00671	Syak.g_00778
OG0000267	Syat.g_00636	Syak.g_00555
OG0000268	Syat.g_00634	Syak.g_00554
OG0000269	Syat.g_00474, Syat.g_00126	Syak.g_00429
OG0000270	Syat.g_00477	Syak.g_00432
OG0000271	Syat.g_00485	Syak.g_00440
OG0000272	Syat.g_00486	Syak.g_00441
OG0000273	Syat.g_00520	Syak.g_00616
OG0000274	Syat.g_00521	Syak.g_00615
OG0000275	Syat.g_00718	Syak.g_00611
OG0000276	Syat.g_00725	Syak.g_00604
OG0000277	Syat.g_00738	Syak.g_00603
OG0000278	Syat.g_00741	Syak.g_00600
