Orthogroup	Syat	Syao
OG0000364	Syat.g_03122	Syao.g_01558
OG0000365	Syat.g_02318	Syao.g_02246
OG0000366	Syat.g_02317	Syao.g_02245
OG0000367	Syat.g_02316	Syao.g_02244
OG0000368	Syat.g_02314	Syao.g_02242
OG0000369	Syat.g_02313	Syao.g_02241
OG0000370	Syat.g_02312	Syao.g_02240
OG0000371	Syat.g_02304	Syao.g_02231
OG0000372	Syat.g_02298	Syao.g_02226
OG0000373	Syat.g_02297	Syao.g_02225
OG0000374	Syat.g_02296	Syao.g_02224
OG0000375	Syat.g_02295	Syao.g_02223
OG0000376	Syat.g_02293	Syao.g_02221
OG0000377	Syat.g_02695	Syao.g_02429
OG0000378	Syat.g_02715	Syao.g_02414
OG0000379	Syat.g_02720	Syao.g_02409
OG0000380	Syat.g_01468	Syao.g_02616
OG0000381	Syat.g_01470	Syao.g_02618
OG0000382	Syat.g_01488	Syao.g_02636
OG0000383	Syat.g_01521	Syao.g_02643
OG0000384	Syat.g_01522	Syao.g_02644
OG0000385	Syat.g_01523	Syao.g_02645
OG0000386	Syat.g_01524	Syao.g_02646
OG0000387	Syat.g_01561	Syao.g_01019
OG0000388	Syat.g_01565	Syao.g_02596
OG0000389	Syat.g_01569	Syao.g_02599
OG0000390	Syat.g_02945	Syao.g_02567
OG0000391	Syat.g_02940	Syao.g_02572
OG0000392	Syat.g_02934	Syao.g_02578
OG0000393	Syat.g_02931	Syao.g_02581
OG0000394	Syat.g_02930	Syao.g_02582
OG0000395	Syat.g_02929	Syao.g_02583
OG0000396	Syat.g_02927	Syao.g_02586
OG0000397	Syat.g_02925	Syao.g_02542
OG0000398	Syat.g_02920	Syao.g_02547
OG0000399	Syat.g_02919	Syao.g_02548
OG0000400	Syat.g_02918	Syao.g_02549
OG0000401	Syat.g_02917	Syao.g_02550
OG0000402	Syat.g_02915	Syao.g_02552
OG0000403	Syat.g_02914	Syao.g_02553
OG0000404	Syat.g_02913	Syao.g_02554
OG0000405	Syat.g_02900	Syao.g_02478
OG0000406	Syat.g_02896	Syao.g_02482
OG0000407	Syat.g_02895	Syao.g_02483
OG0000408	Syat.g_02893	Syao.g_02485
OG0000409	Syat.g_02891	Syao.g_02487
OG0000410	Syat.g_02890	Syao.g_02488
OG0000411	Syat.g_02889	Syao.g_02489
OG0000412	Syat.g_02888	Syao.g_02490
OG0000413	Syat.g_02886	Syao.g_02492
OG0000414	Syat.g_02885	Syao.g_02493
OG0000415	Syat.g_02884	Syao.g_02494
OG0000416	Syat.g_02883	Syao.g_02495
OG0000417	Syat.g_02868	Syao.g_02497
OG0000418	Syat.g_02863	Syao.g_02502
OG0000419	Syat.g_02861	Syao.g_02504
OG0000420	Syat.g_02859	Syao.g_02506
OG0000421	Syat.g_02855	Syao.g_02510
OG0000422	Syat.g_02854	Syao.g_02511
OG0000423	Syat.g_02853	Syao.g_02512
OG0000424	Syat.g_02852	Syao.g_02513
OG0000425	Syat.g_02851	Syao.g_02514
OG0000426	Syat.g_02850	Syao.g_02515
OG0000427	Syat.g_02849	Syao.g_02516
OG0000428	Syat.g_02846	Syao.g_02519
OG0000429	Syat.g_02843	Syao.g_02522
OG0000430	Syat.g_02841	Syao.g_02523
OG0000431	Syat.g_02838	Syao.g_02526
OG0000432	Syat.g_02832	Syao.g_02532
OG0000433	Syat.g_02829	Syao.g_02534
OG0000434	Syat.g_02828	Syao.g_02535
OG0000435	Syat.g_02824	Syao.g_02538
OG0000436	Syat.g_02817	Syao.g_02458
OG0000437	Syat.g_02558	Syao.g_02459
OG0000438	Syat.g_02813	Syao.g_02460
OG0000439	Syat.g_02811	Syao.g_02462
OG0000440	Syat.g_02810	Syao.g_02463
OG0000441	Syat.g_02807	Syao.g_02466
OG0000442	Syat.g_02797	Syao.g_02467
OG0000443	Syat.g_02787	Syao.g_02468
OG0000444	Syat.g_02756	Syao.g_02473
OG0000445	Syat.g_02755	Syao.g_02474
OG0000446	Syat.g_02753	Syao.g_02476
OG0000447	Syat.g_02749	Syao.g_02383
OG0000448	Syat.g_02748	Syao.g_02384
