Orthogroup	Syab	Prbd
OG0000366	Syab.g_00027	Prbd.g_01216
OG0000367	Syab.g_00028	Prbd.g_01215
OG0000368	Syab.g_00030	Prbd.g_01213
OG0000369	Syab.g_00031	Prbd.g_01212
OG0000370	Syab.g_00032	Prbd.g_01211
OG0000371	Syab.g_00711, Syab.g_00039	Prbd.g_01205
OG0000372	Syab.g_00045	Prbd.g_01202
OG0000373	Syab.g_00046	Prbd.g_01201
OG0000374	Syab.g_00047	Prbd.g_01200
OG0000375	Syab.g_00050	Prbd.g_01198
OG0000376	Syab.g_00052	Prbd.g_01196
OG0000377	Syab.g_02748	Prbd.g_01192
OG0000378	Syab.g_02717	Prbd.g_01190
OG0000379	Syab.g_02714	Prbd.g_01187
OG0000380	Syab.g_02432	Prbd.g_01178
OG0000381	Syab.g_02435	Prbd.g_01174
OG0000382	Syab.g_02453	Prbd.g_01163
OG0000383	Syab.g_02459	Prbd.g_01161
OG0000384	Syab.g_02460	Prbd.g_01160
OG0000385	Syab.g_02461	Prbd.g_01159
OG0000386	Syab.g_02462	Prbd.g_01158
OG0000387	Syab.g_02491	Prbd.g_01145
OG0000388	Syab.g_02495	Prbd.g_01142
OG0000389	Syab.g_02499	Prbd.g_01138
OG0000390	Syab.g_02516	Prbd.g_01131
OG0000391	Syab.g_02521	Prbd.g_01127
OG0000392	Syab.g_02527	Prbd.g_01123
OG0000393	Syab.g_02530	Prbd.g_01121
OG0000394	Syab.g_02531	Prbd.g_01120
OG0000395	Syab.g_02532	Prbd.g_01119
OG0000396	Syab.g_02535	Prbd.g_01116
OG0000397	Syab.g_02537	Prbd.g_01114
OG0000398	Syab.g_02542	Prbd.g_01112
OG0000399	Syab.g_02543	Prbd.g_01111
OG0000400	Syab.g_02544	Prbd.g_01110
OG0000401	Syab.g_02545	Prbd.g_01109
OG0000402	Syab.g_02547	Prbd.g_01107
OG0000403	Syab.g_02548	Prbd.g_01106
OG0000404	Syab.g_02550	Prbd.g_01105
OG0000405	Syab.g_02562	Prbd.g_01100
OG0000406	Syab.g_02566	Prbd.g_01093
OG0000407	Syab.g_02567	Prbd.g_01092
OG0000408	Syab.g_02569	Prbd.g_01090
OG0000409	Syab.g_02571	Prbd.g_01088
OG0000410	Syab.g_02572	Prbd.g_01087
OG0000411	Syab.g_02573	Prbd.g_01086
OG0000412	Syab.g_02574	Prbd.g_01085
OG0000413	Syab.g_02576	Prbd.g_01084
OG0000414	Syab.g_02577	Prbd.g_01083
OG0000415	Syab.g_02578	Prbd.g_01082
OG0000416	Syab.g_02579	Prbd.g_01081
OG0000417	Syab.g_02580	Prbd.g_01080
OG0000418	Syab.g_02585	Prbd.g_01075
OG0000419	Syab.g_02587	Prbd.g_01073
OG0000420	Syab.g_02589	Prbd.g_01072
OG0000421	Syab.g_02595	Prbd.g_01067
OG0000422	Syab.g_02596	Prbd.g_01066
OG0000423	Syab.g_02597	Prbd.g_01065
OG0000424	Syab.g_02598	Prbd.g_01064
OG0000425	Syab.g_02599	Prbd.g_01063
OG0000426	Syab.g_02600	Prbd.g_01062
OG0000427	Syab.g_02601	Prbd.g_01061
OG0000428	Syab.g_02604	Prbd.g_01059
OG0000429	Syab.g_02608	Prbd.g_01058
OG0000430	Syab.g_02610	Prbd.g_01057
OG0000431	Syab.g_02613	Prbd.g_01055
OG0000432	Syab.g_02619	Prbd.g_01052
OG0000433	Syab.g_02622	Prbd.g_01051
OG0000434	Syab.g_02623	Prbd.g_01050
OG0000435	Syab.g_02625	Prbd.g_01049
OG0000436	Syab.g_02632	Prbd.g_01044
OG0000437	Syab.g_02633	Prbd.g_01043
OG0000438	Syab.g_02634	Prbd.g_01042
OG0000439	Syab.g_02636	Prbd.g_01040
OG0000440	Syab.g_02637	Prbd.g_01039
OG0000441	Syab.g_02641	Prbd.g_01036
