Orthogroup	Praf	Prbl
OG0000255	Praf.g_02416	Prbl.g_00814
OG0000256	Praf.g_02421	Prbl.g_00809
OG0000257	Praf.g_02430	Prbl.g_00305
OG0000258	Praf.g_02432	Prbl.g_00303
OG0000259	Praf.g_02433	Prbl.g_00302
OG0000260	Praf.g_02434	Prbl.g_00301
OG0000261	Praf.g_02435	Prbl.g_00300
OG0000262	Praf.g_02436	Prbl.g_00299
OG0000263	Praf.g_02438	Prbl.g_00297
OG0000264	Praf.g_02439	Prbl.g_00296
OG0000265	Praf.g_02440	Prbl.g_00295
OG0000266	Praf.g_02441	Prbl.g_00294
OG0000267	Praf.g_02442	Prbl.g_00293
OG0000268	Praf.g_02444	Prbl.g_00291
OG0000269	Praf.g_02446	Prbl.g_00289
OG0000270	Praf.g_02447	Prbl.g_00288
OG0000271	Praf.g_02448	Prbl.g_00287
OG0000272	Praf.g_02449	Prbl.g_00286
OG0000273	Praf.g_02450	Prbl.g_00285
OG0000274	Praf.g_02451	Prbl.g_00284
OG0000275	Praf.g_02452	Prbl.g_00283
OG0000276	Praf.g_02453	Prbl.g_00282
OG0000277	Praf.g_02455	Prbl.g_00280
OG0000278	Praf.g_02456	Prbl.g_00279
OG0000279	Praf.g_02457	Prbl.g_00278
OG0000280	Praf.g_02469	Prbl.g_00276
OG0000281	Praf.g_02470	Prbl.g_00275
OG0000282	Praf.g_02471	Prbl.g_00274
OG0000283	Praf.g_02472	Prbl.g_00273
OG0000284	Praf.g_02473	Prbl.g_00272
OG0000285	Praf.g_02474	Prbl.g_00271
OG0000286	Praf.g_02475	Prbl.g_00270
OG0000287	Praf.g_02476	Prbl.g_00269
OG0000288	Praf.g_01486	Prbl.g_02377
OG0000289	Praf.g_02489	Prbl.g_00066
OG0000290	Praf.g_02491	Prbl.g_00068
OG0000291	Praf.g_02495	Prbl.g_00072
OG0000292	Praf.g_02497	Prbl.g_00074
OG0000293	Praf.g_02500	Prbl.g_00077
OG0000294	Praf.g_02502	Prbl.g_00079
OG0000295	Praf.g_02505	Prbl.g_00082
OG0000296	Praf.g_02506	Prbl.g_00083
OG0000297	Praf.g_02509	Prbl.g_00086
OG0000298	Praf.g_02512	Prbl.g_00089
OG0000299	Praf.g_02513	Prbl.g_00090
OG0000300	Praf.g_02514	Prbl.g_00091
OG0000301	Praf.g_02515	Prbl.g_00092
OG0000302	Praf.g_02516	Prbl.g_00093
OG0000303	Praf.g_02517	Prbl.g_00094
OG0000304	Praf.g_02519	Prbl.g_00096
OG0000305	Praf.g_02520	Prbl.g_00097
OG0000306	Praf.g_02524	Prbl.g_00104
OG0000307	Praf.g_02525	Prbl.g_00105
OG0000308	Praf.g_02531	Prbl.g_01283
OG0000309	Praf.g_02532	Prbl.g_01282
OG0000310	Praf.g_02533	Prbl.g_01281
OG0000311	Praf.g_02582	Prbl.g_00130
OG0000312	Praf.g_02581	Prbl.g_00129
OG0000313	Praf.g_02575	Prbl.g_00127
OG0000314	Praf.g_02574	Prbl.g_00126
OG0000315	Praf.g_02572	Prbl.g_00124
OG0000316	Praf.g_02568	Prbl.g_01244
OG0000317	Praf.g_02567	Prbl.g_01245
OG0000318	Praf.g_02566	Prbl.g_01246
OG0000319	Praf.g_02560	Prbl.g_01252
OG0000320	Praf.g_02559	Prbl.g_01253
OG0000321	Praf.g_02557	Prbl.g_01256
OG0000322	Praf.g_02556	Prbl.g_01257
OG0000323	Praf.g_02555	Prbl.g_01258
OG0000324	Praf.g_02554	Prbl.g_01259
OG0000325	Praf.g_02553	Prbl.g_01260
OG0000326	Praf.g_02552	Prbl.g_01261
OG0000327	Praf.g_02551	Prbl.g_01262
OG0000328	Praf.g_02549	Prbl.g_01264
OG0000329	Praf.g_02548	Prbl.g_01265
OG0000330	Praf.g_02547	Prbl.g_01266
OG0000331	Praf.g_00374	Prbl.g_01918
OG0000332	Praf.g_00745	Prbl.g_01769
OG0000333	Praf.g_00744	Prbl.g_01770
OG0000334	Praf.g_00743	Prbl.g_01771
OG0000335	Praf.g_00378	Prbl.g_01922
OG0000336	Praf.g_00379	Prbl.g_01923
OG0000337	Praf.g_00385	Prbl.g_00199
OG0000338	Praf.g_00392	Prbl.g_00192
OG0000339	Praf.g_02203	Prbl.g_02679
OG0000340	Praf.g_02207	Prbl.g_02666
OG0000341	Praf.g_02208	Prbl.g_01516
OG0000342	Praf.g_02209	Prbl.g_01515
OG0000343	Praf.g_02210	Prbl.g_01513
OG0000344	Praf.g_02215	Prbl.g_01508
OG0000345	Praf.g_02242	Prbl.g_01499
OG0000346	Praf.g_02243	Prbl.g_01498
OG0000347	Praf.g_02245	Prbl.g_01496
OG0000348	Praf.g_02247	Prbl.g_01494
OG0000349	Praf.g_02249	Prbl.g_01492
OG0000350	Praf.g_02255	Prbl.g_01486
OG0000351	Praf.g_00375	Prbl.g_01919
OG0000352	Praf.g_02259	Prbl.g_01473
OG0000353	Praf.g_02260	Prbl.g_01472
OG0000354	Praf.g_02262	Prbl.g_01470
OG0000355	Praf.g_02263	Prbl.g_01469
OG0000356	Praf.g_02264	Prbl.g_01468
OG0000357	Praf.g_02265	Prbl.g_01467
OG0000358	Praf.g_02266	Prbl.g_01466
OG0000359	Praf.g_02268	Prbl.g_01464
OG0000360	Praf.g_02273	Prbl.g_01459
OG0000361	Praf.g_02274	Prbl.g_01458
OG0000362	Praf.g_02275	Prbl.g_01457
OG0000363	Praf.g_02277	Prbl.g_01455
OG0000364	Praf.g_02282	Prbl.g_01450
OG0000365	Praf.g_02283	Prbl.g_01449
OG0000366	Praf.g_02285	Prbl.g_01447
OG0000367	Praf.g_02287	Prbl.g_01445
OG0000368	Praf.g_02288	Prbl.g_01444
OG0000369	Praf.g_02289	Prbl.g_01443
OG0000370	Praf.g_02290	Prbl.g_01442
OG0000371	Praf.g_02291	Prbl.g_01441
OG0000372	Praf.g_02292	Prbl.g_01440
OG0000373	Praf.g_02293	Prbl.g_01439
OG0000374	Praf.g_02296	Prbl.g_01436
OG0000375	Praf.g_02297	Prbl.g_01435
OG0000376	Praf.g_02301	Prbl.g_01431
OG0000377	Praf.g_02302	Prbl.g_01428
OG0000378	Praf.g_02303	Prbl.g_01427
OG0000379	Praf.g_02304	Prbl.g_01426
OG0000380	Praf.g_02314	Prbl.g_01421
OG0000381	Praf.g_02315	Prbl.g_01420
OG0000382	Praf.g_02316	Prbl.g_01419
OG0000383	Praf.g_02318	Prbl.g_01417
OG0000384	Praf.g_02321	Prbl.g_01414
OG0000385	Praf.g_02322	Prbl.g_01413
OG0000386	Praf.g_02323	Prbl.g_00911
OG0000387	Praf.g_02324	Prbl.g_00909
OG0000388	Praf.g_02325	Prbl.g_00908
OG0000389	Praf.g_02326	Prbl.g_00907
OG0000390	Praf.g_02327	Prbl.g_00906
OG0000391	Praf.g_02328	Prbl.g_00905
OG0000392	Praf.g_02329	Prbl.g_00904
OG0000393	Praf.g_02330	Prbl.g_00903
OG0000394	Praf.g_02331	Prbl.g_00902
OG0000395	Praf.g_02332	Prbl.g_00901
OG0000396	Praf.g_02335	Prbl.g_00898
OG0000397	Praf.g_02347	Prbl.g_00888
OG0000398	Praf.g_02349	Prbl.g_00886
OG0000399	Praf.g_02073	Prbl.g_01183
OG0000400	Praf.g_02066	Prbl.g_01190
OG0000401	Praf.g_02065	Prbl.g_01191
OG0000402	Praf.g_02054	Prbl.g_01201
OG0000403	Praf.g_02052	Prbl.g_01203
OG0000404	Praf.g_02051	Prbl.g_01204
OG0000405	Praf.g_02049	Prbl.g_01206
OG0000406	Praf.g_02045	Prbl.g_01210
OG0000407	Praf.g_02044	Prbl.g_01211
OG0000408	Praf.g_02031	Prbl.g_01217
OG0000409	Praf.g_02030	Prbl.g_01218
OG0000410	Praf.g_02029	Prbl.g_01219
OG0000411	Praf.g_02028	Prbl.g_01220
OG0000412	Praf.g_02027	Prbl.g_01221
OG0000413	Praf.g_02026	Prbl.g_01222
