Orthogroup	Syae	Prbm
OG0000318	Syae.g_01164	Prbm.g_01842
OG0000319	Syae.g_01181	Prbm.g_01853
OG0000320	Syae.g_01183	Prbm.g_01855
OG0000321	Syae.g_01184	Prbm.g_01856
OG0000322	Syae.g_01185	Prbm.g_01857
OG0000323	Syae.g_01200	Prbm.g_01866
OG0000324	Syae.g_01049	Prbm.g_01893
OG0000325	Syae.g_02033	Prbm.g_01950
OG0000326	Syae.g_02040	Prbm.g_01956
OG0000327	Syae.g_02080	Prbm.g_01991
OG0000328	Syae.g_02081	Prbm.g_01992
OG0000329	Syae.g_02099	Prbm.g_02009
OG0000330	Syae.g_02100	Prbm.g_02010
OG0000331	Syae.g_02101	Prbm.g_02011
OG0000332	Syae.g_02116	Prbm.g_02025
OG0000333	Syae.g_02119	Prbm.g_02027
OG0000334	Syae.g_02128	Prbm.g_02036
OG0000335	Syae.g_02132	Prbm.g_02041
OG0000336	Syae.g_02136	Prbm.g_02045
OG0000337	Syae.g_01879	Prbm.g_02064
OG0000338	Syae.g_01876	Prbm.g_02065
OG0000339	Syae.g_01869	Prbm.g_02070
OG0000340	Syae.g_01855	Prbm.g_02079
OG0000341	Syae.g_01853	Prbm.g_02081
OG0000342	Syae.g_01852	Prbm.g_02082
OG0000343	Syae.g_01848	Prbm.g_02083
OG0000344	Syae.g_01843	Prbm.g_02086
OG0000345	Syae.g_01833	Prbm.g_02091
OG0000346	Syae.g_01828	Prbm.g_02095
OG0000347	Syae.g_01805	Prbm.g_02114
OG0000348	Syae.g_01781	Prbm.g_02149
OG0000349	Syae.g_01763	Prbm.g_02167
OG0000350	Syae.g_02047	Prbm.g_02188
OG0000351	Syae.g_01684	Prbm.g_02212
OG0000352	Syae.g_01685	Prbm.g_02213
OG0000353	Syae.g_01711	Prbm.g_02232
OG0000354	Syae.g_01731	Prbm.g_01220
OG0000355	Syae.g_01713	Prbm.g_00001
OG0000356	Syae.g_01714	Prbm.g_00002
OG0000357	Syae.g_01715	Prbm.g_00003
OG0000358	Syae.g_01719	Prbm.g_00007
OG0000359	Syae.g_01721	Prbm.g_00008
OG0000360	Syae.g_01722	Prbm.g_00009
OG0000361	Syae.g_01723	Prbm.g_00010
OG0000362	Syae.g_01725	Prbm.g_00012
OG0000363	Syae.g_01727	Prbm.g_00014
OG0000364	Syae.g_01728	Prbm.g_00015
OG0000365	Syae.g_01737	Prbm.g_00020
OG0000366	Syae.g_01738	Prbm.g_00021
OG0000367	Syae.g_01739	Prbm.g_00022
OG0000368	Syae.g_01741	Prbm.g_00024
OG0000369	Syae.g_01742	Prbm.g_00025
OG0000370	Syae.g_01743	Prbm.g_00026
OG0000371	Syae.g_01751	Prbm.g_00032
OG0000372	Syae.g_01756	Prbm.g_00033
OG0000373	Syae.g_01757	Prbm.g_00034
OG0000374	Syae.g_01758	Prbm.g_00035
OG0000375	Syae.g_01759	Prbm.g_00049
OG0000376	Syae.g_01761	Prbm.g_00051
OG0000377	Syae.g_01561	Prbm.g_00054
OG0000378	Syae.g_01553	Prbm.g_00056
OG0000379	Syae.g_01550	Prbm.g_00059
OG0000380	Syae.g_01281	Prbm.g_00123
OG0000381	Syae.g_01285	Prbm.g_00127
OG0000382	Syae.g_01322	Prbm.g_00138
OG0000383	Syae.g_01324	Prbm.g_00140
OG0000384	Syae.g_01325	Prbm.g_00141
OG0000385	Syae.g_01326	Prbm.g_00142
OG0000386	Syae.g_01327	Prbm.g_00143
OG0000387	Syae.g_01354	Prbm.g_00156
OG0000388	Syae.g_01358	Prbm.g_00160
OG0000389	Syae.g_01362	Prbm.g_00163
OG0000390	Syae.g_01378	Prbm.g_00172
OG0000391	Syae.g_01383	Prbm.g_00176
OG0000392	Syae.g_01389	Prbm.g_00179
OG0000393	Syae.g_01392	Prbm.g_00182
OG0000394	Syae.g_01393	Prbm.g_00183
OG0000395	Syae.g_01394	Prbm.g_00184
OG0000396	Syae.g_01397	Prbm.g_00187
OG0000397	Syae.g_01400	Prbm.g_00189
OG0000398	Syae.g_01405	Prbm.g_00192
OG0000399	Syae.g_01406	Prbm.g_00193
OG0000400	Syae.g_01407	Prbm.g_00194
OG0000401	Syae.g_01408	Prbm.g_00195
OG0000402	Syae.g_01410	Prbm.g_01096
OG0000403	Syae.g_01411	Prbm.g_00196
OG0000404	Syae.g_01412	Prbm.g_00197
OG0000405	Syae.g_01426	Prbm.g_00202
OG0000406	Syae.g_01430	Prbm.g_00206
OG0000407	Syae.g_01431	Prbm.g_00207
OG0000408	Syae.g_01433	Prbm.g_00209
OG0000409	Syae.g_01435	Prbm.g_00211
OG0000410	Syae.g_01436	Prbm.g_00212
OG0000411	Syae.g_01437	Prbm.g_00213
OG0000412	Syae.g_01438	Prbm.g_00214
OG0000413	Syae.g_01440	Prbm.g_00215
OG0000415	Syae.g_01441	Prbm.g_00217
OG0000416	Syae.g_01442	Prbm.g_00218
OG0000417	Syae.g_01443	Prbm.g_00219
OG0000418	Syae.g_01448	Prbm.g_00224
OG0000419	Syae.g_01450	Prbm.g_00226
OG0000420	Syae.g_01452	Prbm.g_00227
OG0000421	Syae.g_01457	Prbm.g_00232
OG0000422	Syae.g_01458	Prbm.g_00233
OG0000423	Syae.g_01459	Prbm.g_00234
OG0000424	Syae.g_01460	Prbm.g_00235
OG0000425	Syae.g_01461	Prbm.g_00236
OG0000426	Syae.g_01462	Prbm.g_00237
OG0000427	Syae.g_01463	Prbm.g_00238
OG0000428	Syae.g_01466	Prbm.g_00240
OG0000429	Syae.g_01468	Prbm.g_00241
OG0000430	Syae.g_01470	Prbm.g_00242
OG0000431	Syae.g_01473	Prbm.g_00244
OG0000432	Syae.g_01481	Prbm.g_00248
OG0000433	Syae.g_01484	Prbm.g_00249
OG0000434	Syae.g_01485	Prbm.g_00250
OG0000435	Syae.g_01486	Prbm.g_00251
OG0000436	Syae.g_01491	Prbm.g_00256
OG0000437	Syae.g_01492	Prbm.g_00257
OG0000438	Syae.g_01493	Prbm.g_00258
OG0000439	Syae.g_01495	Prbm.g_00260
OG0000440	Syae.g_01496	Prbm.g_00261
OG0000441	Syae.g_01501	Prbm.g_00263
OG0000442	Syae.g_01502	Prbm.g_00264
OG0000443	Syae.g_01503	Prbm.g_00265
OG0000444	Syae.g_01509	Prbm.g_00270
OG0000445	Syae.g_01510	Prbm.g_00271
OG0000446	Syae.g_01512	Prbm.g_00272
OG0000447	Syae.g_01517	Prbm.g_00273
OG0000448	Syae.g_01518	Prbm.g_00274
OG0000449	Syae.g_01519	Prbm.g_00275
OG0000450	Syae.g_01525	Prbm.g_00276
OG0000451	Syae.g_01526	Prbm.g_00277
OG0000452	Syae.g_01530	Prbm.g_00280
OG0000453	Syae.g_01531	Prbm.g_00281
OG0000454	Syae.g_01532	Prbm.g_00282
OG0000455	Syae.g_01533	Prbm.g_00283
OG0000456	Syae.g_01534	Prbm.g_00284
OG0000457	Syae.g_01536	Prbm.g_00285
OG0000458	Syae.g_01538	Prbm.g_00286
OG0000459	Syae.g_01539	Prbm.g_00287
OG0000460	Syae.g_02236	Prbm.g_00295
OG0000461	Syae.g_02024	Prbm.g_00303
OG0000462	Syae.g_02021	Prbm.g_00305
OG0000463	Syae.g_02020	Prbm.g_00306
OG0000464	Syae.g_02019	Prbm.g_00307
OG0000465	Syae.g_02018	Prbm.g_00308
OG0000466	Syae.g_02014	Prbm.g_00309
OG0000467	Syae.g_02012	Prbm.g_00310
OG0000468	Syae.g_02007	Prbm.g_00312
OG0000469	Syae.g_01992	Prbm.g_00320
OG0000470	Syae.g_01990	Prbm.g_00322
OG0000471	Syae.g_01989	Prbm.g_00323
OG0000472	Syae.g_01987	Prbm.g_00324
OG0000473	Syae.g_01985	Prbm.g_00326
OG0000474	Syae.g_01984	Prbm.g_00327
OG0000475	Syae.g_01983	Prbm.g_00328
OG0000476	Syae.g_01981	Prbm.g_00330
OG0000477	Syae.g_01975	Prbm.g_00332
OG0000478	Syae.g_01974	Prbm.g_00333
OG0000479	Syae.g_01973	Prbm.g_00334
OG0000480	Syae.g_01966	Prbm.g_00339
OG0000481	Syae.g_01964	Prbm.g_00341
OG0000482	Syae.g_01963	Prbm.g_00342
OG0000483	Syae.g_01959	Prbm.g_00345
OG0000484	Syae.g_01958	Prbm.g_00346
OG0000485	Syae.g_01957	Prbm.g_00347
OG0000486	Syae.g_01956	Prbm.g_00348
OG0000487	Syae.g_01950	Prbm.g_00351
OG0000488	Syae.g_01946	Prbm.g_00354
OG0000489	Syae.g_01936	Prbm.g_00359
OG0000490	Syae.g_01928	Prbm.g_00364
OG0000491	Syae.g_01927	Prbm.g_00365
OG0000492	Syae.g_01925	Prbm.g_00367
OG0000493	Syae.g_01924	Prbm.g_00368
OG0000494	Syae.g_01923	Prbm.g_00369
OG0000495	Syae.g_01922	Prbm.g_00370
OG0000496	Syae.g_01921	Prbm.g_00371
OG0000497	Syae.g_01920	Prbm.g_00372
OG0000498	Syae.g_01919	Prbm.g_00373
OG0000499	Syae.g_01918	Prbm.g_00374
