Orthogroup	Prap	Pral
OG0000416	Prap.g_01318	Pral.g_00645
OG0000417	Prap.g_01317	Pral.g_00644
OG0000418	Prap.g_01316	Pral.g_00643
OG0000419	Prap.g_01315	Pral.g_00642
OG0000420	Prap.g_01314	Pral.g_00641
OG0000421	Prap.g_01310	Pral.g_00635
OG0000422	Prap.g_01308	Pral.g_00633
OG0000423	Prap.g_01307	Pral.g_00632
OG0000424	Prap.g_01306	Pral.g_00631
OG0000425	Prap.g_01302	Pral.g_00627
OG0000426	Prap.g_01301	Pral.g_00626
OG0000427	Prap.g_01300	Pral.g_00625
OG0000428	Prap.g_01298	Pral.g_00623
OG0000429	Prap.g_01297	Pral.g_00622
OG0000430	Prap.g_01296	Pral.g_00621
OG0000431	Prap.g_01294	Pral.g_00619
OG0000432	Prap.g_01293	Pral.g_00618
OG0000433	Prap.g_01290	Pral.g_00615
OG0000434	Prap.g_01289	Pral.g_00613
OG0000435	Prap.g_01288	Pral.g_00612
OG0000436	Prap.g_01286	Pral.g_00610
OG0000437	Prap.g_01284	Pral.g_00608
OG0000438	Prap.g_01283	Pral.g_00607
OG0000439	Prap.g_01282	Pral.g_00606
OG0000440	Prap.g_01280	Pral.g_00603
OG0000441	Prap.g_01279	Pral.g_00602
OG0000442	Prap.g_01278	Pral.g_00601
OG0000443	Prap.g_01277	Pral.g_00600
OG0000444	Prap.g_01276	Pral.g_00599
OG0000445	Prap.g_01275	Pral.g_00598
OG0000446	Prap.g_01274	Pral.g_00597
OG0000447	Prap.g_01273	Pral.g_00596
OG0000448	Prap.g_01272	Pral.g_00595
OG0000449	Prap.g_01266	Pral.g_00590
OG0000450	Prap.g_01265	Pral.g_00589
OG0000451	Prap.g_01264	Pral.g_00588
OG0000452	Prap.g_01263	Pral.g_00587
OG0000453	Prap.g_01262	Pral.g_00585
OG0000454	Prap.g_01261	Pral.g_00584
OG0000455	Prap.g_01260	Pral.g_00583
OG0000456	Prap.g_01259	Pral.g_00582
OG0000457	Prap.g_01257	Pral.g_00580
OG0000458	Prap.g_01255	Pral.g_00578
OG0000459	Prap.g_01254	Pral.g_00577
OG0000460	Prap.g_01252	Pral.g_00575
OG0000461	Prap.g_01251	Pral.g_00574
OG0000462	Prap.g_01250	Pral.g_00573
OG0000463	Prap.g_01249	Pral.g_00571
OG0000464	Prap.g_01245	Pral.g_00566
OG0000465	Prap.g_01244	Pral.g_00565
OG0000466	Prap.g_01243	Pral.g_00564
OG0000467	Prap.g_01242	Pral.g_00563
OG0000468	Prap.g_01241	Pral.g_00562
OG0000469	Prap.g_01240	Pral.g_00561
OG0000470	Prap.g_01239	Pral.g_00560
OG0000471	Prap.g_01238	Pral.g_00559
OG0000472	Prap.g_01235	Pral.g_00556
OG0000473	Prap.g_01234	Pral.g_00555
OG0000474	Prap.g_01233	Pral.g_00554
OG0000475	Prap.g_01232	Pral.g_00553
OG0000476	Prap.g_01231	Pral.g_00552
OG0000477	Prap.g_01229	Pral.g_00550
OG0000478	Prap.g_01228	Pral.g_00549
OG0000479	Prap.g_01227	Pral.g_00548
OG0000480	Prap.g_01225	Pral.g_00546
OG0000481	Prap.g_01224	Pral.g_00545
OG0000482	Prap.g_01223	Pral.g_00544
OG0000483	Prap.g_01222	Pral.g_00543
OG0000484	Prap.g_01221	Pral.g_00542
OG0000485	Prap.g_01220	Pral.g_00541
OG0000486	Prap.g_01219	Pral.g_00540
OG0000487	Prap.g_01218	Pral.g_00539
OG0000488	Prap.g_01216	Pral.g_00537
OG0000489	Prap.g_01215	Pral.g_00536
OG0000490	Prap.g_01214	Pral.g_00535
OG0000491	Prap.g_01213	Pral.g_00534
OG0000492	Prap.g_01212	Pral.g_00533
OG0000493	Prap.g_01211	Pral.g_00532
OG0000494	Prap.g_01210	Pral.g_00530
OG0000495	Prap.g_01209	Pral.g_00529
OG0000496	Prap.g_01207	Pral.g_00527
OG0000497	Prap.g_01205	Pral.g_00525
OG0000498	Prap.g_01204	Pral.g_00524
OG0000499	Prap.g_01202	Pral.g_00522
OG0000500	Prap.g_01201	Pral.g_00521
OG0000501	Prap.g_01199	Pral.g_00519
OG0000502	Prap.g_01198	Pral.g_00518
OG0000503	Prap.g_01197	Pral.g_00516
OG0000504	Prap.g_01196	Pral.g_00515
OG0000505	Prap.g_01195	Pral.g_00514
OG0000506	Prap.g_01194	Pral.g_00513
OG0000507	Prap.g_01193	Pral.g_00512
