Orthogroup	Pran	Syac
OG0000516	Pran.g_01747	Syac.g_00697
OG0000517	Pran.g_01745	Syac.g_00691
OG0000518	Pran.g_01734	Syac.g_00707
OG0000519	Pran.g_01733	Syac.g_00708
OG0000520	Pran.g_01729	Syac.g_00709
OG0000521	Pran.g_01724	Syac.g_01721
OG0000522	Pran.g_01723	Syac.g_01719
OG0000523	Pran.g_01722	Syac.g_01718
OG0000524	Pran.g_01717	Syac.g_01716
OG0000525	Pran.g_01714	Syac.g_01709
OG0000526	Pran.g_01713	Syac.g_01706
OG0000527	Pran.g_01705	Syac.g_01702
OG0000528	Pran.g_01700	Syac.g_01911
OG0000529	Pran.g_01697	Syac.g_01903
OG0000530	Pran.g_01694	Syac.g_01900
OG0000531	Pran.g_01693	Syac.g_01899
OG0000532	Pran.g_01691	Syac.g_01896
OG0000533	Pran.g_01690	Syac.g_01895
OG0000534	Pran.g_01689	Syac.g_01894
OG0000535	Pran.g_01688	Syac.g_01893
OG0000536	Pran.g_01687	Syac.g_01892
OG0000537	Pran.g_01686	Syac.g_01891
OG0000538	Pran.g_01678	Syac.g_01880
OG0000539	Pran.g_01677	Syac.g_01879
OG0000540	Pran.g_01676	Syac.g_01878
OG0000541	Pran.g_01675	Syac.g_01877
OG0000542	Pran.g_01673	Syac.g_01874
OG0000543	Pran.g_01671	Syac.g_01872
OG0000544	Pran.g_01670	Syac.g_01871
OG0000545	Pran.g_01668	Syac.g_01869
OG0000546	Pran.g_01665	Syac.g_01867
OG0000547	Pran.g_01663	Syac.g_01865
OG0000548	Pran.g_01662	Syac.g_01864
OG0000549	Pran.g_01660	Syac.g_01858
OG0000550	Pran.g_01655	Syac.g_01854
OG0000551	Pran.g_01651	Syac.g_01849
OG0000552	Pran.g_01650	Syac.g_01848
OG0000553	Pran.g_01649	Syac.g_01846
OG0000554	Pran.g_01644	Syac.g_01835
OG0000555	Pran.g_01636	Syac.g_01822
OG0000556	Pran.g_01634	Syac.g_01817
OG0000557	Pran.g_01633	Syac.g_01815
OG0000558	Pran.g_01631	Syac.g_01813
OG0000559	Pran.g_01627	Syac.g_01808
OG0000560	Pran.g_01624	Syac.g_01805
OG0000561	Pran.g_01623	Syac.g_01804
OG0000562	Pran.g_01622	Syac.g_01803
OG0000563	Pran.g_01621	Syac.g_01802
OG0000564	Pran.g_01620	Syac.g_01801
OG0000565	Pran.g_01617	Syac.g_01797
OG0000566	Pran.g_01614	Syac.g_01793
OG0000567	Pran.g_01610	Syac.g_01789
OG0000568	Pran.g_01609	Syac.g_01786
OG0000569	Pran.g_01608	Syac.g_01785
OG0000570	Pran.g_01607	Syac.g_01784
OG0000571	Pran.g_01605	Syac.g_01780
OG0000572	Pran.g_01592	Syac.g_01765
OG0000573	Pran.g_01586	Syac.g_01755
OG0000574	Pran.g_01585	Syac.g_01754
OG0000575	Pran.g_01581	Syac.g_01750
OG0000576	Pran.g_01579	Syac.g_01748
OG0000577	Pran.g_01578	Syac.g_01747
OG0000578	Pran.g_01577	Syac.g_01746
OG0000579	Pran.g_01576	Syac.g_01745
OG0000580	Pran.g_01575	Syac.g_01744
OG0000581	Pran.g_01573	Syac.g_01738
OG0000582	Pran.g_01570	Syac.g_00936
OG0000583	Pran.g_01569	Syac.g_00937
OG0000584	Pran.g_01568	Syac.g_00938
OG0000585	Pran.g_01566	Syac.g_00940
