Orthogroup	Prat	Prah
OG0000280	Prat.g_00987	Prah.g_00581
OG0000281	Prat.g_00980	Prah.g_00566
OG0000282	Prat.g_00718	Prah.g_00731
OG0000283	Prat.g_00868	Prah.g_00761
OG0000284	Prat.g_00873	Prah.g_00767
OG0000285	Prat.g_00879	Prah.g_01178
OG0000286	Prat.g_00895	Prah.g_00795
OG0000287	Prat.g_00912	Prah.g_01131
OG0000288	Prat.g_00933	Prah.g_00851
OG0000289	Prat.g_00948	Prah.g_00864
OG0000290	Prat.g_00962	Prah.g_00912
OG0000291	Prat.g_00964	Prah.g_00914
OG0000292	Prat.g_01208	Prah.g_02597
OG0000293	Prat.g_01165	Prah.g_01336
OG0000294	Prat.g_01164	Prah.g_01335
OG0000295	Prat.g_01142	Prah.g_01298
OG0000296	Prat.g_01140	Prah.g_01296
OG0000297	Prat.g_01131	Prah.g_01259
OG0000298	Prat.g_01130	Prah.g_01258
OG0000299	Prat.g_01112	Prah.g_01268
OG0000300	Prat.g_01108	Prah.g_01275
OG0000301	Prat.g_01107	Prah.g_01276
OG0000302	Prat.g_01105	Prah.g_01279
OG0000303	Prat.g_01099	Prah.g_01289
OG0000304	Prat.g_00595	Prah.g_01237, Prah.g_01238
OG0000305	Prat.g_01200	Prah.g_00918
OG0000306	Prat.g_00976	Prah.g_00560
OG0000307	Prat.g_01300	Prah.g_01584
OG0000308	Prat.g_01301	Prah.g_01586
OG0000309	Prat.g_01305	Prah.g_01590
OG0000310	Prat.g_01336	Prah.g_00428
OG0000311	Prat.g_01338	Prah.g_00424
OG0000312	Prat.g_01341	Prah.g_00420
OG0000313	Prat.g_01357	Prah.g_00402
OG0000314	Prat.g_01382	Prah.g_00371
OG0000315	Prat.g_01392	Prah.g_00361
OG0000316	Prat.g_01420	Prah.g_01631
OG0000317	Prat.g_01589	Prah.g_01672
OG0000318	Prat.g_01593	Prah.g_01677
OG0000319	Prat.g_01605	Prah.g_01694
OG0000320	Prat.g_01607	Prah.g_01696
OG0000321	Prat.g_01608	Prah.g_01697
OG0000322	Prat.g_01609	Prah.g_01698
OG0000323	Prat.g_01618	Prah.g_01710
OG0000324	Prat.g_01647	Prah.g_01744
OG0000325	Prat.g_01657	Prah.g_02071
OG0000326	Prat.g_01664	Prah.g_02064
OG0000327	Prat.g_01685	Prah.g_02038
OG0000328	Prat.g_01686	Prah.g_02037
OG0000329	Prat.g_01703	Prah.g_02020
OG0000330	Prat.g_01704	Prah.g_02019
OG0000331	Prat.g_01705	Prah.g_02018
OG0000332	Prat.g_01718	Prah.g_02003
OG0000333	Prat.g_01720	Prah.g_02001
OG0000334	Prat.g_01729	Prah.g_01991
OG0000335	Prat.g_01734	Prah.g_01986
OG0000336	Prat.g_01738	Prah.g_01982
OG0000337	Prat.g_01756	Prah.g_02224
OG0000338	Prat.g_01757	Prah.g_02227
OG0000339	Prat.g_01762	Prah.g_02234
OG0000340	Prat.g_01771	Prah.g_02244
OG0000341	Prat.g_01773	Prah.g_02246
OG0000342	Prat.g_01775	Prah.g_02247
OG0000343	Prat.g_01776	Prah.g_00168
OG0000344	Prat.g_01779	Prah.g_00165
OG0000345	Prat.g_01785	Prah.g_00154
OG0000346	Prat.g_01789	Prah.g_00149
OG0000347	Prat.g_01806	Prah.g_00089
OG0000348	Prat.g_01814	Prah.g_00078
OG0000349	Prat.g_01832	Prah.g_00053
OG0000350	Prat.g_01853	Prah.g_02533
OG0000351	Prat.g_01873	Prah.g_02578
OG0000352	Prat.g_01874	Prah.g_02579
OG0000353	Prat.g_01892	Prah.g_02603
OG0000354	Prat.g_00845	Prah.g_01523, Prah.g_00020
OG0000355	Prat.g_00001	Prah.g_00002
OG0000356	Prat.g_00002	Prah.g_00003
OG0000357	Prat.g_00003	Prah.g_00004
OG0000358	Prat.g_00007	Prah.g_00008
OG0000359	Prat.g_00008	Prah.g_00010
