Orthogroup	Prbe	Syac
OG0000402	Prbe.g_01412	Syac.g_00348
OG0000403	Prbe.g_01681	Syac.g_00347
OG0000404	Prbe.g_01682	Syac.g_00345
OG0000405	Prbe.g_01686	Syac.g_00332
OG0000406	Prbe.g_01694	Syac.g_00328
OG0000407	Prbe.g_01695	Syac.g_00327
OG0000408	Prbe.g_01697	Syac.g_00325
OG0000409	Prbe.g_01699	Syac.g_00323
OG0000410	Prbe.g_01700	Syac.g_00322
OG0000411	Prbe.g_01701	Syac.g_00321
OG0000412	Prbe.g_01702	Syac.g_00320
OG0000413	Prbe.g_01704	Syac.g_00318
OG0000414	Prbe.g_01705	Syac.g_00317
OG0000415	Prbe.g_01706	Syac.g_00316
OG0000416	Prbe.g_01707	Syac.g_00315
OG0000417	Prbe.g_01708	Syac.g_00314
OG0000418	Prbe.g_01713	Syac.g_00309
OG0000419	Prbe.g_01715	Syac.g_00307
OG0000420	Prbe.g_01716	Syac.g_00305
OG0000421	Prbe.g_01721	Syac.g_00300
OG0000422	Prbe.g_01722	Syac.g_00299
OG0000423	Prbe.g_01723	Syac.g_00298
OG0000424	Prbe.g_01724	Syac.g_00297
OG0000425	Prbe.g_01725	Syac.g_00296
OG0000426	Prbe.g_01726	Syac.g_00295
OG0000427	Prbe.g_01727	Syac.g_00294
OG0000428	Prbe.g_01729	Syac.g_02257
OG0000429	Prbe.g_01730	Syac.g_02259
OG0000430	Prbe.g_01731	Syac.g_02260
OG0000431	Prbe.g_01733	Syac.g_02264
OG0000432	Prbe.g_01737	Syac.g_02270
OG0000433	Prbe.g_01738	Syac.g_02272
OG0000434	Prbe.g_01739	Syac.g_02273
OG0000435	Prbe.g_01740	Syac.g_02277
OG0000436	Prbe.g_01745	Syac.g_02282
OG0000437	Prbe.g_01746	Syac.g_02283
OG0000438	Prbe.g_01747	Syac.g_02284
OG0000439	Prbe.g_01749	Syac.g_02286
OG0000440	Prbe.g_01750	Syac.g_02287
OG0000441	Prbe.g_01753	Syac.g_02294
OG0000442	Prbe.g_01754	Syac.g_02295
OG0000443	Prbe.g_01755	Syac.g_02296
OG0000444	Prbe.g_01761	Syac.g_02303
OG0000445	Prbe.g_01762	Syac.g_02304
OG0000446	Prbe.g_01763	Syac.g_02305
OG0000447	Prbe.g_01764	Syac.g_02308
OG0000448	Prbe.g_01765	Syac.g_02309
OG0000449	Prbe.g_01766	Syac.g_02310
OG0000450	Prbe.g_01767	Syac.g_02313
OG0000451	Prbe.g_01768	Syac.g_02314
OG0000452	Prbe.g_01771	Syac.g_02318
OG0000453	Prbe.g_01772	Syac.g_02319
OG0000454	Prbe.g_01773	Syac.g_02320
OG0000455	Prbe.g_01774	Syac.g_02321
OG0000456	Prbe.g_01775	Syac.g_02322
OG0000457	Prbe.g_01777	Syac.g_02324
OG0000458	Prbe.g_01778	Syac.g_02325
OG0000459	Prbe.g_01779	Syac.g_02326
OG0000460	Prbe.g_01787	Syac.g_01970
OG0000461	Prbe.g_01795	Syac.g_02198
OG0000462	Prbe.g_01797	Syac.g_02201
OG0000463	Prbe.g_01798	Syac.g_02202
OG0000464	Prbe.g_01799	Syac.g_02203
OG0000465	Prbe.g_01800	Syac.g_02204
OG0000466	Prbe.g_01803	Syac.g_02208
OG0000467	Prbe.g_01804	Syac.g_02210
OG0000468	Prbe.g_01807	Syac.g_02216
OG0000469	Prbe.g_01815	Syac.g_02230
OG0000470	Prbe.g_01817	Syac.g_02232
OG0000471	Prbe.g_01818	Syac.g_02233
OG0000472	Prbe.g_01820	Syac.g_02235
OG0000473	Prbe.g_01822	Syac.g_02237
OG0000474	Prbe.g_01823	Syac.g_02238
OG0000475	Prbe.g_01824	Syac.g_02239
OG0000476	Prbe.g_01826	Syac.g_02241
OG0000477	Prbe.g_01829	Syac.g_02247
OG0000478	Prbe.g_01830	Syac.g_02248
OG0000479	Prbe.g_01831	Syac.g_02249
OG0000480	Prbe.g_01836	Syac.g_00293
OG0000481	Prbe.g_01839	Syac.g_00291
OG0000482	Prbe.g_01840	Syac.g_00290
OG0000483	Prbe.g_01843	Syac.g_00286
OG0000484	Prbe.g_01844	Syac.g_00285
OG0000485	Prbe.g_01846	Syac.g_00284
OG0000486	Prbe.g_01847	Syac.g_00283
OG0000487	Prbe.g_01850	Syac.g_00276
OG0000488	Prbe.g_01853	Syac.g_00272
OG0000489	Prbe.g_01858	Syac.g_00260
OG0000490	Prbe.g_01862	Syac.g_00249
OG0000491	Prbe.g_01863	Syac.g_00248
