Orthogroup	Prbe	Syaf
OG0000301	Prbe.g_01500	Syaf.g_01570
OG0000302	Prbe.g_01498	Syaf.g_01568
OG0000303	Prbe.g_01492	Syaf.g_01559
OG0000304	Prbe.g_00501	Syaf.g_01551
OG0000305	Prbe.g_01592	Syaf.g_01444
OG0000306	Prbe.g_01286	Syaf.g_01332
OG0000307	Prbe.g_00364	Syaf.g_02742
OG0000308	Prbe.g_00363	Syaf.g_02744
OG0000309	Prbe.g_00359	Syaf.g_02749
OG0000310	Prbe.g_00325	Syaf.g_02387
OG0000311	Prbe.g_00323	Syaf.g_02391
OG0000312	Prbe.g_00320	Syaf.g_02397
OG0000313	Prbe.g_00307	Syaf.g_02421
OG0000314	Prbe.g_00284	Syaf.g_02458
OG0000315	Prbe.g_00274	Syaf.g_02468
OG0000316	Prbe.g_00249	Syaf.g_01088
OG0000317	Prbe.g_00988	Syaf.g_01040
OG0000318	Prbe.g_00984	Syaf.g_01032
OG0000319	Prbe.g_00971	Syaf.g_01015
OG0000320	Prbe.g_00969	Syaf.g_01013
OG0000321	Prbe.g_00968	Syaf.g_01012
OG0000322	Prbe.g_00967	Syaf.g_01011
OG0000323	Prbe.g_00958	Syaf.g_00997
OG0000324	Prbe.g_00931	Syaf.g_01164
OG0000325	Prbe.g_00920	Syaf.g_00176
OG0000326	Prbe.g_01109	Syaf.g_00169
OG0000327	Prbe.g_01088	Syaf.g_00138
OG0000328	Prbe.g_01087	Syaf.g_00137
OG0000329	Prbe.g_00860	Syaf.g_00119
OG0000330	Prbe.g_00859	Syaf.g_00118
OG0000331	Prbe.g_00858	Syaf.g_00117
OG0000332	Prbe.g_00844	Syaf.g_00102
OG0000333	Prbe.g_00842	Syaf.g_00099
OG0000334	Prbe.g_00833	Syaf.g_00090
OG0000335	Prbe.g_00828	Syaf.g_00085
OG0000336	Prbe.g_00824	Syaf.g_00081
OG0000337	Prbe.g_00806	Syaf.g_00344
OG0000338	Prbe.g_00805	Syaf.g_00348
OG0000339	Prbe.g_00799	Syaf.g_00355
OG0000340	Prbe.g_00790	Syaf.g_00366
OG0000341	Prbe.g_00788	Syaf.g_00368
OG0000342	Prbe.g_00787	Syaf.g_00369
OG0000343	Prbe.g_00786	Syaf.g_00370
OG0000344	Prbe.g_00783	Syaf.g_00374
OG0000345	Prbe.g_00777	Syaf.g_00384
OG0000346	Prbe.g_00773	Syaf.g_00389
OG0000347	Prbe.g_00746	Syaf.g_00415
OG0000348	Prbe.g_00754	Syaf.g_00427
OG0000349	Prbe.g_01149	Syaf.g_00445
OG0000350	Prbe.g_00709	Syaf.g_00162
OG0000351	Prbe.g_01189	Syaf.g_00528
OG0000352	Prbe.g_01190	Syaf.g_00527
OG0000353	Prbe.g_01064	Syaf.g_00499
OG0000355	Prbe.g_01066	Syaf.g_00497
OG0000356	Prbe.g_01067	Syaf.g_00496
OG0000357	Prbe.g_01068	Syaf.g_00495
OG0000358	Prbe.g_01072	Syaf.g_00491
OG0000359	Prbe.g_01073	Syaf.g_00489
OG0000360	Prbe.g_01074	Syaf.g_00488
OG0000361	Prbe.g_01075	Syaf.g_00487
OG0000362	Prbe.g_01077	Syaf.g_00485
OG0000363	Prbe.g_00114	Syaf.g_00483
OG0000364	Prbe.g_00115	Syaf.g_00482
OG0000365	Prbe.g_00120	Syaf.g_00473
OG0000366	Prbe.g_00121	Syaf.g_00472
OG0000367	Prbe.g_00122	Syaf.g_00471
OG0000368	Prbe.g_00124	Syaf.g_00469
OG0000369	Prbe.g_00125	Syaf.g_00468
OG0000370	Prbe.g_00126	Syaf.g_00467
OG0000371	Prbe.g_00133	Syaf.g_00458
OG0000372	Prbe.g_00136	Syaf.g_00453
OG0000373	Prbe.g_00137	Syaf.g_00452
OG0000374	Prbe.g_00138	Syaf.g_00451
OG0000375	Prbe.g_00140	Syaf.g_00449
OG0000376	Prbe.g_00142	Syaf.g_00447
OG0000377	Prbe.g_00146	Syaf.g_00654
OG0000378	Prbe.g_00150	Syaf.g_00668
OG0000379	Prbe.g_00153	Syaf.g_00686
OG0000380	Prbe.g_00170	Syaf.g_00965
OG0000381	Prbe.g_00175	Syaf.g_00962
OG0000382	Prbe.g_00185	Syaf.g_00945
OG0000383	Prbe.g_00187	Syaf.g_00941
OG0000384	Prbe.g_00188	Syaf.g_00940
OG0000385	Prbe.g_00189	Syaf.g_00939
OG0000386	Prbe.g_00190	Syaf.g_00938
OG0000387	Prbe.g_01640	Syaf.g_00912
OG0000388	Prbe.g_01644	Syaf.g_00908
OG0000389	Prbe.g_01647	Syaf.g_00904
OG0000390	Prbe.g_01657	Syaf.g_00883
OG0000391	Prbe.g_01660	Syaf.g_00878
OG0000392	Prbe.g_01664	Syaf.g_00872
OG0000393	Prbe.g_01667	Syaf.g_00870
OG0000394	Prbe.g_01668	Syaf.g_00869
OG0000395	Prbe.g_01669	Syaf.g_00868
OG0000396	Prbe.g_01671	Syaf.g_00865
OG0000397	Prbe.g_01673	Syaf.g_00863
OG0000398	Prbe.g_01676	Syaf.g_00858
OG0000399	Prbe.g_01677	Syaf.g_00857
OG0000400	Prbe.g_01678	Syaf.g_00856
