Orthogroup	Prar	Prab
OG0000255	Prar.g_01447	Prab.g_00621
OG0000256	Prar.g_01457	Prab.g_00632
OG0000257	Prar.g_01460	Prab.g_00635
OG0000258	Prar.g_01473	Prab.g_00648
OG0000259	Prar.g_01490	Prab.g_00665
OG0000260	Prar.g_01493	Prab.g_00668
OG0000261	Prar.g_01495	Prab.g_00670
OG0000262	Prar.g_01499	Prab.g_00674
OG0000263	Prar.g_01511	Prab.g_00686
OG0000264	Prar.g_01521	Prab.g_00696
OG0000265	Prar.g_01599	Prab.g_00723
OG0000266	Prar.g_01609	Prab.g_00733
OG0000267	Prar.g_01620	Prab.g_00744
OG0000268	Prar.g_01621	Prab.g_00745
OG0000269	Prar.g_01679	Prab.g_00835
OG0000270	Prar.g_01682	Prab.g_00838
OG0000271	Prar.g_01690	Prab.g_00846
OG0000272	Prar.g_01691	Prab.g_00847
OG0000273	Prar.g_01714	Prab.g_00870
OG0000274	Prar.g_01715	Prab.g_00871
OG0000275	Prar.g_01717	Prab.g_00873
OG0000276	Prar.g_01722	Prab.g_00878
OG0000277	Prar.g_01723	Prab.g_00879
OG0000278	Prar.g_01726	Prab.g_00882
OG0000279	Prar.g_01733	Prab.g_00889
OG0000280	Prar.g_01734	Prab.g_00890
OG0000281	Prar.g_01740	Prab.g_00896
OG0000282	Prar.g_01778	Prab.g_01066
OG0000283	Prar.g_01810	Prab.g_01033
OG0000284	Prar.g_01815	Prab.g_01028
OG0000285	Prar.g_01820	Prab.g_01023
OG0000286	Prar.g_01832	Prab.g_01011
OG0000287	Prar.g_01849	Prab.g_00994
OG0000288	Prar.g_01877	Prab.g_00956
OG0000289	Prar.g_01888	Prab.g_00945
OG0000290	Prar.g_01901	Prab.g_00932
OG0000291	Prar.g_01903	Prab.g_00930
OG0000292	Prar.g_01953	Prab.g_01144
OG0000293	Prar.g_01272	Prab.g_01210
OG0000294	Prar.g_01271	Prab.g_01211
OG0000295	Prar.g_01251	Prab.g_01231
OG0000296	Prar.g_01249	Prab.g_01233
OG0000297	Prar.g_01241	Prab.g_01241
OG0000298	Prar.g_01240	Prab.g_01242
OG0000299	Prar.g_01223	Prab.g_01259
OG0000300	Prar.g_01220	Prab.g_01262
OG0000301	Prar.g_01219	Prab.g_01263
OG0000302	Prar.g_01217	Prab.g_01265
OG0000303	Prar.g_01210	Prab.g_01272
OG0000304	Prar.g_01206	Prab.g_01276
OG0000305	Prar.g_00919	Prab.g_01353
OG0000306	Prar.g_00916	Prab.g_01355
OG0000307	Prar.g_00902	Prab.g_01369
OG0000308	Prar.g_00901	Prab.g_01370
OG0000309	Prar.g_00897	Prab.g_01374
OG0000310	Prar.g_00354	Prab.g_01451
OG0000311	Prar.g_00352	Prab.g_01453
OG0000312	Prar.g_00349	Prab.g_01456
OG0000313	Prar.g_00335	Prab.g_01470
OG0000314	Prar.g_00820	Prab.g_01493
OG0000315	Prar.g_00810	Prab.g_01503
OG0000316	Prar.g_00790	Prab.g_01523
OG0000317	Prar.g_01145	Prab.g_01667
OG0000318	Prar.g_01142	Prab.g_01670
OG0000319	Prar.g_01129	Prab.g_01683
OG0000320	Prar.g_01127	Prab.g_01685
OG0000321	Prar.g_01126	Prab.g_01686
OG0000322	Prar.g_01125	Prab.g_01687
OG0000323	Prar.g_01967	Prab.g_01696
OG0000324	Prar.g_00609	Prab.g_01722
OG0000325	Prar.g_01113	Prab.g_01732
OG0000326	Prar.g_01107	Prab.g_01738
OG0000327	Prar.g_01068	Prab.g_01761
OG0000328	Prar.g_01067	Prab.g_01762
OG0000329	Prar.g_01050	Prab.g_01779
OG0000330	Prar.g_01049	Prab.g_01780
OG0000331	Prar.g_01048	Prab.g_01781
OG0000332	Prar.g_01034	Prab.g_01795
OG0000333	Prar.g_01032	Prab.g_01797
OG0000334	Prar.g_01024	Prab.g_01805
OG0000335	Prar.g_01020	Prab.g_01810
OG0000336	Prar.g_01016	Prab.g_01814
OG0000337	Prar.g_00625	Prab.g_01830
OG0000338	Prar.g_00626	Prab.g_01831
OG0000339	Prar.g_00630	Prab.g_01835
OG0000340	Prar.g_00638	Prab.g_01842
OG0000341	Prar.g_00640	Prab.g_01844
OG0000342	Prar.g_00641	Prab.g_01845
OG0000343	Prar.g_00642	Prab.g_01846
OG0000344	Prar.g_00645	Prab.g_01849
OG0000345	Prar.g_00650	Prab.g_01854
OG0000346	Prar.g_00654	Prab.g_01858
OG0000347	Prar.g_00669	Prab.g_01874
OG0000348	Prar.g_00678	Prab.g_01884
OG0000349	Prar.g_00695	Prab.g_01901
OG0000350	Prar.g_00072	Prab.g_01920
OG0000351	Prar.g_00055	Prab.g_01937
OG0000352	Prar.g_00054	Prab.g_01938
OG0000353	Prar.g_00039	Prab.g_01954
OG0000355	Prar.g_00037	Prab.g_00001
OG0000356	Prar.g_00036	Prab.g_00002
OG0000357	Prar.g_00035	Prab.g_00003
OG0000358	Prar.g_00031	Prab.g_00007
OG0000359	Prar.g_00030	Prab.g_00008
OG0000360	Prar.g_00029	Prab.g_00009
OG0000361	Prar.g_00028	Prab.g_00010
OG0000362	Prar.g_00026	Prab.g_00012
OG0000363	Prar.g_00024	Prab.g_00014
OG0000364	Prar.g_00023	Prab.g_00015
OG0000365	Prar.g_00018	Prab.g_00020
OG0000366	Prar.g_00017	Prab.g_00021
OG0000367	Prar.g_00016	Prab.g_00022
OG0000368	Prar.g_00014	Prab.g_00024
OG0000369	Prar.g_00013	Prab.g_00025
OG0000370	Prar.g_00012	Prab.g_00026
OG0000371	Prar.g_00006	Prab.g_00032
OG0000372	Prar.g_00002	Prab.g_00035
OG0000373	Prar.g_00001	Prab.g_00036
OG0000374	Prar.g_00594	Prab.g_00037
OG0000375	Prar.g_00580	Prab.g_00039
OG0000376	Prar.g_00578	Prab.g_00041
OG0000377	Prar.g_00574	Prab.g_00044
OG0000378	Prar.g_00572	Prab.g_00046
OG0000379	Prar.g_00569	Prab.g_00049
OG0000380	Prar.g_00552	Prab.g_00058
OG0000381	Prar.g_00548	Prab.g_00062
OG0000382	Prar.g_00247	Prab.g_00073
OG0000383	Prar.g_00245	Prab.g_00075
OG0000384	Prar.g_00244	Prab.g_00076
OG0000385	Prar.g_00243	Prab.g_00077
OG0000386	Prar.g_00242	Prab.g_00078
OG0000387	Prar.g_00229	Prab.g_00090
OG0000388	Prar.g_00226	Prab.g_00093
OG0000389	Prar.g_00222	Prab.g_00097
OG0000390	Prar.g_00215	Prab.g_00104
OG0000391	Prar.g_00212	Prab.g_00107
OG0000392	Prar.g_00208	Prab.g_00111
OG0000393	Prar.g_00206	Prab.g_00113
OG0000394	Prar.g_00205	Prab.g_00114
OG0000395	Prar.g_00204	Prab.g_00115
OG0000396	Prar.g_00201	Prab.g_00117
OG0000397	Prar.g_00199	Prab.g_00119
OG0000398	Prar.g_00197	Prab.g_00121
OG0000399	Prar.g_00196	Prab.g_00122
OG0000400	Prar.g_00195	Prab.g_00123
OG0000401	Prar.g_00194	Prab.g_00124
OG0000402	Prar.g_00192	Prab.g_00126
OG0000403	Prar.g_00191	Prab.g_00127
OG0000404	Prar.g_00190	Prab.g_00128
OG0000405	Prar.g_00186	Prab.g_00132
OG0000406	Prar.g_00180	Prab.g_00138
OG0000407	Prar.g_00179	Prab.g_00139
OG0000408	Prar.g_00177	Prab.g_00141
OG0000409	Prar.g_00175	Prab.g_00143
OG0000410	Prar.g_00174	Prab.g_00144
OG0000411	Prar.g_00173	Prab.g_00145
OG0000412	Prar.g_00172	Prab.g_00146
OG0000413	Prar.g_00171	Prab.g_00147
OG0000414	Prar.g_00170	Prab.g_00148
OG0000415	Prar.g_00169	Prab.g_00149
OG0000416	Prar.g_00168	Prab.g_00150
OG0000417	Prar.g_00167	Prab.g_00151
OG0000418	Prar.g_00162	Prab.g_00156
OG0000419	Prar.g_00160	Prab.g_00158
OG0000420	Prar.g_00159	Prab.g_00159
OG0000421	Prar.g_00154	Prab.g_00164
OG0000422	Prar.g_00153	Prab.g_00165
OG0000423	Prar.g_00152	Prab.g_00166
OG0000424	Prar.g_00151	Prab.g_00167
OG0000425	Prar.g_00150	Prab.g_00168
OG0000426	Prar.g_00149	Prab.g_00169
OG0000427	Prar.g_00148	Prab.g_00170
OG0000428	Prar.g_00146	Prab.g_00172
OG0000429	Prar.g_00145	Prab.g_00173
OG0000430	Prar.g_00144	Prab.g_00174
OG0000431	Prar.g_00142	Prab.g_00176
OG0000432	Prar.g_00139	Prab.g_00179
OG0000433	Prar.g_00138	Prab.g_00180
OG0000434	Prar.g_00137	Prab.g_00181
OG0000435	Prar.g_00136	Prab.g_00182
OG0000436	Prar.g_00131	Prab.g_00187
OG0000437	Prar.g_00130	Prab.g_00188
OG0000438	Prar.g_00129	Prab.g_00189
OG0000439	Prar.g_00127	Prab.g_00191
OG0000440	Prar.g_00126	Prab.g_00192
OG0000441	Prar.g_00123	Prab.g_00195
OG0000442	Prar.g_00122	Prab.g_00196
OG0000443	Prar.g_00121	Prab.g_00197
OG0000444	Prar.g_00116	Prab.g_00202
OG0000445	Prar.g_00115	Prab.g_00203
OG0000446	Prar.g_00114	Prab.g_00204
OG0000447	Prar.g_00113	Prab.g_00205
OG0000448	Prar.g_00112	Prab.g_00206
