Orthogroup	Prar	Syaf
OG0000147	Prar.g_01654	Syaf.g_01850
OG0000148	Prar.g_01700	Syaf.g_02028
OG0000149	Prar.g_01730	Syaf.g_01371
OG0000150	Prar.g_01738	Syaf.g_02645
OG0000151	Prar.g_01786	Syaf.g_02091
OG0000152	Prar.g_01833	Syaf.g_01861
OG0000153	Prar.g_01852	Syaf.g_01904
OG0000154	Prar.g_01878	Syaf.g_01930
OG0000155	Prar.g_01243	Syaf.g_01324
OG0000156	Prar.g_00966	Syaf.g_01270
OG0000157	Prar.g_00965	Syaf.g_01269
OG0000158	Prar.g_00375	Syaf.g_00364
OG0000160	Prar.g_00338	Syaf.g_02418
OG0000161	Prar.g_00840	Syaf.g_02424
OG0000162	Prar.g_00834	Syaf.g_02431
OG0000163	Prar.g_00800	Syaf.g_01105
OG0000164	Prar.g_01964	Syaf.g_00999
OG0000165	Prar.g_01971	Syaf.g_01197
OG0000166	Prar.g_01063	Syaf.g_00133
OG0000167	Prar.g_00627	Syaf.g_00350
OG0000168	Prar.g_00637	Syaf.g_00365
OG0000169	Prar.g_00647	Syaf.g_00376
OG0000170	Prar.g_00649	Syaf.g_00383
OG0000171	Prar.g_00667	Syaf.g_00413
OG0000172	Prar.g_00675	Syaf.g_00419
OG0000173	Prar.g_00690	Syaf.g_00438
OG0000174	Prar.g_00068	Syaf.g_00603
OG0000175	Prar.g_00058	Syaf.g_00531
OG0000176	Prar.g_00034	Syaf.g_00494
OG0000177	Prar.g_00033	Syaf.g_00493
OG0000178	Prar.g_00032	Syaf.g_00492
OG0000179	Prar.g_00022	Syaf.g_00477
OG0000180	Prar.g_00021	Syaf.g_00476
OG0000181	Prar.g_00020	Syaf.g_00475
OG0000182	Prar.g_00019	Syaf.g_00474
OG0000183	Prar.g_00015	Syaf.g_00470
OG0000184	Prar.g_00573	Syaf.g_00664
OG0000185	Prar.g_00570	Syaf.g_00684
OG0000186	Prar.g_00554	Syaf.g_00968
OG0000187	Prar.g_00553	Syaf.g_00966
OG0000188	Prar.g_00246	Syaf.g_00944
OG0000189	Prar.g_00232	Syaf.g_00916
OG0000190	Prar.g_00231	Syaf.g_00914
OG0000191	Prar.g_00211	Syaf.g_00877
OG0000192	Prar.g_00207	Syaf.g_00871
OG0000193	Prar.g_00181	Syaf.g_00832
OG0000194	Prar.g_00178	Syaf.g_00829
OG0000195	Prar.g_00176	Syaf.g_00827
OG0000196	Prar.g_00166	Syaf.g_00816
OG0000197	Prar.g_00165	Syaf.g_00815
OG0000198	Prar.g_00164	Syaf.g_00814
OG0000199	Prar.g_00157	Syaf.g_00806
OG0000200	Prar.g_00143	Syaf.g_00789
OG0000202	Prar.g_00134	Syaf.g_00770
OG0000203	Prar.g_00133	Syaf.g_00769
OG0000204	Prar.g_00132	Syaf.g_00768
