Orthogroup	Prar	Syan
OG0000246	Prar.g_01382	Syan.g_00854
OG0000247	Prar.g_01392	Syan.g_00866
OG0000248	Prar.g_01394	Syan.g_00869
OG0000249	Prar.g_01396	Syan.g_00871
OG0000250	Prar.g_01401	Syan.g_00878
OG0000251	Prar.g_01420	Syan.g_00961
OG0000252	Prar.g_01424	Syan.g_00966
OG0000253	Prar.g_01425	Syan.g_01000
OG0000254	Prar.g_01441	Syan.g_01026
OG0000255	Prar.g_01447	Syan.g_00978
OG0000256	Prar.g_01457	Syan.g_00001, Syan.g_01135
OG0000257	Prar.g_01460	Syan.g_00827
OG0000258	Prar.g_01473	Syan.g_00803
OG0000259	Prar.g_01490	Syan.g_00772
OG0000260	Prar.g_01493	Syan.g_00769
OG0000261	Prar.g_01495	Syan.g_00765
OG0000262	Prar.g_01499	Syan.g_00760
OG0000263	Prar.g_01511	Syan.g_02618
OG0000264	Prar.g_01521	Syan.g_00540
OG0000266	Prar.g_01609	Syan.g_00330
OG0000267	Prar.g_01620	Syan.g_00470
OG0000268	Prar.g_01621	Syan.g_00471
OG0000269	Prar.g_01679	Syan.g_00695
OG0000270	Prar.g_01682	Syan.g_00692
OG0000271	Prar.g_01690	Syan.g_00684
OG0000272	Prar.g_01691	Syan.g_00683
OG0000273	Prar.g_01714	Syan.g_00654
OG0000274	Prar.g_01715	Syan.g_00653
OG0000275	Prar.g_01717	Syan.g_00373
OG0000276	Prar.g_01722	Syan.g_00380
OG0000277	Prar.g_01723	Syan.g_00381
OG0000278	Prar.g_01726	Syan.g_00384
OG0000279	Prar.g_01733	Syan.g_00398
OG0000280	Prar.g_01734	Syan.g_00518
OG0000282	Prar.g_01778	Syan.g_00739
OG0000283	Prar.g_01810	Syan.g_00491
OG0000284	Prar.g_01815	Syan.g_00497
OG0000285	Prar.g_01820	Syan.g_00533
OG0000286	Prar.g_01832	Syan.g_00564
OG0000287	Prar.g_01849	Syan.g_00593
OG0000288	Prar.g_01877	Syan.g_00364
OG0000289	Prar.g_01888	Syan.g_00350
OG0000290	Prar.g_01901	Syan.g_00293
OG0000291	Prar.g_01903	Syan.g_00291
OG0000292	Prar.g_01953	Syan.g_01703
OG0000293	Prar.g_01272	Syan.g_02709
OG0000294	Prar.g_01271	Syan.g_02708
OG0000295	Prar.g_01251	Syan.g_02662
OG0000296	Prar.g_01249	Syan.g_02660
OG0000299	Prar.g_01223	Syan.g_02601
OG0000301	Prar.g_01219	Syan.g_02592
OG0000302	Prar.g_01217	Syan.g_02591
OG0000303	Prar.g_01210	Syan.g_02582
OG0000304	Prar.g_01206	Syan.g_02556
OG0000305	Prar.g_00919	Syan.g_00195
OG0000306	Prar.g_00916	Syan.g_00087
OG0000307	Prar.g_00902	Syan.g_02782
OG0000308	Prar.g_00901	Syan.g_02784
OG0000309	Prar.g_00897	Syan.g_02883
OG0000310	Prar.g_00354	Syan.g_01304
OG0000311	Prar.g_00352	Syan.g_01299
OG0000312	Prar.g_00349	Syan.g_01290
OG0000313	Prar.g_00335	Syan.g_01271
OG0000314	Prar.g_00820	Syan.g_02823
OG0000315	Prar.g_00810	Syan.g_02833
OG0000316	Prar.g_00790	Syan.g_01354
OG0000317	Prar.g_01145	Syan.g_01396
OG0000318	Prar.g_01142	Syan.g_01401
OG0000319	Prar.g_01129	Syan.g_01425
OG0000320	Prar.g_01127	Syan.g_01427
OG0000321	Prar.g_01126	Syan.g_01428
OG0000322	Prar.g_01125	Syan.g_01429
OG0000323	Prar.g_01967	Syan.g_01442
OG0000324	Prar.g_00609	Syan.g_01472
OG0000325	Prar.g_01113	Syan.g_02107
OG0000326	Prar.g_01107	Syan.g_02114
OG0000327	Prar.g_01068	Syan.g_02244
OG0000328	Prar.g_01067	Syan.g_02243
OG0000329	Prar.g_01050	Syan.g_02225
OG0000330	Prar.g_01049	Syan.g_02224
OG0000331	Prar.g_01048	Syan.g_02223
OG0000332	Prar.g_01034	Syan.g_02208
OG0000333	Prar.g_01032	Syan.g_02205
OG0000334	Prar.g_01024	Syan.g_00247, Syan.g_02194
OG0000335	Prar.g_01020	Syan.g_02189
OG0000336	Prar.g_01016	Syan.g_02185
OG0000337	Prar.g_00625	Syan.g_01949
OG0000338	Prar.g_00626	Syan.g_01943
