Orthogroup	Pram	Pran
OG0000194	Pram.g_00033	Pran.g_00379
OG0000195	Pram.g_00034	Pran.g_00378
OG0000196	Pram.g_00035	Pran.g_00377
OG0000197	Pram.g_00037	Pran.g_00375
OG0000198	Pram.g_00038	Pran.g_00374
OG0000199	Pram.g_00039	Pran.g_00373
OG0000200	Pram.g_00048	Pran.g_00368
OG0000201	Pram.g_00049	Pran.g_00367
OG0000202	Pram.g_00050	Pran.g_00366
OG0000203	Pram.g_00054	Pran.g_00363
OG0000204	Pram.g_00055	Pran.g_00362
OG0000205	Pram.g_00058	Pran.g_00359
OG0000206	Pram.g_00060	Pran.g_00357
OG0000207	Pram.g_00062	Pran.g_00355
OG0000208	Pram.g_00063	Pran.g_00354
OG0000209	Pram.g_01536	Pran.g_00353
OG0000210	Pram.g_00064	Pran.g_00352
OG0000211	Pram.g_00065	Pran.g_00351
OG0000212	Pram.g_00066	Pran.g_00350
OG0000213	Pram.g_00067	Pran.g_00349
OG0000214	Pram.g_00068	Pran.g_00348
OG0000215	Pram.g_00069	Pran.g_00347
OG0000216	Pram.g_00070	Pran.g_00346
OG0000217	Pram.g_00072	Pran.g_00344
OG0000218	Pram.g_00073	Pran.g_00343
OG0000219	Pram.g_00074	Pran.g_00342
OG0000220	Pram.g_00075	Pran.g_00341
OG0000221	Pram.g_00078	Pran.g_00339
OG0000222	Pram.g_00079	Pran.g_00338
OG0000223	Pram.g_00080	Pran.g_00337
OG0000224	Pram.g_00081	Pran.g_00336
OG0000225	Pram.g_00082	Pran.g_00335
OG0000226	Pram.g_00083	Pran.g_00334
OG0000227	Pram.g_00085	Pran.g_00333
OG0000228	Pram.g_00086	Pran.g_00332
OG0000229	Pram.g_00087	Pran.g_00331
OG0000230	Pram.g_00088	Pran.g_00330
OG0000231	Pram.g_00089	Pran.g_00329
OG0000232	Pram.g_00090	Pran.g_00327
OG0000233	Pram.g_00091	Pran.g_00326
OG0000234	Pram.g_00092	Pran.g_00325
OG0000235	Pram.g_00093	Pran.g_00324
OG0000236	Pram.g_00096	Pran.g_00323
OG0000237	Pram.g_00097	Pran.g_00322
OG0000238	Pram.g_00098	Pran.g_00321
OG0000239	Pram.g_00100	Pran.g_00319
OG0000240	Pram.g_00101	Pran.g_00318
OG0000241	Pram.g_00102	Pran.g_00317
OG0000242	Pram.g_00103	Pran.g_00316
OG0000243	Pram.g_00106	Pran.g_00313
OG0000244	Pram.g_00109	Pran.g_00311
OG0000245	Pram.g_00110	Pran.g_00310
OG0000246	Pram.g_00111	Pran.g_00309
OG0000247	Pram.g_00113	Pran.g_00307
OG0000248	Pram.g_00115	Pran.g_00305
OG0000249	Pram.g_00117	Pran.g_00304
OG0000250	Pram.g_00118	Pran.g_00303
OG0000251	Pram.g_00119	Pran.g_00302
OG0000252	Pram.g_00120	Pran.g_00301
OG0000253	Pram.g_00121	Pran.g_00300
OG0000254	Pram.g_01001	Pran.g_00298
OG0000255	Pram.g_00123	Pran.g_00297
OG0000256	Pram.g_00126	Pran.g_00294
OG0000257	Pram.g_00128	Pran.g_00292
OG0000258	Pram.g_00130	Pran.g_00288
OG0000259	Pram.g_00131	Pran.g_00287
OG0000260	Pram.g_00132	Pran.g_00286
OG0000261	Pram.g_00133	Pran.g_00285
OG0000262	Pram.g_00134	Pran.g_00283
OG0000263	Pram.g_00136	Pran.g_00281
OG0000264	Pram.g_00137	Pran.g_00280
OG0000265	Pram.g_00138	Pran.g_00279
OG0000266	Pram.g_00139	Pran.g_00278
OG0000267	Pram.g_00140	Pran.g_00277
OG0000268	Pram.g_00141	Pran.g_00276
OG0000269	Pram.g_00143	Pran.g_00274
OG0000270	Pram.g_00144	Pran.g_00273
OG0000271	Pram.g_00145	Pran.g_00272
OG0000272	Pram.g_00146	Pran.g_00271
OG0000273	Pram.g_00147	Pran.g_00270
OG0000274	Pram.g_00148	Pran.g_00269
OG0000275	Pram.g_00149	Pran.g_00268
OG0000276	Pram.g_00150	Pran.g_00267
OG0000277	Pram.g_00152	Pran.g_00265
OG0000278	Pram.g_00153	Pran.g_00264
