Orthogroup	Prar	Prbl
OG0000117	Prar.g_00530	Prbl.g_00511
OG0000118	Prar.g_01330	Prbl.g_00533
OG0000119	Prar.g_01362	Prbl.g_00768
OG0000120	Prar.g_01363	Prbl.g_00766
OG0000121	Prar.g_01373	Prbl.g_02647
OG0000122	Prar.g_01382	Prbl.g_01886
OG0000123	Prar.g_01413	Prbl.g_01784
OG0000124	Prar.g_01481	Prbl.g_01043
OG0000125	Prar.g_01482	Prbl.g_01042
OG0000126	Prar.g_01483	Prbl.g_01041
OG0000127	Prar.g_01516	Prbl.g_00318
OG0000128	Prar.g_01601	Prbl.g_02564
OG0000129	Prar.g_01621	Prbl.g_02432
OG0000130	Prar.g_01668	Prbl.g_01099
OG0000131	Prar.g_01682	Prbl.g_02337
OG0000132	Prar.g_01717	Prbl.g_01538
OG0000133	Prar.g_01792	Prbl.g_02365
OG0000134	Prar.g_01801	Prbl.g_02359
OG0000135	Prar.g_01837	Prbl.g_02486
OG0000136	Prar.g_01901	Prbl.g_00930
OG0000137	Prar.g_01293	Prbl.g_02202
OG0000139	Prar.g_01257	Prbl.g_02091
OG0000140	Prar.g_01206	Prbl.g_01102
OG0000141	Prar.g_00376	Prbl.g_00937
OG0000142	Prar.g_00943	Prbl.g_01736
OG0000143	Prar.g_00911	Prbl.g_00502
OG0000144	Prar.g_00352	Prbl.g_00258
OG0000145	Prar.g_00338	Prbl.g_00241
OG0000146	Prar.g_00810	Prbl.g_00709
OG0000147	Prar.g_00770	Prbl.g_00418
OG0000148	Prar.g_00769	Prbl.g_00417
OG0000149	Prar.g_01145	Prbl.g_00399
OG0000150	Prar.g_01959	Prbl.g_00350
OG0000151	Prar.g_01956, Prar.g_00595	Prbl.g_00347
OG0000152	Prar.g_01119	Prbl.g_02620
OG0000153	Prar.g_01068	Prbl.g_00957
OG0000154	Prar.g_01032	Prbl.g_00994
OG0000155	Prar.g_01015	Prbl.g_01141
OG0000156	Prar.g_00638	Prbl.g_00841
OG0000157	Prar.g_00669	Prbl.g_02053
OG0000158	Prar.g_00055	Prbl.g_02147
OG0000160	Prar.g_00037	Prbl.g_02120
OG0000161	Prar.g_00036	Prbl.g_02119
OG0000162	Prar.g_00034	Prbl.g_02117
OG0000163	Prar.g_00033	Prbl.g_02116
OG0000164	Prar.g_00032	Prbl.g_02115
OG0000165	Prar.g_00031	Prbl.g_02114
OG0000166	Prar.g_00030	Prbl.g_02112
OG0000167	Prar.g_00029	Prbl.g_02111
OG0000168	Prar.g_00028	Prbl.g_02110
OG0000169	Prar.g_00026	Prbl.g_02108
OG0000170	Prar.g_00024	Prbl.g_01955
OG0000171	Prar.g_00023	Prbl.g_01956
OG0000172	Prar.g_00022	Prbl.g_01961
OG0000173	Prar.g_00021	Prbl.g_01962
OG0000174	Prar.g_00020	Prbl.g_01963
OG0000175	Prar.g_00019	Prbl.g_01964
OG0000176	Prar.g_00018	Prbl.g_01965
OG0000177	Prar.g_00017	Prbl.g_01966
OG0000178	Prar.g_00016	Prbl.g_01967
OG0000179	Prar.g_00014	Prbl.g_01969
OG0000180	Prar.g_00013	Prbl.g_01970
OG0000181	Prar.g_00012	Prbl.g_01971
OG0000182	Prar.g_00011	Prbl.g_01972
OG0000183	Prar.g_00010	Prbl.g_01973
OG0000184	Prar.g_00009	Prbl.g_01975
OG0000185	Prar.g_00006	Prbl.g_01980
OG0000186	Prar.g_00002	Prbl.g_01985
OG0000187	Prar.g_00001	Prbl.g_01986
OG0000188	Prar.g_00594	Prbl.g_01987
OG0000189	Prar.g_00580	Prbl.g_01988
OG0000190	Prar.g_00578	Prbl.g_01990
OG0000191	Prar.g_00577	Prbl.g_02241
OG0000192	Prar.g_00576	Prbl.g_02243
OG0000193	Prar.g_00574	Prbl.g_02244
OG0000194	Prar.g_00573	Prbl.g_02251
OG0000195	Prar.g_00572	Prbl.g_02258
