Orthogroup	Syai	Prau
OG0000107	Syai.g_00319	Prau.g_00389
OG0000108	Syai.g_00638	Prau.g_00521
OG0000109	Syai.g_00653	Prau.g_00535
OG0000110	Syai.g_00878, Syai.g_00766	Prau.g_00614
OG0000111	Syai.g_00884, Syai.g_01998	Prau.g_00739
OG0000112	Syai.g_01512	Prau.g_00818
OG0000113	Syai.g_01367	Prau.g_00876
OG0000114	Syai.g_01261	Prau.g_00956
OG0000115	Syai.g_00932	Prau.g_01148
OG0000116	Syai.g_02156	Prau.g_01197
OG0000117	Syai.g_01756	Prau.g_01318
OG0000118	Syai.g_00818	Prau.g_01383
OG0000119	Syai.g_02127	Prau.g_01405
OG0000120	Syai.g_00198	Prau.g_01430
OG0000121	Syai.g_00951	Prau.g_01533
OG0000122	Syai.g_01143	Prau.g_01571
OG0000123	Syai.g_00411	Prau.g_01876
OG0000124	Syai.g_00089	Prau.g_01941
OG0000125	Syai.g_02782	Prau.g_01978
OG0000126	Syai.g_02927	Prau.g_02017
OG0000127	Syai.g_01872, Syai.g_01906, Syai.g_01855, Syai.g_02459	Prau.g_01292
OG0000128	Syai.g_00012	Prau.g_00011
OG0000129	Syai.g_02771	Prau.g_00051
OG0000130	Syai.g_02474	Prau.g_00071
OG0000131	Syai.g_02608	Prau.g_00146
OG0000132	Syai.g_02628	Prau.g_00165
OG0000133	Syai.g_01507	Prau.g_00324
OG0000134	Syai.g_00520	Prau.g_00359
OG0000135	Syai.g_02826	Prau.g_00386
OG0000136	Syai.g_02217	Prau.g_00482
OG0000137	Syai.g_00865	Prau.g_00516
OG0000138	Syai.g_00654	Prau.g_00536
OG0000139	Syai.g_00714	Prau.g_00577
OG0000140	Syai.g_00716	Prau.g_00578
OG0000141	Syai.g_01041	Prau.g_00645
OG0000142	Syai.g_01104	Prau.g_00675
OG0000143	Syai.g_01108	Prau.g_00679
OG0000144	Syai.g_01608	Prau.g_00692
OG0000145	Syai.g_00660	Prau.g_00816
OG0000146	Syai.g_01513	Prau.g_00819
OG0000147	Syai.g_01514	Prau.g_00820
OG0000148	Syai.g_01361	Prau.g_00870
OG0000149	Syai.g_02059	Prau.g_00900
OG0000150	Syai.g_00717	Prau.g_00909
OG0000151	Syai.g_01280	Prau.g_00966
OG0000152	Syai.g_01503	Prau.g_01015
OG0000153	Syai.g_01461	Prau.g_01034
OG0000154	Syai.g_01434	Prau.g_01063
OG0000155	Syai.g_02109	Prau.g_01226
OG0000156	Syai.g_02162	Prau.g_01359
OG0000157	Syai.g_02163	Prau.g_01360
OG0000158	Syai.g_00135	Prau.g_01436
OG0000160	Syai.g_00952	Prau.g_01532
OG0000161	Syai.g_00946	Prau.g_01538
OG0000162	Syai.g_00939	Prau.g_01544
OG0000163	Syai.g_02300	Prau.g_01578
OG0000164	Syai.g_02411	Prau.g_01756
OG0000165	Syai.g_02244	Prau.g_01763
OG0000166	Syai.g_00364	Prau.g_01833
OG0000167	Syai.g_00164	Prau.g_01899
OG0000168	Syai.g_00134	Prau.g_01909
OG0000169	Syai.g_00123	Prau.g_01919
OG0000170	Syai.g_00116	Prau.g_01921
OG0000171	Syai.g_00090	Prau.g_01940
OG0000172	Syai.g_00083	Prau.g_01949
OG0000173	Syai.g_00064	Prau.g_01964
OG0000174	Syai.g_02828	Prau.g_01991
OG0000175	Syai.g_02901	Prau.g_02001
OG0000176	Syai.g_00004	Prau.g_00004
OG0000177	Syai.g_00005	Prau.g_00005
OG0000178	Syai.g_00006	Prau.g_00006
OG0000179	Syai.g_00023	Prau.g_00016
OG0000180	Syai.g_00024	Prau.g_00017
OG0000181	Syai.g_00025	Prau.g_00018
