Orthogroup	Species	Pran	Orthologs
OG0000000	Praq	Pran.g_00001	Praq.g_01392
OG0000000	Prar	Pran.g_00001	Prar.g_01204
OG0000000	Pras	Pran.g_00001	Pras.g_00117
OG0000000	Pras	Pran.g_00001	Pras.g_00469
OG0000000	Prau	Pran.g_00001	Prau.g_01266
OG0000000	Prau	Pran.g_00001	Prau.g_01647
OG0000000	Prav	Pran.g_00001	Prav.g_01694
OG0000000	Prav	Pran.g_00001	Prav.g_01821
OG0000000	Praw	Pran.g_00001	Praw.g_00294
OG0000000	Praw	Pran.g_00001	Praw.g_00454
OG0000000	Praw	Pran.g_00001	Praw.g_00496
OG0000000	Prax	Pran.g_00001	Prax.g_00259
OG0000000	Prax	Pran.g_00001	Prax.g_01609
OG0000000	Pray	Pran.g_00001	Pray.g_00003
OG0000000	Pray	Pran.g_00001	Pray.g_01604
OG0000000	Praz	Pran.g_00001	Praz.g_00694
OG0000000	Praz	Pran.g_00001	Praz.g_00922
OG0000000	Prba	Pran.g_00001	Prba.g_00003
OG0000000	Prba	Pran.g_00001	Prba.g_00270
OG0000000	Prbd	Pran.g_00001	Prbd.g_00528
OG0000000	Prbi	Pran.g_00001	Prbi.g_01268
OG0000000	Prbi	Pran.g_00001	Prbi.g_01708
OG0000000	Prao	Pran.g_00602	Prao.g_01029
OG0000000	Praq	Pran.g_00602	Praq.g_00025
OG0000000	Praq	Pran.g_00602	Praq.g_01392
OG0000000	Prar	Pran.g_00602	Prar.g_01204
OG0000000	Pras	Pran.g_00602	Pras.g_00117
OG0000000	Pras	Pran.g_00602	Pras.g_00469
OG0000000	Prau	Pran.g_00602	Prau.g_01266
OG0000000	Prau	Pran.g_00602	Prau.g_01647
OG0000000	Prav	Pran.g_00602	Prav.g_01694
OG0000000	Prav	Pran.g_00602	Prav.g_01821
OG0000000	Praw	Pran.g_00602	Praw.g_00294
OG0000000	Praw	Pran.g_00602	Praw.g_00454
OG0000000	Praw	Pran.g_00602	Praw.g_00496
OG0000000	Prax	Pran.g_00602	Prax.g_00259
OG0000000	Prax	Pran.g_00602	Prax.g_01609
OG0000000	Pray	Pran.g_00602	Pray.g_00003
OG0000000	Pray	Pran.g_00602	Pray.g_01604
OG0000000	Praz	Pran.g_00602	Praz.g_00694
OG0000000	Praz	Pran.g_00602	Praz.g_00922
OG0000000	Prba	Pran.g_00602	Prba.g_00003
OG0000000	Prba	Pran.g_00602	Prba.g_00270
OG0000000	Prbd	Pran.g_00602	Prbd.g_00528
OG0000000	Prbi	Pran.g_00602	Prbi.g_01268
OG0000000	Prbi	Pran.g_00602	Prbi.g_01708
OG0000000	Praj	Pran.g_00593	Praj.g_01267
OG0000000	Prbb	Pran.g_00593	Prbb.g_01313
OG0000000	Praf	Pran.g_00593	Praf.g_01039, Praf.g_01042
OG0000000	Prah	Pran.g_00593	Prah.g_01154, Prah.g_01152
OG0000000	Praw	Pran.g_00593	Praw.g_00472
OG0000000	Prav	Pran.g_00593	Prav.g_01730, Prav.g_01715
OG0000000	Prag	Pran.g_00593	Prag.g_01626
OG0000000	Prbd	Pran.g_00593	Prbd.g_01836
OG0000000	Prad	Pran.g_00593	Prad.g_00372, Prad.g_00349
OG0000000	Prae	Pran.g_00593	Prae.g_01300
OG0000000	Prbi	Pran.g_00593	Prbi.g_01370
OG0000000	Prao	Pran.g_00593	Prao.g_01528, Prao.g_01297
OG0000000	Praa	Pran.g_00593	Praa.g_01297
OG0000000	Prax	Pran.g_00593	Prax.g_01920
OG0000000	Prab	Pran.g_00593	Prab.g_01606
OG0000000	Prai	Pran.g_00580	Prai.g_00907, Prai.g_01774
OG0000000	Prab	Pran.g_00580	Prab.g_00917
OG0000000	Prab	Pran.g_00580	Prab.g_01619
OG0000000	Prac	Pran.g_00894	Prac.g_00290
OG0000000	Praq	Pran.g_00894	Praq.g_00028
OG0000000	Prar	Pran.g_00894	Prar.g_00727
OG0000000	Prai	Pran.g_00894	Prai.g_01314
OG0000000	Prau	Pran.g_00894	Prau.g_01350
OG0000000	Prav	Pran.g_00894	Prav.g_01413
OG0000000	Praa	Pran.g_00894	Praa.g_01298
OG0000000	Prag	Pran.g_00894	Prag.g_01333
OG0000000	Prao	Pran.g_00894	Prao.g_01296
OG0000000	Praw	Pran.g_00894	Praw.g_00959
OG0000000	Prax	Pran.g_00894	Prax.g_01919
OG0000000	Prbd	Pran.g_00894	Prbd.g_01835
OG0000000	Prbi	Pran.g_00894	Prbi.g_01371
OG0000000	Prad	Pran.g_00894	Prad.g_00350
OG0000000	Prae	Pran.g_00894	Prae.g_01308
OG0000000	Pras	Pran.g_00894	Pras.g_00182
OG0000000	Pray	Pran.g_00894	Pray.g_01890
OG0000000	Praz	Pran.g_00894	Praz.g_01200
OG0000000	Prba	Pran.g_00894	Prba.g_01172
OG0000000	Prab	Pran.g_00894	Prab.g_01308
OG0000001	Pral	Pran.g_01395	Pral.g_01296
OG0000001	Prbb	Pran.g_01395	Prbb.g_01157
OG0000001	Praj	Pran.g_01395	Praj.g_01112
OG0000001	Prbm	Pran.g_01395	Prbm.g_01426
OG0000001	Prao	Pran.g_01395	Prao.g_01852
OG0000001	Prbi	Pran.g_01395	Prbi.g_01270
OG0000001	Prai	Pran.g_01395	Prai.g_01236
OG0000001	Prad	Pran.g_01395	Prad.g_01434, Prad.g_01994
OG0000001	Prbd	Pran.g_01395	Prbd.g_01930
OG0000001	Praa	Pran.g_01395	Praa.g_01220, Praa.g_01222
OG0000001	Pras	Pran.g_01395	Pras.g_00118, Pras.g_00120
OG0000001	Prau	Pran.g_01395	Prau.g_01267, Prau.g_01269
OG0000001	Prae	Pran.g_01395	Prae.g_01236
OG0000001	Prag	Pran.g_01395	Prag.g_00764
OG0000001	Praw	Pran.g_01395	Praw.g_01739
OG0000001	Prav	Pran.g_01395	Prav.g_00962
OG0000001	Prax	Pran.g_01395	Prax.g_00522
OG0000001	Prab	Pran.g_01395	Prab.g_00788
