Orthogroup	Prac	Syas
OG0000360	Prac.g_01938	Syas.g_02044
OG0000361	Prac.g_01937	Syas.g_02045
OG0000362	Prac.g_01935	Syas.g_02047
OG0000363	Prac.g_01933	Syas.g_02049
OG0000364	Prac.g_01932	Syas.g_02685
OG0000365	Prac.g_01927	Syas.g_02058
OG0000366	Prac.g_01926	Syas.g_02059
OG0000368	Prac.g_01923	Syas.g_02062
OG0000369	Prac.g_01922	Syas.g_02063
OG0000370	Prac.g_01921	Syas.g_02064
OG0000371	Prac.g_01915	Syas.g_02073
OG0000372	Prac.g_01911	Syas.g_02078
OG0000373	Prac.g_01910	Syas.g_02079
OG0000374	Prac.g_01909	Syas.g_02080
OG0000375	Prac.g_01892	Syas.g_02081
OG0000376	Prac.g_01890	Syas.g_02083
OG0000377	Prac.g_01886	Syas.g_01879
OG0000378	Prac.g_01884	Syas.g_01867
OG0000379	Prac.g_01881	Syas.g_01859
OG0000380	Prac.g_01865	Syas.g_02523
OG0000381	Prac.g_01861	Syas.g_02521
OG0000382	Prac.g_01850	Syas.g_02503
OG0000383	Prac.g_01848	Syas.g_02480
OG0000384	Prac.g_01847	Syas.g_02479
OG0000385	Prac.g_01846	Syas.g_02478
OG0000386	Prac.g_01845	Syas.g_02477
OG0000387	Prac.g_01832	Syas.g_00134
OG0000388	Prac.g_01829	Syas.g_02426
OG0000389	Prac.g_01825	Syas.g_02422
OG0000390	Prac.g_01818	Syas.g_02406
OG0000391	Prac.g_01815	Syas.g_02401
OG0000392	Prac.g_01811	Syas.g_02396
OG0000393	Prac.g_01809	Syas.g_02394
OG0000394	Prac.g_01808	Syas.g_02393
OG0000395	Prac.g_01807	Syas.g_02392
OG0000396	Prac.g_01804	Syas.g_02389
OG0000397	Prac.g_01802	Syas.g_02387
OG0000398	Prac.g_01800	Syas.g_02382
OG0000399	Prac.g_01799	Syas.g_02381
OG0000400	Prac.g_01798	Syas.g_02380
OG0000401	Prac.g_01797	Syas.g_02379
OG0000402	Prac.g_01795	Syas.g_02377
OG0000403	Prac.g_01794	Syas.g_02376
OG0000404	Prac.g_01793	Syas.g_02375
OG0000405	Prac.g_01789	Syas.g_02369
OG0000406	Prac.g_01783	Syas.g_02365
OG0000407	Prac.g_01782	Syas.g_02364
OG0000408	Prac.g_01780	Syas.g_02361
OG0000409	Prac.g_01778	Syas.g_02359
OG0000410	Prac.g_01777	Syas.g_02358
OG0000411	Prac.g_01776	Syas.g_02357
OG0000412	Prac.g_01775	Syas.g_02356
OG0000413	Prac.g_01774	Syas.g_02354
OG0000414	Prac.g_01590, Prac.g_01773	Syas.g_02353
OG0000415	Prac.g_01772	Syas.g_02352
OG0000416	Prac.g_01771	Syas.g_02351
OG0000417	Prac.g_01770	Syas.g_02338
OG0000418	Prac.g_01765	Syas.g_02333
OG0000419	Prac.g_01763	Syas.g_02331
OG0000420	Prac.g_01762	Syas.g_02329
OG0000421	Prac.g_01757	Syas.g_02324
OG0000422	Prac.g_01756	Syas.g_02323
OG0000423	Prac.g_01755	Syas.g_02322
OG0000424	Prac.g_01754	Syas.g_02321
OG0000425	Prac.g_01753	Syas.g_02320
OG0000426	Prac.g_01752	Syas.g_02319
OG0000427	Prac.g_01751	Syas.g_02318
OG0000428	Prac.g_01749	Syas.g_02315
OG0000429	Prac.g_01748	Syas.g_02312
OG0000430	Prac.g_01747	Syas.g_02311
OG0000431	Prac.g_01745	Syas.g_02296
OG0000432	Prac.g_01742	Syas.g_02288
OG0000433	Prac.g_01741	Syas.g_02286
OG0000434	Prac.g_01740	Syas.g_02285
OG0000435	Prac.g_01739	Syas.g_02282
OG0000436	Prac.g_01734	Syas.g_02273
OG0000437	Prac.g_01733	Syas.g_02272
OG0000438	Prac.g_01732	Syas.g_02271
OG0000439	Prac.g_01730	Syas.g_02269
OG0000440	Prac.g_01729	Syas.g_02268
OG0000441	Prac.g_01726	Syas.g_02265
OG0000442	Prac.g_01725	Syas.g_02259
OG0000443	Prac.g_01724	Syas.g_02241
OG0000444	Prac.g_01719	Syas.g_02234
OG0000445	Prac.g_01718	Syas.g_02233
OG0000446	Prac.g_01717	Syas.g_02231
OG0000447	Prac.g_01716	Syas.g_02229
OG0000448	Prac.g_01715	Syas.g_02228
OG0000449	Prac.g_01714	Syas.g_02226
OG0000450	Prac.g_01713	Syas.g_01834
OG0000451	Prac.g_01712	Syas.g_01835
OG0000452	Prac.g_01709	Syas.g_01844
OG0000453	Prac.g_01708	Syas.g_01845
OG0000454	Prac.g_01707	Syas.g_01846
OG0000455	Prac.g_01706	Syas.g_01847
OG0000456	Prac.g_01705	Syas.g_01848
OG0000457	Prac.g_01704	Syas.g_01850
OG0000458	Prac.g_01703	Syas.g_01851
OG0000459	Prac.g_01702	Syas.g_01852
OG0000460	Prac.g_01695	Syas.g_02554
OG0000461	Prac.g_01688	Syas.g_01686
OG0000462	Prac.g_01686	Syas.g_01688
OG0000463	Prac.g_01685	Syas.g_01689
OG0000464	Prac.g_01684	Syas.g_01690
OG0000465	Prac.g_01683	Syas.g_01692
OG0000466	Prac.g_01680	Syas.g_01697
OG0000467	Prac.g_01679	Syas.g_01698
OG0000468	Prac.g_01678	Syas.g_01703
OG0000469	Prac.g_01669	Syas.g_01725
OG0000470	Prac.g_01667	Syas.g_01727
OG0000471	Prac.g_01666	Syas.g_01728
OG0000472	Prac.g_01665	Syas.g_01729
OG0000473	Prac.g_01663	Syas.g_01731
OG0000474	Prac.g_01662	Syas.g_01732
OG0000475	Prac.g_01661	Syas.g_01733
OG0000476	Prac.g_01660	Syas.g_01735
OG0000477	Prac.g_01656	Syas.g_01740
OG0000478	Prac.g_01655	Syas.g_01741
OG0000479	Prac.g_01654	Syas.g_01749
OG0000480	Prac.g_01649	Syas.g_01756
OG0000481	Prac.g_01647	Syas.g_00161, Syas.g_00162
OG0000482	Prac.g_01646	Syas.g_01758
OG0000483	Prac.g_01643	Syas.g_01762
OG0000484	Prac.g_01642	Syas.g_01763
OG0000485	Prac.g_01641	Syas.g_01764
OG0000486	Prac.g_01640	Syas.g_01765
OG0000487	Prac.g_01636	Syas.g_01771
OG0000488	Prac.g_01633	Syas.g_01779
OG0000489	Prac.g_01628	Syas.g_01823
OG0000490	Prac.g_01623	Syas.g_01808
OG0000491	Prac.g_01622	Syas.g_01806
OG0000492	Prac.g_01620	Syas.g_01803
OG0000493	Prac.g_01619	Syas.g_01802
OG0000494	Prac.g_01618	Syas.g_01801
OG0000495	Prac.g_01617	Syas.g_01799
OG0000496	Prac.g_01616	Syas.g_01798
OG0000497	Prac.g_01615	Syas.g_01797
OG0000498	Prac.g_01614	Syas.g_01796
OG0000499	Prac.g_01613	Syas.g_01795
OG0000500	Prac.g_01612	Syas.g_01794
OG0000501	Prac.g_01610	Syas.g_01791
OG0000502	Prac.g_01607	Syas.g_02216
OG0000503	Prac.g_01200	Syas.g_01541
OG0000504	Prac.g_01199	Syas.g_01539
OG0000505	Prac.g_01198	Syas.g_01538
OG0000506	Prac.g_01196	Syas.g_01536
OG0000507	Prac.g_01193	Syas.g_01530
OG0000508	Prac.g_01189	Syas.g_01523
OG0000509	Prac.g_01187	Syas.g_01521
OG0000510	Prac.g_01186	Syas.g_01520
OG0000511	Prac.g_01185	Syas.g_01519
OG0000512	Prac.g_01183	Syas.g_01517
OG0000513	Prac.g_01176	Syas.g_01508
OG0000514	Prac.g_01116	Syas.g_01504
OG0000515	Prac.g_01115	Syas.g_01503
OG0000516	Prac.g_01114	Syas.g_01501
OG0000517	Prac.g_01112	Syas.g_01498
OG0000518	Prac.g_01101	Syas.g_00360, Syas.g_02746
OG0000519	Prac.g_01100	Syas.g_02747
OG0000520	Prac.g_01099	Syas.g_02748
OG0000521	Prac.g_01094	Syas.g_01281
OG0000522	Prac.g_01092	Syas.g_01279
OG0000523	Prac.g_01091	Syas.g_01278
OG0000524	Prac.g_01084	Syas.g_01354
OG0000525	Prac.g_01081	Syas.g_01342
OG0000526	Prac.g_01080	Syas.g_01340
OG0000527	Prac.g_01071	Syas.g_01335
OG0000528	Prac.g_01066	Syas.g_01256
OG0000529	Prac.g_01063	Syas.g_01252
OG0000530	Prac.g_01060	Syas.g_01249
OG0000531	Prac.g_01059	Syas.g_01248
OG0000532	Prac.g_01057	Syas.g_01245
OG0000533	Prac.g_01056	Syas.g_01243
OG0000534	Prac.g_01055	Syas.g_01242
OG0000535	Prac.g_01054	Syas.g_01241
OG0000536	Prac.g_01053	Syas.g_01240
OG0000537	Prac.g_01052	Syas.g_01238
OG0000538	Prac.g_00871	Syas.g_01228
OG0000539	Prac.g_00870	Syas.g_01227
OG0000540	Prac.g_00869	Syas.g_01226
OG0000541	Prac.g_00868	Syas.g_01225
OG0000542	Prac.g_00866	Syas.g_01221
OG0000543	Prac.g_00864	Syas.g_01219
OG0000544	Prac.g_00863	Syas.g_01218
OG0000545	Prac.g_00861	Syas.g_01216
OG0000546	Prac.g_00858	Syas.g_01214
OG0000547	Prac.g_00857	Syas.g_01212
OG0000548	Prac.g_00856	Syas.g_01211
OG0000549	Prac.g_00854	Syas.g_00005
OG0000550	Prac.g_00849	Syas.g_00010
OG0000551	Prac.g_00845	Syas.g_00015
OG0000552	Prac.g_00844	Syas.g_00016
OG0000553	Prac.g_00843	Syas.g_00019
OG0000554	Prac.g_00838	Syas.g_00063
OG0000555	Prac.g_00830	Syas.g_00775
OG0000556	Prac.g_00828	Syas.g_00781
OG0000557	Prac.g_00827	Syas.g_00783
OG0000558	Prac.g_00825	Syas.g_00785
OG0000559	Prac.g_00821	Syas.g_00789
OG0000560	Prac.g_00818	Syas.g_00792
OG0000561	Prac.g_00817	Syas.g_00793
OG0000562	Prac.g_00816	Syas.g_00794
OG0000563	Prac.g_00815	Syas.g_00795
OG0000564	Prac.g_00814	Syas.g_00796
OG0000565	Prac.g_00811	Syas.g_00800
OG0000566	Prac.g_00809	Syas.g_00804
OG0000567	Prac.g_00805	Syas.g_00808
OG0000568	Prac.g_00804	Syas.g_00810
OG0000569	Prac.g_00803	Syas.g_00811
OG0000570	Prac.g_00802	Syas.g_00812
OG0000571	Prac.g_00800	Syas.g_00815
OG0000572	Prac.g_00787	Syas.g_00839
OG0000573	Prac.g_00780	Syas.g_00952
OG0000574	Prac.g_00779	Syas.g_00951
OG0000575	Prac.g_00775	Syas.g_00848
OG0000576	Prac.g_00772	Syas.g_00850
OG0000577	Prac.g_00771	Syas.g_00851
OG0000578	Prac.g_00770	Syas.g_00852
OG0000579	Prac.g_00769	Syas.g_00853
OG0000580	Prac.g_00768	Syas.g_00854
OG0000581	Prac.g_00766	Syas.g_00861
OG0000582	Prac.g_00763	Syas.g_00873
OG0000583	Prac.g_00762	Syas.g_00872
OG0000584	Prac.g_00761	Syas.g_00871
OG0000585	Prac.g_00759	Syas.g_00868
OG0000586	Prac.g_00758	Syas.g_00867
