Orthogroup	Prac	Praj
OG0000260	Prac.g_00708	Praj.g_00651
OG0000261	Prac.g_00706	Praj.g_00654
OG0000262	Prac.g_00702	Praj.g_00659
OG0000263	Prac.g_00690	Praj.g_00673
OG0000264	Prac.g_00680	Praj.g_00684
OG0000265	Prac.g_01560	Praj.g_00698
OG0000266	Prac.g_01550	Praj.g_00708
OG0000267	Prac.g_01539	Praj.g_00721
OG0000268	Prac.g_01538	Praj.g_00722
OG0000269	Prac.g_01480	Praj.g_00764
OG0000270	Prac.g_01477	Praj.g_00767
OG0000271	Prac.g_01469	Praj.g_00775
OG0000272	Prac.g_01468	Praj.g_00776
OG0000273	Prac.g_01445	Praj.g_00801
OG0000274	Prac.g_01444	Praj.g_00802
OG0000275	Prac.g_01442	Praj.g_00804
OG0000276	Prac.g_01437	Praj.g_00810
OG0000277	Prac.g_01436	Praj.g_00811
OG0000278	Prac.g_01433	Praj.g_00815
OG0000279	Prac.g_01426	Praj.g_00822
OG0000280	Prac.g_01425	Praj.g_01326
OG0000281	Prac.g_01420	Praj.g_00829
OG0000282	Prac.g_01382	Praj.g_00889
OG0000283	Prac.g_01350	Praj.g_00920
OG0000284	Prac.g_01345	Praj.g_00925
OG0000285	Prac.g_01340	Praj.g_00930
OG0000286	Prac.g_01328	Praj.g_00945
OG0000287	Prac.g_01311	Praj.g_00085
OG0000288	Prac.g_01283	Praj.g_00994
OG0000289	Prac.g_01272	Praj.g_01005
OG0000290	Prac.g_01259	Praj.g_01021
OG0000291	Prac.g_01257	Praj.g_01023
OG0000292	Prac.g_01207	Praj.g_01196
OG0000293	Prac.g_00994	Praj.g_01470
OG0000294	Prac.g_00993	Praj.g_01469
OG0000295	Prac.g_00973	Praj.g_01447
OG0000296	Prac.g_00971	Praj.g_01445
OG0000297	Prac.g_00963	Praj.g_01437
OG0000298	Prac.g_00962	Praj.g_01436
OG0000299	Prac.g_00945	Praj.g_01417
OG0000300	Prac.g_00942	Praj.g_01414
OG0000301	Prac.g_00941	Praj.g_01413
OG0000302	Prac.g_00939	Praj.g_01410
OG0000303	Prac.g_00932	Praj.g_01405
OG0000304	Prac.g_00928	Praj.g_01402
OG0000305	Prac.g_00209	Praj.g_01734
OG0000306	Prac.g_00212	Praj.g_00833
OG0000307	Prac.g_00226	Praj.g_01584
OG0000308	Prac.g_00227	Praj.g_01585
OG0000309	Prac.g_00231	Praj.g_01589
OG0000310	Prac.g_00426	Praj.g_01616
OG0000311	Prac.g_00424	Praj.g_01618
OG0000312	Prac.g_00421	Praj.g_01621
OG0000313	Prac.g_00407	Praj.g_01636
OG0000314	Prac.g_00384	Praj.g_01657
OG0000315	Prac.g_00374	Praj.g_01667
OG0000316	Prac.g_00354	Praj.g_01692
OG0000317	Prac.g_00627	Praj.g_01766
OG0000318	Prac.g_00624	Praj.g_01769
OG0000319	Prac.g_00611	Praj.g_01780
OG0000320	Prac.g_00609	Praj.g_01782
OG0000321	Prac.g_00608	Praj.g_01783
OG0000322	Prac.g_00607	Praj.g_01784
OG0000323	Prac.g_00598	Praj.g_01793
OG0000324	Prac.g_00572	Praj.g_01820
OG0000325	Prac.g_00477	Praj.g_01870
OG0000326	Prac.g_00483	Praj.g_01876
OG0000327	Prac.g_00507	Praj.g_01910
OG0000328	Prac.g_00508	Praj.g_01911
OG0000329	Prac.g_00525	Praj.g_01928
OG0000330	Prac.g_00526	Praj.g_01929
OG0000331	Prac.g_00527	Praj.g_01930
OG0000332	Prac.g_00541	Praj.g_01944
OG0000333	Prac.g_00543	Praj.g_01946
OG0000334	Prac.g_00551	Praj.g_01955
OG0000335	Prac.g_00555	Praj.g_01960
OG0000336	Prac.g_00559	Praj.g_01964
OG0000337	Prac.g_00013	Praj.g_01982
OG0000338	Prac.g_00014	Praj.g_01983
OG0000339	Prac.g_00018	Praj.g_01988
OG0000340	Prac.g_00026	Praj.g_01997
OG0000341	Prac.g_00028	Praj.g_01999
OG0000342	Prac.g_00029	Praj.g_02000
OG0000343	Prac.g_00030	Praj.g_02001
OG0000344	Prac.g_00033	Praj.g_02004
OG0000345	Prac.g_00038	Praj.g_02009
OG0000346	Prac.g_00042	Praj.g_02013
OG0000347	Prac.g_00057	Praj.g_02034
OG0000348	Prac.g_00066	Praj.g_02064
OG0000349	Prac.g_00083	Praj.g_02082
OG0000350	Prac.g_00101	Praj.g_02103
OG0000351	Prac.g_00118	Praj.g_02128
OG0000352	Prac.g_00119	Praj.g_02129
OG0000353	Prac.g_01948	Praj.g_02148
OG0000355	Prac.g_01946	Praj.g_00001
OG0000356	Prac.g_01945	Praj.g_00002
OG0000357	Prac.g_01944	Praj.g_00003
OG0000358	Prac.g_01940	Praj.g_00007
OG0000359	Prac.g_01939	Praj.g_00008
OG0000360	Prac.g_01938	Praj.g_00009
OG0000361	Prac.g_01937	Praj.g_00010
OG0000362	Prac.g_01935	Praj.g_00012
OG0000363	Prac.g_01933	Praj.g_00014
OG0000364	Prac.g_01932	Praj.g_00015
OG0000365	Prac.g_01927	Praj.g_00020
OG0000366	Prac.g_01926	Praj.g_00021
OG0000367	Prac.g_01925	Praj.g_00022
OG0000368	Prac.g_01923	Praj.g_00024
OG0000369	Prac.g_01922	Praj.g_00025
OG0000370	Prac.g_01921	Praj.g_00026
OG0000371	Prac.g_01915	Praj.g_00032
OG0000372	Prac.g_01911	Praj.g_00034
OG0000373	Prac.g_01910	Praj.g_00035
OG0000374	Prac.g_01909	Praj.g_00036
OG0000375	Prac.g_01892	Praj.g_00044
OG0000376	Prac.g_01890	Praj.g_00046
OG0000377	Prac.g_01886	Praj.g_00049
OG0000378	Prac.g_01884	Praj.g_00051
OG0000379	Prac.g_01881	Praj.g_00054
OG0000380	Prac.g_01865	Praj.g_00104
OG0000381	Prac.g_01861	Praj.g_00108
OG0000382	Prac.g_01850	Praj.g_00119
OG0000383	Prac.g_01848	Praj.g_00121
OG0000384	Prac.g_01847	Praj.g_00122
OG0000385	Prac.g_01846	Praj.g_00123
OG0000386	Prac.g_01845	Praj.g_00124
OG0000387	Prac.g_01832	Praj.g_00137
OG0000388	Prac.g_01829	Praj.g_00141
OG0000389	Prac.g_01825	Praj.g_00144
OG0000390	Prac.g_01818	Praj.g_00153
OG0000391	Prac.g_01815	Praj.g_00157
OG0000392	Prac.g_01811	Praj.g_00160
OG0000393	Prac.g_01809	Praj.g_00163
OG0000394	Prac.g_01808	Praj.g_00164
OG0000395	Prac.g_01807	Praj.g_00165
OG0000396	Prac.g_01804	Praj.g_00168
OG0000397	Prac.g_01802	Praj.g_00170
OG0000398	Prac.g_01800	Praj.g_00173
OG0000399	Prac.g_01799	Praj.g_00174
OG0000400	Prac.g_01798	Praj.g_00175
OG0000401	Prac.g_01797	Praj.g_00176
OG0000402	Prac.g_01795	Praj.g_01057
OG0000403	Prac.g_01794	Praj.g_00177
OG0000404	Prac.g_01793	Praj.g_00178
OG0000405	Prac.g_01789	Praj.g_00183
OG0000406	Prac.g_01783	Praj.g_00187
OG0000407	Prac.g_01782	Praj.g_00188
OG0000408	Prac.g_01780	Praj.g_00190
OG0000409	Prac.g_01778	Praj.g_00192
OG0000410	Prac.g_01777	Praj.g_00193
OG0000411	Prac.g_01776	Praj.g_00194
OG0000412	Prac.g_01775	Praj.g_00195
OG0000413	Prac.g_01774	Praj.g_00196
OG0000414	Prac.g_01590, Prac.g_01773	Praj.g_00197
OG0000415	Prac.g_01772	Praj.g_00198
OG0000416	Prac.g_01771	Praj.g_00199
OG0000417	Prac.g_01770	Praj.g_00200
OG0000418	Prac.g_01765	Praj.g_00205
OG0000419	Prac.g_01763	Praj.g_00207
OG0000420	Prac.g_01762	Praj.g_00208
OG0000421	Prac.g_01757	Praj.g_00212
OG0000422	Prac.g_01756	Praj.g_00213
OG0000423	Prac.g_01755	Praj.g_00214
OG0000424	Prac.g_01754	Praj.g_00215
OG0000425	Prac.g_01753	Praj.g_00216
